../../../pdielec -method ap -method maxwell -matrix ptfe -sigma 5 -plate 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -csv command.csv -program abinit AlAs.out
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,  344.26,         5.179774,               21887.651109,  2786.8223,     5.0
   4,  344.26,         5.179774,               21887.651626,  2786.8224,     5.0
   5,  344.26,         5.179773,               21887.650695,  2786.8222,     5.0
,,,,,,cm-1,thz,ap_noshape(0 0 1)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(0 0 1)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape(0 0 1)_real_dielectric(vf=0.1),maxwell_plate(0 0 1)_real_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),ap_noshape(0 0 1)_imag_dielectric(vf=0.1),maxwell_plate(0 0 1)_imag_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),ap_noshape(0 0 1)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(0 0 1)_absorption_coefficent_cm-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1)
,,,,,,    0.000000,    0.000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,          2.98673415,          2.73358595,          2.42019614,          2.73358595,          0.00000000,          0.00000000,          0.00000000,          0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000
,,,,,,    0.200000,    0.005996,          0.00000015,          0.00000011,          0.00000003,          0.00000011,          2.98673422,          2.73358599,          2.42019615,          2.73358600,          0.00000178,          0.00000124,          0.00000034,          0.00000124,          0.00000056,          0.00000041,          0.00000012,          0.00000041
,,,,,,    0.400000,    0.011992,          0.00000060,          0.00000044,          0.00000013,          0.00000044,          2.98673443,          2.73358614,          2.42019619,          2.73358614,          0.00000356,          0.00000249,          0.00000067,          0.00000249,          0.00000225,          0.00000164,          0.00000047,          0.00000164
,,,,,,    0.600000,    0.017988,          0.00000135,          0.00000098,          0.00000028,          0.00000098,          2.98673479,          2.73358639,          2.42019626,          2.73358639,          0.00000533,          0.00000373,          0.00000101,          0.00000373,          0.00000505,          0.00000369,          0.00000106,          0.00000369
,,,,,,    0.800000,    0.023983,          0.00000239,          0.00000175,          0.00000050,          0.00000175,          2.98673529,          2.73358674,          2.42019635,          2.73358674,          0.00000711,          0.00000497,          0.00000134,          0.00000497,          0.00000898,          0.00000656,          0.00000189,          0.00000656
,,,,,,    1.000000,    0.029979,          0.00000374,          0.00000273,          0.00000079,          0.00000273,          2.98673593,          2.73358719,          2.42019647,          2.73358719,          0.00000889,          0.00000621,          0.00000168,          0.00000621,          0.00001403,          0.00001025,          0.00000295,          0.00001025
,,,,,,    1.200000,    0.035975,          0.00000539,          0.00000393,          0.00000113,          0.00000393,          2.98673671,          2.73358773,          2.42019662,          2.73358773,          0.00001067,          0.00000746,          0.00000202,          0.00000746,          0.00002021,          0.00001477,          0.00000424,          0.00001477
,,,,,,    1.400000,    0.041971,          0.00000733,          0.00000536,          0.00000154,          0.00000536,          2.98673763,          2.73358838,          2.42019679,          2.73358838,          0.00001244,          0.00000870,          0.00000235,          0.00000870,          0.00002751,          0.00002010,          0.00000578,          0.00002010
,,,,,,    1.600000,    0.047967,          0.00000957,          0.00000699,          0.00000201,          0.00000699,          2.98673870,          2.73358913,          2.42019700,          2.73358913,          0.00001422,          0.00000994,          0.00000269,          0.00000994,          0.00003593,          0.00002625,          0.00000754,          0.00002625
,,,,,,    1.800000,    0.053963,          0.00001212,          0.00000885,          0.00000254,          0.00000885,          2.98673991,          2.73358997,          2.42019722,          2.73358997,          0.00001600,          0.00001118,          0.00000302,          0.00001118,          0.00004547,          0.00003322,          0.00000955,          0.00003322
