 
Percentage energies in vibrational modes
 Freq(cm-1),  %mol-cme,  %mol-rot,      %vib,    %mol-0,    %mol-1
      65.74,     95.89,      0.97,      3.14,     26.10,     73.90
      65.74,     95.89,      1.20,      2.91,     26.10,     73.90
      65.75,     95.89,      1.09,      3.02,     26.10,     73.90
     198.01,     70.25,      7.96,     21.79,     75.32,     24.68
     198.01,     70.25,      6.90,     22.86,     75.32,     24.68
     198.02,     70.23,      7.43,     22.33,     75.33,     24.67
     270.59,      0.00,     55.57,     44.43,    100.00,      0.00
     270.59,      0.00,     55.57,     44.43,    100.00,      0.00
     270.59,      0.00,     55.57,     44.43,    100.00,      0.00
     279.39,     33.78,     18.52,     47.70,     98.59,      1.41
     279.39,     33.76,     18.67,     47.57,     98.60,      1.40
     279.39,     33.76,     18.38,     47.86,     98.60,      1.40
     493.63,      0.10,     17.40,     82.50,     99.98,      0.02
     493.63,      0.10,     17.40,     82.51,     99.98,      0.02
     493.63,      0.10,     17.40,     82.51,     99.98,      0.02
