../../../pdielec -method ap -method bruggeman -matrix ptfe -sigma 5 -plate 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -LO 1 0 0 -LO 0 1 0 -LO 0 0 1 -csv command1.csv -masses program -program abinit BaTiO3.out
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   0,   65.74,         1.935107,                8176.986979,  1041.1263,     5.0
   1,   65.74,         1.935136,                8177.109917,  1041.1420,     5.0
   2,   65.75,         1.934571,                8174.722771,  1040.8380,     5.0
   3,  198.01,        37.112257,              156821.552337, 19967.1402,     5.0
   4,  198.01,        37.112515,              156822.644626, 19967.2793,     5.0
   5,  198.02,        37.125602,              156877.944975, 19974.3203,     5.0
   6,  270.59,         0.000000,                   0.000141,     0.0000,     5.0
   7,  270.59,         0.000000,                   0.000129,     0.0000,     5.0
   8,  270.59,         0.000000,                   0.000000,     0.0000,     5.0
   9,  279.35,        33.055024,              139677.308047, 17784.2672,     5.0
  10,  279.35,        33.063740,              139714.140406, 17788.9569,     5.0
  11,  279.35,        33.063415,              139712.768017, 17788.7821,     5.0
  12,  493.63,        20.513710,               86682.731944, 11036.7882,     5.0
  13,  493.63,        20.515522,               86690.388406, 11037.7631,     5.0
  14,  493.63,        20.515522,               86690.388408, 11037.7631,     5.0
,,,,,,cm-1,thz,ap_noshape(0 0 1)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_plate(0 0 1)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape(0 0 1)_real_dielectric(vf=0.1),bruggeman_plate(0 0 1)_real_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),bruggeman_plate(1 0 0)_real_dielectric(vf=0.1),ap_noshape(0 0 1)_imag_dielectric(vf=0.1),bruggeman_plate(0 0 1)_imag_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),bruggeman_plate(1 0 0)_imag_dielectric(vf=0.1),ap_noshape(0 0 1)_absorption_coefficent_cm-1(vf=0.1),bruggeman_plate(0 0 1)_absorption_coefficent_cm-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),bruggeman_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1)
,,,,,,    0.000000,    0.000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,          8.12458476,          2.73014330,          2.73011123,          2.73007550,          0.00000000,          0.00000000,          0.00000000,          0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000
,,,,,,    0.200000,    0.005996,          0.00003283,          0.00000098,          0.00000097,          0.00000097,          8.12460028,          2.73014356,          2.73011150,          2.73007576,          0.00038957,          0.00000671,          0.00000670,          0.00000667,          0.00007459,          0.00000222,          0.00000221,          0.00000220
,,,,,,    0.400000,    0.011992,          0.00013132,          0.00000391,          0.00000389,          0.00000388,          8.12464681,          2.73014437,          2.73011231,          2.73007656,          0.00077917,          0.00001343,          0.00001339,          0.00001335,          0.00029837,          0.00000887,          0.00000885,          0.00000882
,,,,,,    0.600000,    0.017988,          0.00029549,          0.00000879,          0.00000876,          0.00000873,          8.12472437,          2.73014571,          2.73011364,          2.73007789,          0.00116885,          0.00002015,          0.00002009,          0.00002003,          0.00067138,          0.00001997,          0.00001991,          0.00001984
,,,,,,    0.800000,    0.023983,          0.00052537,          0.00001562,          0.00001558,          0.00001553,          8.12483296,          2.73014758,          2.73011551,          2.73007975,          0.00155862,          0.00002687,          0.00002679,          0.00002670,          0.00119368,          0.00003550,          0.00003540,          0.00003528
,,,,,,    1.000000,    0.029979,          0.00082100,          0.00002441,          0.00002434,          0.00002427,          8.12497260,          2.73014999,          2.73011791,          2.73008215,          0.00194854,          0.00003359,          0.00003349,          0.00003338,          0.00186536,          0.00005547,          0.00005531,          0.00005513
,,,,,,    1.200000,    0.035975,          0.00118241,          0.00003516,          0.00003506,          0.00003495,          8.12514329,          2.73015294,          2.73012085,          2.73008507,          0.00233862,          0.00004031,          0.00004020,          0.00004007,          0.00268652,          0.00007989,          0.00007966,          0.00007940
,,,,,,    1.400000,    0.041971,          0.00160968,          0.00004786,          0.00004773,          0.00004757,          8.12534506,          2.73015642,          2.73012432,          2.73008854,          0.00272892,          0.00004704,          0.00004690,          0.00004675,          0.00365731,          0.00010875,          0.00010844,          0.00010809
,,,,,,    1.600000,    0.047967,          0.00210288,          0.00006253,          0.00006235,          0.00006215,          8.12557791,          2.73016044,          2.73012833,          2.73009253,          0.00311945,          0.00005377,          0.00005361,          0.00005344,          0.00477788,          0.00014207,          0.00014166,          0.00014120
,,,,,,    1.800000,    0.053963,          0.00266208,          0.00007915,          0.00007892,          0.00007867,          8.12584187,          2.73016499,          2.73013287,          2.73009706,          0.00351026,          0.00006050,          0.00006032,          0.00006013,          0.00604843,          0.00017984,          0.00017932,          0.00017874
,,,,,,    2.000000,    0.059958,          0.00328738,          0.00009774,          0.00009746,          0.00009714,          8.12613696,          2.73017009,          2.73013795,          2.73010212,          0.00390139,          0.00006723,          0.00006704,          0.00006682,          0.00746915,          0.00022207,          0.00022143,          0.00022071
,,,,,,    2.200000,    0.065954,          0.00397888,          0.00011829,          0.00011795,          0.00011757,          8.12646321,          2.73017572,          2.73014356,          2.73010771,          0.00429286,          0.00007397,          0.00007376,          0.00007352,          0.00904029,          0.00026876,          0.00026799,          0.00026712
,,,,,,    2.400000,    0.071950,          0.00473670,          0.00014081,          0.00014040,          0.00013995,          8.12682065,          2.73018188,          2.73014971,          2.73011384,          0.00468470,          0.00008072,          0.00008048,          0.00008022,          0.01076211,          0.00031992,          0.00031900,          0.00031798
,,,,,,    2.600000,    0.077946,          0.00556096,          0.00016530,          0.00016482,          0.00016429,          8.12720930,          2.73018859,          2.73015640,          2.73012051,          0.00507697,          0.00008747,          0.00008721,          0.00008693,          0.01263489,          0.00037557,          0.00037448,          0.00037328
,,,,,,    2.800000,    0.083942,          0.00645180,          0.00019176,          0.00019121,          0.00019059,          8.12762920,          2.73019583,          2.73016362,          2.73012771,          0.00546969,          0.00009422,          0.00009395,          0.00009365,          0.01465894,          0.00043569,          0.00043444,          0.00043304
,,,,,,    3.000000,    0.089938,          0.00740938,          0.00022020,          0.00021957,          0.00021886,          8.12808040,          2.73020361,          2.73017138,          2.73013544,          0.00586289,          0.00010098,          0.00010069,          0.00010037,          0.01683461,          0.00050031,          0.00049887,          0.00049726
,,,,,,    3.200000,    0.095934,          0.00843383,          0.00025062,          0.00024990,          0.00024909,          8.12856292,          2.73021193,          2.73017968,          2.73014371,          0.00625661,          0.00010775,          0.00010744,          0.00010709,          0.01916225,          0.00056943,          0.00056779,          0.00056596
,,,,,,    3.400000,    0.101929,          0.00952535,          0.00028303,          0.00028221,          0.00028130,          8.12907681,          2.73022080,          2.73018851,          2.73015252,          0.00665089,          0.00011453,          0.00011420,          0.00011383,          0.02164225,          0.00064306,          0.00064120,          0.00063913
,,,,,,    3.600000,    0.107925,          0.01068411,          0.00031742,          0.00031650,          0.00031548,          8.12962212,          2.73023020,          2.73019789,          2.73016186,          0.00704577,          0.00012131,          0.00012096,          0.00012057,          0.02427503,          0.00072120,          0.00071912,          0.00071680
,,,,,,    3.800000,    0.113921,          0.01191030,          0.00035381,          0.00035279,          0.00035165,          8.13019890,          2.73024014,          2.73020780,          2.73017175,          0.00744127,          0.00012810,          0.00012773,          0.00012731,          0.02706102,          0.00080388,          0.00080156,          0.00079897
,,,,,,    4.000000,    0.119917,          0.01320414,          0.00039219,          0.00039106,          0.00038980,          8.13080719,          2.73025063,          2.73021826,          2.73018217,          0.00783744,          0.00013490,          0.00013451,          0.00013407,          0.03000070,          0.00089109,          0.00088852,          0.00088564
,,,,,,    4.200000,    0.125913,          0.01456583,          0.00043258,          0.00043133,          0.00042994,          8.13144705,          2.73026165,          2.73022925,          2.73019313,          0.00823431,          0.00014170,          0.00014129,          0.00014083,          0.03309455,          0.00098285,          0.00098001,          0.00097684
,,,,,,    4.400000,    0.131909,          0.01599560,          0.00047498,          0.00047360,          0.00047207,          8.13211853,          2.73027322,          2.73024079,          2.73020463,          0.00863191,          0.00014852,          0.00014809,          0.00014761,          0.03634310,          0.00107918,          0.00107606,          0.00107258
,,,,,,    4.600000,    0.137905,          0.01749371,          0.00051939,          0.00051788,          0.00051621,          8.13282170,          2.73028534,          2.73025287,          2.73021667,          0.00903029,          0.00015534,          0.00015489,          0.00015439,          0.03974689,          0.00118008,          0.00117666,          0.00117285
,,,,,,    4.800000,    0.143900,          0.01906039,          0.00056581,          0.00056417,          0.00056235,          8.13355662,          2.73029799,          2.73026549,          2.73022925,          0.00942949,          0.00016218,          0.00016171,          0.00016118,          0.04330650,          0.00128557,          0.00128184,          0.00127769
,,,,,,    5.000000,    0.149896,          0.02069591,          0.00061427,          0.00061248,          0.00061050,          8.13432335,          2.73031120,          2.73027865,          2.73024237,          0.00982953,          0.00016902,          0.00016853,          0.00016799,          0.04702252,          0.00139565,          0.00139161,          0.00138710
,,,,,,    5.200000,    0.155892,          0.02240055,          0.00066475,          0.00066282,          0.00066067,          8.13512197,          2.73032495,          2.73029236,          2.73025603,          0.01023045,          0.00017588,          0.00017537,          0.00017480,          0.05089559,          0.00151036,          0.00150597,          0.00150109
,,,,,,    5.400000,    0.161888,          0.02417461,          0.00071727,          0.00071519,          0.00071287,          8.13595254,          2.73033924,          2.73030662,          2.73027024,          0.01063230,          0.00018275,          0.00018222,          0.00018162,          0.05492636,          0.00162969,          0.00162496,          0.00161968
,,,,,,    5.600000,    0.167884,          0.02601837,          0.00077184,          0.00076959,          0.00076709,          8.13681513,          2.73035409,          2.73032142,          2.73028500,          0.01103511,          0.00018963,          0.00018908,          0.00018846,          0.05911551,          0.00175366,          0.00174857,          0.00174289
,,,,,,    5.800000,    0.173880,          0.02793215,          0.00082845,          0.00082605,          0.00082336,          8.13770984,          2.73036948,          2.73033677,          2.73030030,          0.01143891,          0.00019652,          0.00019595,          0.00019531,          0.06346375,          0.00188230,          0.00187683,          0.00187073
,,,,,,    6.000000,    0.179875,          0.02991628,          0.00088713,          0.00088455,          0.00088167,          8.13863672,          2.73038543,          2.73035267,          2.73031614,          0.01184376,          0.00020343,          0.00020283,          0.00020217,          0.06797184,          0.00201562,          0.00200976,          0.00200322
,,,,,,    6.200000,    0.185871,          0.03197110,          0.00094788,          0.00094512,          0.00094204,          8.13959587,          2.73040192,          2.73036912,          2.73033254,          0.01224968,          0.00021034,          0.00020973,          0.00020905,          0.07264053,          0.00215365,          0.00214738,          0.00214038
,,,,,,    6.400000,    0.191867,          0.03409696,          0.00101070,          0.00100775,          0.00100447,          8.14058738,          2.73041897,          2.73038611,          2.73034948,          0.01265671,          0.00021728,          0.00021664,          0.00021593,          0.07747063,          0.00229637,          0.00228968,          0.00228222
,,,,,,    6.600000,    0.197863,          0.03629423,          0.00107560,          0.00107246,          0.00106896,          8.14161134,          2.73043657,          2.73040366,          2.73036697,          0.01306490,          0.00022422,          0.00022357,          0.00022284,          0.08246296,          0.00244383,          0.00243670,          0.00242876
,,,,,,    6.800000,    0.203859,          0.03856327,          0.00114259,          0.00113925,          0.00113553,          8.14266783,          2.73045472,          2.73042176,          2.73038501,          0.01347428,          0.00023118,          0.00023051,          0.00022975,          0.08761838,          0.00259604,          0.00258846,          0.00258001
,,,,,,    7.000000,    0.209855,          0.04090449,          0.00121168,          0.00120814,          0.00120419,          8.14375695,          2.73047343,          2.73044042,          2.73040361,          0.01388490,          0.00023816,          0.00023746,          0.00023668,          0.09293779,          0.00275302,          0.00274498,          0.00273601
,,,,,,    7.200000,    0.215851,          0.04331828,          0.00128288,          0.00127913,          0.00127495,          8.14487880,          2.73049270,          2.73045963,          2.73042276,          0.01429679,          0.00024515,          0.00024443,          0.00024363,          0.09842209,          0.00291479,          0.00290627,          0.00289677
,,,,,,    7.400000,    0.221846,          0.04580507,          0.00135620,          0.00135223,          0.00134780,          8.14603348,          2.73051252,          2.73047939,          2.73044246,          0.01470999,          0.00025216,          0.00025142,          0.00025059,          0.10407225,          0.00308138,          0.00307236,          0.00306230
,,,,,,    7.600000,    0.227842,          0.04836529,          0.00143165,          0.00142745,          0.00142278,          8.14722111,          2.73053291,          2.73049972,          2.73046271,          0.01512455,          0.00025918,          0.00025842,          0.00025757,          0.10988924,          0.00325280,          0.00324327,          0.00323264
,,,,,,    7.800000,    0.233838,          0.05099938,          0.00150923,          0.00150481,          0.00149987,          8.14844178,          2.73055385,          2.73052060,          2.73048353,          0.01554050,          0.00026622,          0.00026544,          0.00026457,          0.11587407,          0.00342908,          0.00341902,          0.00340781
,,,,,,    8.000000,    0.239834,          0.05370780,          0.00158896,          0.00158430,          0.00157910,          8.14969560,          2.73057535,          2.73054204,          2.73050490,          0.01595789,          0.00027328,          0.00027248,          0.00027158,          0.12202780,          0.00361024,          0.00359964,          0.00358782
,,,,,,    8.200000,    0.245830,          0.05649104,          0.00167086,          0.00166595,          0.00166047,          8.15098270,          2.73059742,          2.73056405,          2.73052683,          0.01637676,          0.00028036,          0.00027953,          0.00027861,          0.12835149,          0.00379630,          0.00378515,          0.00377271
,,,,,,    8.400000,    0.251826,          0.05934957,          0.00175492,          0.00174976,          0.00174400,          8.15230320,          2.73062006,          2.73058661,          2.73054933,          0.01679716,          0.00028745,          0.00028661,          0.00028566,          0.13484626,          0.00398730,          0.00397557,          0.00396249
,,,,,,    8.600000,    0.257822,          0.06228390,          0.00184117,          0.00183574,          0.00182970,          8.15365720,          2.73064326,          2.73060975,          2.73057238,          0.01721912,          0.00029457,          0.00029370,          0.00029273,          0.14151326,          0.00418325,          0.00417093,          0.00415720
,,,,,,    8.800000,    0.263817,          0.06529454,          0.00192960,          0.00192391,          0.00191757,          8.15504484,          2.73066702,          2.73063344,          2.73059600,          0.01764269,          0.00030170,          0.00030081,          0.00029982,          0.14835366,          0.00438419,          0.00437126,          0.00435685
