../../../pdielec -processors 4 -method ap -method maxwell -matrix ptfe -sigma 5 -plate 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -LO_cart 1 0 0 -LO_cart 0 1 0 -LO_cart 0 0 1 -LO 1 0 0 -LO 0 1 0 -LO 0 0 1 -csv command.csv -program abinit Na2SO42.out -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,   85.20,         0.604913,                2556.119055,   325.4552,     5.0
   4,   93.46,         0.000000,                   0.000002,     0.0000,     5.0
   5,  104.82,         0.000000,                   0.000015,     0.0000,     5.0
   6,  106.11,         0.000000,                   0.000096,     0.0000,     5.0
   7,  107.62,         0.974362,                4117.262731,   524.2262,     5.0
   8,  169.65,         0.000000,                   0.000022,     0.0000,     5.0
   9,  170.29,         2.772131,               11713.915871,  1491.4621,     5.0
  10,  181.55,         0.000000,                   0.000019,     0.0000,     5.0
  11,  193.25,         0.624387,                2638.409275,   335.9327,     5.0
  12,  215.43,         0.000000,                   0.000001,     0.0000,     5.0
  13,  270.30,         2.578097,               10894.006775,  1387.0680,     5.0
  15,  310.24,         2.623786,               11087.068458,  1411.6494,     5.0
  17,  356.69,         0.000000,                   0.000002,     0.0000,     5.0
  18,  387.96,         0.167583,                 708.140656,    90.1633,     5.0
  19,  404.71,         0.000000,                   0.000001,     0.0000,     5.0
  20,  452.70,         0.190638,                 805.558381,   102.5669,     5.0
  21,  532.53,         5.767675,               24371.888749,  3103.1253,     5.0
  22,  535.74,         0.000000,                   0.000001,     0.0000,     5.0
  23,  541.06,         4.249280,               17955.755665,  2286.1978,     5.0
  24,  560.29,         0.000000,                   0.000002,     0.0000,     5.0
  25,  572.94,         2.081734,                8796.574935,  1120.0147,     5.0
  27,  655.44,        20.297456,               85768.929732, 10920.4393,     5.0
  28,  681.06,         0.000000,                   0.000001,     0.0000,     5.0
  30, 1033.63,         8.108230,               34262.135258,  4362.3905,     5.0
  32, 1230.28,        25.520433,              107839.141133, 13730.5059,     5.0
  33, 1244.38,         0.000000,                   0.000001,     0.0000,     5.0
  34, 1251.07,        23.002629,               97199.911202, 12375.8771,     5.0
  35, 1265.69,         0.000000,                   0.000002,     0.0000,     5.0
,,,,,,cm-1,thz,ap_noshape(0 0 1)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(0 0 1)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape(0 0 1)_real_dielectric(vf=0.1),maxwell_plate(0 0 1)_real_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),ap_noshape(0 0 1)_imag_dielectric(vf=0.1),maxwell_plate(0 0 1)_imag_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),ap_noshape(0 0 1)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(0 0 1)_absorption_coefficent_cm-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1)
,,,,,,    0.000000,    0.000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,          2.25860936,          2.21810241,          2.18474834,          2.21738470,          0.00000000,          0.00000000,          0.00000000,          0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000
,,,,,,    0.200000,    0.005996,          0.00000366,          0.00000316,          0.00000194,          0.00000306,          2.25860980,          2.21810279,          2.18474857,          2.21738507,          0.00001102,          0.00000943,          0.00000575,          0.00000912,          0.00000400,          0.00000346,          0.00000212,          0.00000334
,,,,,,    0.400000,    0.011992,          0.00001464,          0.00001265,          0.00000776,          0.00001223,          2.25861112,          2.21810392,          2.18474925,          2.21738616,          0.00002204,          0.00001887,          0.00001149,          0.00001824,          0.00001601,          0.00001383,          0.00000849,          0.00001337
,,,,,,    0.600000,    0.017988,          0.00003295,          0.00002846,          0.00001746,          0.00002751,          2.25861332,          2.21810580,          2.18475040,          2.21738798,          0.00003307,          0.00002830,          0.00001724,          0.00002736,          0.00003603,          0.00003111,          0.00001909,          0.00003008
,,,,,,    0.800000,    0.023983,          0.00005858,          0.00005060,          0.00003105,          0.00004891,          2.25861640,          2.21810843,          2.18475201,          2.21739052,          0.00004409,          0.00003774,          0.00002298,          0.00003648,          0.00006405,          0.00005532,          0.00003394,          0.00005348
,,,,,,    1.000000,    0.029979,          0.00009154,          0.00007906,          0.00004851,          0.00007643,          2.25862035,          2.21811182,          2.18475407,          2.21739380,          0.00005512,          0.00004718,          0.00002873,          0.00004560,          0.00010008,          0.00008644,          0.00005304,          0.00008357
,,,,,,    1.200000,    0.035975,          0.00013183,          0.00011386,          0.00006986,          0.00011007,          2.25862519,          2.21811597,          2.18475659,          2.21739780,          0.00006615,          0.00005662,          0.00003448,          0.00005473,          0.00014413,          0.00012448,          0.00007638,          0.00012035
,,,,,,    1.400000,    0.041971,          0.00017945,          0.00015499,          0.00009510,          0.00014984,          2.25863091,          2.21812086,          2.18475957,          2.21740253,          0.00007718,          0.00006606,          0.00004023,          0.00006386,          0.00019620,          0.00016945,          0.00010397,          0.00016382
,,,,,,    1.600000,    0.047967,          0.00023441,          0.00020246,          0.00012422,          0.00019573,          2.25863751,          2.21812651,          2.18476302,          2.21740799,          0.00008822,          0.00007551,          0.00004598,          0.00007299,          0.00025629,          0.00022135,          0.00013582,          0.00021400
,,,,,,    1.800000,    0.053963,          0.00029672,          0.00025627,          0.00015724,          0.00024776,          2.25864499,          2.21813291,          2.18476692,          2.21741418,          0.00009926,          0.00008496,          0.00005173,          0.00008212,          0.00032441,          0.00028019,          0.00017191,          0.00027088
,,,,,,    2.000000,    0.059958,          0.00036637,          0.00031643,          0.00019414,          0.00030593,          2.25865335,          2.21814007,          2.18477128,          2.21742109,          0.00011031,          0.00009441,          0.00005749,          0.00009126,          0.00040056,          0.00034596,          0.00021226,          0.00033448
,,,,,,    2.200000,    0.065954,          0.00044339,          0.00038294,          0.00023495,          0.00037024,          2.25866260,          2.21814798,          2.18477610,          2.21742874,          0.00012136,          0.00010387,          0.00006325,          0.00010041,          0.00048476,          0.00041868,          0.00025687,          0.00040479
,,,,,,    2.400000,    0.071950,          0.00052776,          0.00045581,          0.00027965,          0.00044070,          2.25867272,          2.21815665,          2.18478137,          2.21743712,          0.00013241,          0.00011333,          0.00006901,          0.00010956,          0.00057701,          0.00049835,          0.00030575,          0.00048183
