 
Percentage energies in vibrational modes
 Freq(cm-1),  %mol-cme,  %mol-rot,      %vib,    %mol-0,    %mol-1,    %mol-2,    %mol-3
      -0.07,     99.52,      0.45,      0.03,     26.87,     26.87,     23.13,     23.13
      -0.06,     98.58,      1.07,      0.35,     23.57,     23.57,     26.43,     26.43
      -0.04,     99.69,      0.24,      0.07,     23.79,     23.79,     26.21,     26.21
      32.81,     91.99,      5.93,      2.08,     26.76,     26.76,     23.24,     23.24
      39.73,     77.90,     19.61,      2.49,     22.08,     22.08,     27.92,     27.92
      49.42,     10.41,     81.92,      7.67,     18.98,     18.98,     31.02,     31.02
      52.12,     80.67,     17.32,      2.01,     17.62,     17.62,     32.38,     32.38
      54.15,     73.44,     19.05,      7.51,     21.20,     21.20,     28.80,     28.80
      59.59,     37.70,     56.57,      5.73,     23.94,     23.94,     26.06,     26.06
      62.05,     77.28,     17.19,      5.53,     23.45,     23.45,     26.55,     26.55
      69.91,      9.63,     69.40,     20.97,     17.64,     17.64,     32.36,     32.36
      73.19,      7.28,     61.11,     31.61,      6.57,      6.57,     43.43,     43.43
      76.00,     13.57,     61.68,     24.75,     31.55,     31.55,     18.45,     18.45
      76.25,      3.20,     48.08,     48.72,     10.55,     10.55,     39.45,     39.45
      80.49,     31.51,     43.80,     24.68,     19.34,     19.34,     30.66,     30.66
      87.54,     37.85,     35.43,     26.72,     26.81,     26.81,     23.19,     23.19
      89.31,     12.25,     58.12,     29.64,     27.50,     27.50,     22.50,     22.50
      90.49,     16.87,     53.93,     29.20,     22.36,     22.36,     27.64,     27.64
      94.51,     49.12,     36.90,     13.99,     39.42,     39.42,     10.58,     10.58
      94.79,     47.00,     16.87,     36.13,     22.99,     22.99,     27.01,     27.01
     109.13,      4.79,     23.72,     71.48,     45.02,     45.02,      4.98,      4.98
     109.95,      3.04,     31.05,     65.91,     46.86,     46.86,      3.14,      3.14
     118.30,     10.63,     10.43,     78.94,      9.01,      9.01,     40.99,     40.99
     120.56,     19.55,     24.47,     55.98,     36.40,     36.40,     13.60,     13.60
     126.72,     12.32,     22.56,     65.12,     42.79,     42.79,      7.21,      7.21
     132.78,      1.82,      9.42,     88.77,     17.82,     17.82,     32.18,     32.18
     141.55,      4.46,      7.81,     87.73,     13.79,     13.79,     36.21,     36.21
     143.30,      3.06,     12.05,     84.89,      5.88,      5.88,     44.12,     44.12
     149.51,     45.34,     25.90,     28.76,     21.41,     21.41,     28.59,     28.59
     152.38,     14.22,     20.17,     65.62,     36.24,     36.24,     13.76,     13.76
     153.42,      5.81,     22.84,     71.36,     33.36,     33.36,     16.64,     16.64
     162.53,     16.08,     49.64,     34.28,     23.78,     23.78,     26.22,     26.22
     168.77,      4.78,     31.90,     63.32,     38.88,     38.88,     11.12,     11.12
     175.74,      5.93,     33.31,     60.76,     40.27,     40.27,      9.73,      9.73
     186.91,      1.81,      2.51,     95.67,     28.33,     28.33,     21.67,     21.67
     191.99,     10.01,     48.56,     41.43,      5.42,      5.42,     44.58,     44.58
     199.79,      0.69,      5.07,     94.24,     24.68,     24.68,     25.32,     25.32
     207.28,     17.82,     15.50,     66.68,     10.41,     10.41,     39.59,     39.59
     210.33,      2.97,      1.61,     95.42,     26.65,     26.65,     23.35,     23.35
     217.33,      2.92,      8.35,     88.73,     10.26,     10.26,     39.74,     39.74
     219.54,      1.93,      4.43,     93.64,     30.64,     30.64,     19.36,     19.36
     221.90,      0.82,      2.81,     96.36,     41.79,     41.79,      8.21,      8.21
     222.40,      1.34,      3.97,     94.69,     45.05,     45.05,      4.95,      4.95
     222.93,      9.86,     20.64,     69.50,     25.40,     25.40,     24.60,     24.60
     232.08,      2.21,      0.92,     96.87,     45.84,     45.84,      4.16,      4.16
     235.14,      2.28,      8.21,     89.51,     28.01,     28.01,     21.99,     21.99
     247.09,      0.06,      3.28,     96.67,      4.58,      4.58,     45.42,     45.42
     249.35,      0.37,      4.00,     95.63,      4.43,      4.43,     45.57,     45.57
     272.91,      0.43,      1.24,     98.34,     39.58,     39.58,     10.42,     10.42
     274.31,      0.35,      0.75,     98.90,     46.31,     46.31,      3.69,      3.69
     279.66,      1.76,      2.86,     95.38,      6.48,      6.48,     43.52,     43.52
     287.77,      3.32,      3.91,     92.78,     15.12,     15.12,     34.88,     34.88
