../../../pdielec -processors 4 -LO 1 0 0 -vmin 300 -vmax 800 -sphere -needle 0 0 1 -dielectric 3 -vf 0.1 -vf 0.2 -method maxwell -method bruggeman -method ap -sigma 10 -csv command.csv phonon -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,  388.28,         9.290771,               39259.082853,  2499.3108,    10.0
   4,  388.28,         9.290771,               39259.082853,  2499.3108,    10.0
   5,  388.28,         9.290771,               39259.082853,  2499.3108,    10.0
,,,,,,cm-1,thz,maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),bruggeman_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),bruggeman_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),ap_noshape_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),maxwell_sphere_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_sphere_real_dielectric(vf=0.2),maxwell_needle[0 0 1]_real_dielectric(vf=0.2),bruggeman_sphere_real_dielectric(vf=0.1),bruggeman_needle[0 0 1]_real_dielectric(vf=0.1),bruggeman_sphere_real_dielectric(vf=0.2),bruggeman_needle[0 0 1]_real_dielectric(vf=0.2),ap_noshape_real_dielectric(vf=0.1),ap_noshape_real_dielectric(vf=0.2),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.2),maxwell_needle[0 0 1]_imag_dielectric(vf=0.2),bruggeman_sphere_imag_dielectric(vf=0.1),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.1),bruggeman_sphere_imag_dielectric(vf=0.2),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.2),ap_noshape_imag_dielectric(vf=0.1),ap_noshape_imag_dielectric(vf=0.2),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_sphere_absorption_coefficent_cm-1(vf=0.2),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.2),bruggeman_sphere_absorption_coefficent_cm-1(vf=0.1),bruggeman_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),bruggeman_sphere_absorption_coefficent_cm-1(vf=0.2),bruggeman_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.2),ap_noshape_absorption_coefficent_cm-1(vf=0.1),ap_noshape_absorption_coefficent_cm-1(vf=0.2)
,,,,,,  300.000000,    8.993774,          0.56405950,          1.62114249,          0.59553788,          1.55404833,          0.72441530,          0.72441532,          0.95234254,          0.95234256,          3.64734349,          3.12348539,          3.63172954,          3.91234355,          4.35880310,          4.92464173,          3.68954836,          3.68954836,          4.61646057,          4.61646057,          4.71280237,          6.42560475,          0.01138627,          0.03396590,          0.02634052,          0.07306228,          0.01473922,          0.01473922,          0.04334929,          0.04334929,          0.08387507,          0.16775014,          4.89113628,         14.05743351,         10.32819036,         26.95127813,          6.28163160,          6.28163181,         16.51611999,         16.51612027,         31.62725598,         54.16943713
,,,,,,  300.200000,    8.999770,          0.56560959,          1.62888852,          0.59720475,          1.56129794,          0.72668119,          0.72668119,          0.95575621,          0.95575621,          3.66533399,          3.13837208,          3.63218489,          3.91369712,          4.35985638,          4.92755331,          3.69013753,          3.69013753,          4.61819200,          4.61819200,          4.71614319,          6.43228639,          0.01141067,          0.03411136,          0.02639984,          0.07337590,          0.01477665,          0.01477665,          0.04348384,          0.04348384,          0.08426250,          0.16852501,          4.90457767,         14.12460176,         10.35709833,         27.07700535,          6.30127983,          6.30127983,         16.57532204,         16.57532204,         31.78325721,         54.42761152
,,,,,,  300.400000,    9.005765,          0.56716455,          1.63668564,          0.59887700,          1.56859418,          0.72895577,          0.72895577,          0.95918586,          0.95918586,          3.68344314,          3.15335385,          3.63264121,          3.91505647,          4.36091204,          4.93047733,          3.69072820,          3.69072820,          4.61992878,          4.61992878,          4.71949936,          6.43899873,          0.01143514,          0.03425778,          0.02645934,          0.07369159,          0.01481422,          0.01481422,          0.04361903,          0.04361903,          0.08465257,          0.16930514,          4.91806119,         14.19221300,         10.38609945,         27.20354134,          6.32100347,          6.32100347,         16.63480107,         16.63480107,         31.94028735,         54.68743478
,,,,,,  300.600000,    9.011761,          0.56872439,          1.64453429,          0.60055464,          1.57593746,          0.73123911,          0.73123911,          0.96263157,          0.96263157,          3.70167198,          3.16843150,          3.63309852,          3.91642162,          4.36197007,          4.93341386,          3.69132037,          3.69132037,          4.62167095,          4.62167095,          4.72287099,          6.44574197,          0.01145968,          0.03440516,          0.02651903,          0.07400936,          0.01485193,          0.01485193,          0.04375485,          0.04375485,          0.08504529,          0.17009058,          4.93158700,         14.26027114,         10.41519411,         27.33089312,          6.34080303,          6.34080303,         16.69455875,         16.69455875,         32.09835529,         54.94892082
,,,,,,  300.800000,    9.017757,          0.57028912,          1.65243494,          0.60223769,          1.58332819,          0.73353125,          0.73353125,          0.96609345,          0.96609345,          3.72002153,          3.18360584,          3.63355680,          3.91779260,          4.36303048,          4.93636298,          3.69191404,          3.69191404,          4.62341853,          4.62341853,          4.72625817,          6.45251634,          0.01148430,          0.03455351,          0.02657889,          0.07432923,          0.01488977,          0.01488977,          0.04389130,          0.04389130,          0.08544069,          0.17088138,          4.94515528,         14.32878014,         10.44438269,         27.45906774,          6.36067890,          6.36067890,         16.75459686,         16.75459686,         32.25747003,         55.21208371
,,,,,,  301.000000,    9.023753,          0.57185877,          1.66038805,          0.60392618,          1.59076678,          0.73583224,          0.73583224,          0.96957160,          0.96957160,          3.73849286,          3.19887769,          3.63401606,          3.91916947,          4.36409329,          4.93932478,          3.69250922,          3.69250922,          4.62517155,          4.62517155,          4.72966101,          6.45932203,          0.01150898,          0.03470284,          0.02663895,          0.07465121,          0.01492776,          0.01492776,          0.04402840,          0.04402840,          0.08583880,          0.17167759,          4.95876620,         14.39774400,         10.47366556,         27.58807235,          6.38063147,          6.38063147,         16.81491718,         16.81491718,         32.41764068,         55.47693765
,,,,,,  301.200000,    9.029749,          0.57343335,          1.66839408,          0.60562013,          1.59825364,          0.73814212,          0.73814212,          0.97306614,          0.97306614,          3.75708701,          3.21424788,          3.63447632,          3.92055226,          4.36515850,          4.94229934,          3.69310592,          3.69310592,          4.62693003,          4.62693003,          4.73307963,          6.46615926,          0.01153374,          0.03485317,          0.02669919,          0.07497533,          0.01496589,          0.01496589,          0.04416614,          0.04416614,          0.08623963,          0.17247926,          4.97241992,         14.46716678,         10.50304313,         27.71791420,          6.40066113,          6.40066113,         16.87552152,         16.87552152,         32.57887642,         55.74349702
,,,,,,  301.400000,    9.035745,          0.57501289,          1.67645350,          0.60731957,          1.60578920,          0.74046093,          0.74046093,          0.97657715,          0.97657715,          3.77580507,          3.22971724,          3.63493756,          3.92194100,          4.36622611,          4.94528675,          3.69370414,          3.69370414,          4.62869399,          4.62869399,          4.73651412,          6.47302824,          0.01155857,          0.03500449,          0.02675961,          0.07530161,          0.01500415,          0.01500415,          0.04430454,          0.04430454,          0.08664322,          0.17328643,          4.98611661,         14.53705257,         10.53251577,         27.84860059,          6.42076828,          6.42076828,         16.93641171,         16.93641171,         32.74118656,         56.01177631
,,,,,,  301.600000,    9.041741,          0.57659741,          1.68456680,          0.60902451,          1.61337388,          0.74278872,          0.74278872,          0.98010475,          0.98010475,          3.79464812,          3.24528661,          3.63539979,          3.92333574,          4.36729614,          4.94828708,          3.69430389,          3.69430389,          4.63046347,          4.63046347,          4.73996460,          6.47992920,          0.01158347,          0.03515683,          0.02682023,          0.07563007,          0.01504256,          0.01504256,          0.04444358,          0.04444358,          0.08704958,          0.17409917,          4.99985645,         14.60740550,         10.56208388,         27.98013890,          6.44095332,          6.44095332,         16.99758958,         16.99758958,         32.90458049,         56.28179020
,,,,,,  301.800000,    9.047736,          0.57818692,          1.69273445,          0.61073497,          1.62100812,          0.74512555,          0.74512555,          0.98364905,          0.98364905,          3.81361724,          3.26095687,          3.63586302,          3.92473652,          4.36836859,          4.95130043,          3.69490517,          3.69490517,          4.63223849,          4.63223849,          4.74343117,          6.48686234,          0.01160844,          0.03531018,          0.02688103,          0.07596071,          0.01508111,          0.01508111,          0.04458329,          0.04458329,          0.08745875,          0.17491751,          5.01363961,         14.67822975,         10.59174786,         28.11253662,          6.46121665,          6.46121665,         17.05905698,         17.05905698,         33.06906770,         56.55355353
