../../../pdielec -processors 4 -matrix ptfe -sigma 5 -method maxwell -method bruggeman -method ap -vf 0.1 -needle 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -LO 1 1 1 -csv command1.csv -program castep phonon -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   4,   72.78,         3.270822,               13821.185856,  1759.7680,     5.0
   9,  125.47,         0.660838,                2792.436864,   355.5441,     5.0
  10,  165.35,         0.491886,                2078.514665,   264.6447,     5.0
  12,  192.57,         4.161272,               17583.871092,  2238.8480,     5.0
  15,  216.39,         3.575811,               15109.948965,  1923.8585,     5.0
  18,  351.83,         0.084264,                 356.063887,    45.3355,     5.0
  19,  477.98,         0.138921,                 587.026318,    74.7425,     5.0
  21,  525.22,         1.694454,                7160.085286,   911.6504,     5.0
  22,  537.80,         2.536920,               10720.008260,  1364.9138,     5.0
  25,  613.07,         5.220473,               22059.632508,  2808.7196,     5.0
  27,  712.12,        17.377016,               73428.319828,  9349.1841,     5.0
  29, 1114.61,        10.747118,               45413.023835,  5782.1658,     5.0
  31, 1349.02,        28.536784,              120585.033751, 15353.3633,     5.0
  33, 1417.60,        26.936448,              113822.655953, 14492.3507,     5.0
,,,,,,cm-1,thz,maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),bruggeman_needle[0 0 1]_real_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),bruggeman_plate(1 0 0)_real_dielectric(vf=0.1),ap_noshape[0 0 1]_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),bruggeman_plate(1 0 0)_imag_dielectric(vf=0.1),ap_noshape[0 0 1]_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1),bruggeman_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),bruggeman_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1),ap_noshape[0 0 1]_absorption_coefficent_cm-1(vf=0.1)
,,,,,,    0.000000,    0.000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,          2.25417234,          2.24862771,          2.31267881,          2.28539141,          2.29247238,          2.29149926,          2.48020506,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000
,,,,,,    0.200000,    0.005996,          0.00000402,          0.00000373,          0.00000647,          0.00000702,          0.00000742,          0.00000721,          0.00001851,          2.25417282,          2.24862816,          2.31267960,          2.28539226,          2.29247328,          2.29150014,          2.48020739,          0.00001210,          0.00001122,          0.00001972,          0.00002127,          0.00002251,          0.00002188,          0.00005840,          0.00000440,          0.00000408,          0.00000708,          0.00000768,          0.00000811,          0.00000789,          0.00002024
,,,,,,    0.400000,    0.011992,          0.00001609,          0.00001494,          0.00002590,          0.00002810,          0.00002969,          0.00002886,          0.00007405,          2.25417427,          2.24862950,          2.31268196,          2.28539481,          2.29247597,          2.29150275,          2.48021437,          0.00002420,          0.00002244,          0.00003945,          0.00004254,          0.00004502,          0.00004376,          0.00011681,          0.00001759,          0.00001633,          0.00002831,          0.00003072,          0.00003246,          0.00003155,          0.00008096
,,,,,,    0.600000,    0.017988,          0.00003621,          0.00003361,          0.00005827,          0.00006322,          0.00006680,          0.00006494,          0.00016662,          2.25417668,          2.24863174,          2.31268589,          2.28539905,          2.29248046,          2.29150711,          2.48022600,          0.00003630,          0.00003366,          0.00005918,          0.00006382,          0.00006754,          0.00006564,          0.00017522,          0.00003959,          0.00003675,          0.00006371,          0.00006912,          0.00007303,          0.00007100,          0.00018216
,,,,,,    0.800000,    0.023983,          0.00006437,          0.00005976,          0.00010360,          0.00011240,          0.00011876,          0.00011545,          0.00029624,          2.25418006,          2.24863488,          2.31269140,          2.28540498,          2.29248674,          2.29151322,          2.48024228,          0.00004840,          0.00004488,          0.00007890,          0.00008510,          0.00009006,          0.00008753,          0.00023366,          0.00007038,          0.00006534,          0.00011327,          0.00012289,          0.00012984,          0.00012622,          0.00032388
,,,,,,    1.000000,    0.029979,          0.00010059,          0.00009338,          0.00016188,          0.00017564,          0.00018558,          0.00018041,          0.00046293,          2.25418441,          2.24863891,          2.31269848,          2.28541262,          2.29249482,          2.29152107,          2.48026321,          0.00006051,          0.00005611,          0.00009864,          0.00010639,          0.00011258,          0.00010942,          0.00029211,          0.00010997,          0.00010210,          0.00017699,          0.00019203,          0.00020290,          0.00019724,          0.00050613
,,,,,,    1.200000,    0.035975,          0.00014486,          0.00013448,          0.00023313,          0.00025295,          0.00026726,          0.00025982,          0.00066671,          2.25418972,          2.24864383,          2.31270714,          2.28542195,          2.29250469,          2.29153067,          2.48028881,          0.00007262,          0.00006733,          0.00011838,          0.00012768,          0.00013511,          0.00013132,          0.00035058,          0.00015837,          0.00014703,          0.00025489,          0.00027655,          0.00029220,          0.00028406,          0.00072893
,,,,,,    1.400000,    0.041971,          0.00019718,          0.00018306,          0.00031735,          0.00034434,          0.00036383,          0.00035369,          0.00090763,          2.25419601,          2.24864966,          2.31271738,          2.28543298,          2.29251637,          2.29154201,          2.48031906,          0.00008473,          0.00007856,          0.00013812,          0.00014898,          0.00015765,          0.00015323,          0.00040909,          0.00021558,          0.00020014,          0.00034697,          0.00037647,          0.00039778,          0.00038669,          0.00099234
,,,,,,    1.600000,    0.047967,          0.00025757,          0.00023912,          0.00041455,          0.00044982,          0.00047528,          0.00046203,          0.00118573,          2.25420325,          2.24865638,          2.31272919,          2.28544570,          2.29252983,          2.29155510,          2.48035397,          0.00009684,          0.00008979,          0.00015787,          0.00017029,          0.00018021,          0.00017515,          0.00046763,          0.00028160,          0.00026143,          0.00045323,          0.00049180,          0.00051963,          0.00050515,          0.00129638
,,,,,,    1.800000,    0.053963,          0.00032602,          0.00030266,          0.00052473,          0.00056940,          0.00060163,          0.00058486,          0.00150104,          2.25421147,          2.24866400,          2.31274257,          2.28546013,          2.29254510,          2.29156994,          2.48039354,          0.00010896,          0.00010103,          0.00017763,          0.00019161,          0.00020277,          0.00019708,          0.00052621,          0.00035645,          0.00033091,          0.00057370,          0.00062254,          0.00065778,          0.00063944,          0.00164112
,,,,,,    2.000000,    0.059958,          0.00040255,          0.00037370,          0.00064792,          0.00070311,          0.00074291,          0.00072220,          0.00185362,          2.25422065,          2.24867251,          2.31275753,          2.28547626,          2.29256217,          2.29158653,          2.48043779,          0.00012108,          0.00011226,          0.00019740,          0.00021294,          0.00022534,          0.00021902,          0.00058484,          0.00044011,          0.00040857,          0.00070838,          0.00076872,          0.00081223,          0.00078960,          0.00202660
,,,,,,    2.200000,    0.065954,          0.00048715,          0.00045224,          0.00078411,          0.00085095,          0.00089912,          0.00087406,          0.00224353,          2.25423080,          2.24868192,          2.31277408,          2.28549409,          2.29258103,          2.29160486,          2.48048670,          0.00013321,          0.00012351,          0.00021717,          0.00023429,          0.00024794,          0.00024097,          0.00064352,          0.00053261,          0.00049444,          0.00085728,          0.00093036,          0.00098302,          0.00095562,          0.00245290
,,,,,,    2.400000,    0.071950,          0.00057984,          0.00053828,          0.00093333,          0.00101295,          0.00107029,          0.00104045,          0.00267084,          2.25424192,          2.24869223,          2.31279219,          2.28551362,          2.29260170,          2.29162495,          2.48054029,          0.00014534,          0.00013475,          0.00023696,          0.00025565,          0.00027054,          0.00026295,          0.00070225,          0.00063395,          0.00058851,          0.00102042,          0.00110748,          0.00117017,          0.00113755,          0.00292008
,,,,,,    2.600000,    0.077946,          0.00068062,          0.00063182,          0.00109558,          0.00118913,          0.00125644,          0.00122141,          0.00313561,          2.25425400,          2.24870344,          2.31281189,          2.28553485,          2.29262417,          2.29164679,          2.48059856,          0.00015748,          0.00014601,          0.00025676,          0.00027703,          0.00029317,          0.00028493,          0.00076104,          0.00074413,          0.00069079,          0.00119782,          0.00130009,          0.00137369,          0.00133539,          0.00342823
,,,,,,    2.800000,    0.083942,          0.00078950,          0.00073289,          0.00127088,          0.00137950,          0.00145759,          0.00141695,          0.00363793,          2.25426706,          2.24871555,          2.31283317,          2.28555779,          2.29264845,          2.29167039,          2.48066151,          0.00016962,          0.00015726,          0.00027657,          0.00029843,          0.00031581,          0.00030694,          0.00081990,          0.00086317,          0.00080128,          0.00138948,          0.00150823,          0.00159361,          0.00154918,          0.00397742
,,,,,,    3.000000,    0.089938,          0.00090648,          0.00084148,          0.00145926,          0.00158410,          0.00167378,          0.00162710,          0.00417787,          2.25428109,          2.24872856,          2.31285603,          2.28558244,          2.29267453,          2.29169574,          2.48072916,          0.00018177,          0.00016853,          0.00029639,          0.00031985,          0.00033848,          0.00032897,          0.00087883,          0.00099108,          0.00092000,          0.00159543,          0.00173192,          0.00182997,          0.00177894,          0.00456774
,,,,,,    3.200000,    0.095934,          0.00103159,          0.00095760,          0.00166072,          0.00180294,          0.00190502,          0.00185189,          0.00475552,          2.25429608,          2.24874246,          2.31288048,          2.28560880,          2.29270242,          2.29172285,          2.48080149,          0.00019393,          0.00017980,          0.00031623,          0.00034128,          0.00036117,          0.00035102,          0.00093784,          0.00112786,          0.00104696,          0.00181569,          0.00197119,          0.00208279,          0.00202470,          0.00519931
