../../../pdielec -processors 4 -matrix ptfe -sigma 5 -plate 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -optical_tensor 2.3471 0 0.0786 0 2.3942 0 0.0786 0 2.2621 -csv command.csv -masses program LEUCINE_FREQUENCY_PBED3_631Gdp_FULLOPTIMIZATON.out -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,   33.83,         0.010473,                  44.254244,     5.6346,     5.0
   4,   39.71,         0.001315,                   5.555864,     0.7074,     5.0
   5,   49.93,         0.004438,                  18.753408,     2.3878,     5.0
   6,   52.09,         0.000145,                   0.613388,     0.0781,     5.0
   7,   53.68,         0.033110,                 139.909188,    17.8138,     5.0
   8,   58.26,         0.007709,                  32.576488,     4.1478,     5.0
   9,   66.26,         0.008409,                  35.532906,     4.5242,     5.0
  10,   68.10,         0.001544,                   6.525556,     0.8309,     5.0
  11,   70.30,         0.014764,                  62.385526,     7.9432,     5.0
  12,   78.65,         0.151953,                 642.090507,    81.7535,     5.0
  13,   79.13,         0.041661,                 176.042909,    22.4145,     5.0
  14,   84.05,         0.030322,                 128.126655,    16.3136,     5.0
  15,   87.97,         0.051132,                 216.065184,    27.5103,     5.0
  16,   88.97,         0.039645,                 167.525454,    21.3300,     5.0
  17,   95.79,         0.024277,                 102.586827,    13.0618,     5.0
  18,   99.41,         0.033869,                 143.115566,    18.2220,     5.0
  19,   99.70,         0.161031,                 680.452779,    86.6379,     5.0
  20,  107.04,         0.041142,                 173.851065,    22.1354,     5.0
  21,  110.48,         0.134427,                 568.034625,    72.3244,     5.0
  22,  120.12,         0.040039,                 169.187456,    21.5416,     5.0
  23,  121.39,         0.027528,                 116.320881,    14.8104,     5.0
  24,  125.67,         0.066026,                 279.000013,    35.5234,     5.0
  25,  132.97,         1.474809,                6231.953716,   793.4770,     5.0
  26,  138.01,         0.134904,                 570.052145,    72.5813,     5.0
  27,  141.97,         0.815842,                3447.423878,   438.9396,     5.0
  28,  147.19,         0.465092,                1965.292962,   250.2289,     5.0
  29,  152.04,         0.000658,                   2.782417,     0.3543,     5.0
  30,  170.41,         0.010054,                  42.484103,     5.4092,     5.0
  31,  177.71,         0.064371,                 272.005116,    34.6328,     5.0
  32,  184.92,         0.004744,                  20.046784,     2.5524,     5.0
  33,  186.64,         0.047563,                 200.984014,    25.5901,     5.0
  34,  195.28,         1.808648,                7642.624994,   973.0892,     5.0
  35,  204.18,         0.643316,                2718.395378,   346.1168,     5.0
  36,  219.92,         0.006894,                  29.133060,     3.7093,     5.0
  37,  220.05,         0.832843,                3519.262695,   448.0864,     5.0
  38,  220.42,         4.762209,               20123.190613,  2562.1642,     5.0
  39,  233.03,         4.323394,               18268.932742,  2326.0728,     5.0
  40,  234.50,         0.033826,                 142.934389,    18.1990,     5.0
  41,  241.82,         0.700863,                2961.566862,   377.0784,     5.0
  42,  247.22,         0.557813,                2357.095426,   300.1147,     5.0
  43,  248.31,         0.597616,                2525.286615,   321.5295,     5.0
  44,  253.82,         0.360318,                1522.560362,   193.8584,     5.0
  45,  260.13,         0.500198,                2113.634808,   269.1163,     5.0
  46,  270.44,         0.044231,                 186.901997,    23.7971,     5.0
  47,  271.16,         0.055037,                 232.565861,    29.6112,     5.0
  48,  287.87,         0.005114,                  21.608349,     2.7513,     5.0
  49,  287.97,         0.026531,                 112.107891,    14.2740,     5.0
  50,  302.44,         0.085451,                 361.082109,    45.9744,     5.0
  51,  304.46,         0.432013,                1825.514342,   232.4317,     5.0
  52,  308.44,         0.155910,                 658.813350,    83.8827,     5.0
  53,  308.52,         0.076732,                 324.240465,    41.2836,     5.0
  54,  325.10,         0.468014,                1977.638045,   251.8007,     5.0
  55,  327.26,         0.982772,                4152.800467,   528.7510,     5.0
  56,  347.00,         0.038330,                 161.967279,    20.6223,     5.0
  57,  350.24,         0.358050,                1512.975382,   192.6380,     5.0
  58,  351.55,         1.738442,                7345.960889,   935.3168,     5.0
  59,  367.48,         4.279165,               18082.038842,  2302.2767,     5.0
  60,  392.99,         1.007544,                4257.479703,   542.0792,     5.0
  61,  396.77,         1.340108,                5662.759857,   721.0050,     5.0
  62,  403.57,         0.992308,                4193.094816,   533.8814,     5.0
  63,  405.31,         3.181486,               13443.687679,  1711.7035,     5.0
  64,  429.97,         0.046105,                 194.822021,    24.8055,     5.0
  65,  436.93,         0.637292,                2692.939720,   342.8757,     5.0
  66,  437.47,         1.200034,                5070.864833,   645.6426,     5.0
  67,  439.16,         2.262599,                9560.836510,  1217.3235,     5.0
  68,  452.33,         0.058720,                 248.125443,    31.5923,     5.0
  69,  452.67,         0.017378,                  73.432377,     9.3497,     5.0
  70,  455.50,         0.377236,                1594.047918,   202.9605,     5.0
  71,  456.50,         0.552588,                2335.015399,   297.3034,     5.0
  72,  528.98,         0.781343,                3301.640924,   420.3780,     5.0
  73,  532.12,         1.017709,                4300.432120,   547.5480,     5.0
  74,  535.81,         1.682831,                7110.969531,   905.3968,     5.0
  75,  539.69,         3.814731,               16119.526445,  2052.4019,     5.0
  76,  586.82,         0.016644,                  70.330835,     8.9548,     5.0
  77,  588.56,         0.012540,                  52.987611,     6.7466,     5.0
  78,  592.22,         0.318665,                1346.550915,   171.4482,     5.0
  79,  602.99,         1.047594,                4426.712469,   563.6265,     5.0
  80,  660.99,         0.059100,                 249.731824,    31.7968,     5.0
  81,  663.76,         1.635353,                6910.346927,   879.8527,     5.0
  82,  667.80,         0.061344,                 259.216744,    33.0045,     5.0
  83,  674.16,         1.443661,                6100.332595,   776.7185,     5.0
  84,  744.40,         0.990988,                4187.518591,   533.1714,     5.0
  85,  745.38,         0.045743,                 193.290506,    24.6105,     5.0
  86,  751.57,         0.171229,                 723.547312,    92.1249,     5.0
  87,  752.36,         0.031373,                 132.568792,    16.8792,     5.0
  88,  831.46,         0.139624,                 589.997196,    75.1208,     5.0
  89,  832.12,         1.854172,                7834.988612,   997.5817,     5.0
  90,  834.24,         0.086356,                 364.905308,    46.4612,     5.0
  91,  834.85,         0.448891,                1896.834605,   241.5125,     5.0
  92,  839.25,         0.029152,                 123.185290,    15.6844,     5.0
  93,  840.56,         0.467875,                1977.053070,   251.7262,     5.0
  94,  842.58,         0.020179,                  85.269037,    10.8568,     5.0
  95,  843.79,         1.087715,                4596.247320,   585.2124,     5.0
  96,  907.99,         0.012096,                  51.113284,     6.5079,     5.0
  97,  908.82,         0.430958,                1821.056907,   231.8642,     5.0
  98,  912.27,         0.093848,                 396.563964,    50.4921,     5.0
  99,  913.26,         0.043154,                 182.352116,    23.2178,     5.0
 100,  917.86,         0.000097,                   0.410994,     0.0523,     5.0
 101,  920.36,         0.016559,                  69.970476,     8.9089,     5.0
 102,  922.49,         0.613961,                2594.353187,   330.3233,     5.0
 103,  922.65,         0.947386,                4003.272669,   509.7125,     5.0
 104,  932.29,         0.127773,                 539.916809,    68.7443,     5.0
 105,  932.39,         0.891978,                3769.143055,   479.9022,     5.0
 106,  940.17,         0.000312,                   1.319765,     0.1680,     5.0
 107,  940.67,         0.031347,                 132.461373,    16.8655,     5.0
 108,  954.15,         0.232760,                 983.552260,   125.2298,     5.0
 109,  955.36,         0.083327,                 352.106298,    44.8316,     5.0
 110,  956.56,         0.020265,                  85.632828,    10.9031,     5.0
 111,  956.69,         0.140327,                 592.966829,    75.4989,     5.0
 112,  996.34,         0.603582,                2550.494574,   324.7391,     5.0
 113,  997.11,         0.755340,                3191.764306,   406.3881,     5.0
 114, 1008.94,         0.000842,                   3.559923,     0.4533,     5.0
 115, 1009.78,         0.604959,                2556.314131,   325.4800,     5.0
 116, 1032.95,         0.710888,                3003.928468,   382.4721,     5.0
 117, 1034.96,         0.224038,                 946.694420,   120.5369,     5.0
 118, 1044.40,         0.346948,                1466.061654,   186.6648,     5.0
 119, 1045.31,         0.136173,                 575.410647,    73.2636,     5.0
 120, 1079.39,         0.193557,                 817.892896,   104.1374,     5.0
 121, 1079.51,         1.319110,                5574.032712,   709.7079,     5.0
 122, 1093.56,         0.055604,                 234.960557,    29.9161,     5.0
 123, 1095.37,         0.110736,                 467.925847,    59.5782,     5.0
 124, 1118.22,         0.000013,                   0.056732,     0.0072,     5.0
 125, 1122.21,         0.854534,                3610.920628,   459.7567,     5.0
 126, 1126.12,         0.153022,                 646.610497,    82.3290,     5.0
 127, 1128.18,         0.831262,                3512.578830,   447.2354,     5.0
 128, 1161.51,         3.554138,               15018.364991,  1912.1976,     5.0
 129, 1162.35,         1.227860,                5188.443968,   660.6132,     5.0
 130, 1166.08,         0.003609,                  15.250609,     1.9418,     5.0
 131, 1167.25,         0.732669,                3095.968124,   394.1909,     5.0
 132, 1168.00,         0.015474,                  65.385822,     8.3252,     5.0
 133, 1172.07,         0.406709,                1718.588638,   218.8175,     5.0
 134, 1172.82,         0.424571,                1794.067372,   228.4278,     5.0
 135, 1173.37,         0.075170,                 317.639205,    40.4431,     5.0
 136, 1176.11,         0.977956,                4132.450888,   526.1600,     5.0
 137, 1178.13,         1.093284,                4619.782058,   588.2089,     5.0
 138, 1194.05,         0.027107,                 114.545343,    14.5844,     5.0
 139, 1197.50,         1.293111,                5464.169076,   695.7196,     5.0
 140, 1227.54,         1.225371,                5177.928487,   659.2743,     5.0
