../../../pdielec -matrix ptfe -sigma 5 -method maxwell -method bruggeman -method ap -vf 0.1 -needle 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -LO 1 1 1 -csv command.csv -hessian crystal -masses program -program crystal Na2SO42.out
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,   89.26,         0.497111,                2100.592235,   267.4557,     5.0
   5,  118.10,         0.995309,                4205.778012,   535.4963,     5.0
   8,  145.87,         4.023222,               17000.527864,  2164.5744,     5.0
  10,  170.52,         0.306644,                1295.754966,   164.9806,     5.0
  13,  213.27,         3.287984,               13893.704165,  1769.0014,     5.0
  15,  244.82,         3.382395,               14292.647813,  1819.7964,     5.0
  18,  320.65,         0.469851,                1985.401376,   252.7892,     5.0
  20,  386.93,         0.252536,                1067.116382,   135.8695,     5.0
  21,  439.57,         2.970752,               12553.208649,  1598.3242,     5.0
  22,  440.83,         9.325304,               39405.005909,  5017.2012,     5.0
  25,  481.29,         2.008389,                8486.648684,  1080.5537,     5.0
  27,  618.77,        20.456442,               86440.743006, 11005.9772,     5.0
  30,  914.05,         8.354441,               35302.525941,  4494.8572,     5.0
  32, 1111.12,        26.432955,              111695.093928, 14221.4611,     5.0
  34, 1129.18,        22.568179,               95364.097073, 12142.1340,     5.0
,,,,,,cm-1,thz,maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),bruggeman_needle[0 0 1]_real_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),bruggeman_plate(1 0 0)_real_dielectric(vf=0.1),ap_noshape[0 0 1]_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),bruggeman_plate(1 0 0)_imag_dielectric(vf=0.1),ap_noshape[0 0 1]_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1),bruggeman_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),bruggeman_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1),ap_noshape[0 0 1]_absorption_coefficent_cm-1(vf=0.1)
,,,,,,    0.000000,    0.000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,          2.23901423,          2.23320051,          2.28079443,          2.23402880,          2.23887814,          2.23815763,          2.35361086,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000
,,,,,,    0.200000,    0.005996,          0.00000202,          0.00000183,          0.00000269,          0.00000175,          0.00000187,          0.00000178,          0.00000386,          2.23901448,          2.23320073,          2.28079476,          2.23402901,          2.23887836,          2.23815785,          2.35361133,          0.00000605,          0.00000547,          0.00000814,          0.00000523,          0.00000560,          0.00000535,          0.00001186,          0.00000221,          0.00000200,          0.00000294,          0.00000191,          0.00000204,          0.00000195,          0.00000422
,,,,,,    0.400000,    0.011992,          0.00000808,          0.00000731,          0.00001076,          0.00000699,          0.00000747,          0.00000714,          0.00001543,          2.23901520,          2.23320139,          2.28079573,          2.23402964,          2.23887903,          2.23815849,          2.35361275,          0.00001211,          0.00001094,          0.00001628,          0.00001047,          0.00001119,          0.00001069,          0.00002372,          0.00000883,          0.00000799,          0.00001177,          0.00000765,          0.00000817,          0.00000780,          0.00001687
,,,,,,    0.600000,    0.017988,          0.00001818,          0.00001644,          0.00002421,          0.00001573,          0.00001681,          0.00001606,          0.00003472,          2.23901641,          2.23320248,          2.28079736,          2.23403068,          2.23888015,          2.23815956,          2.35361512,          0.00001816,          0.00001640,          0.00002442,          0.00001570,          0.00001679,          0.00001604,          0.00003557,          0.00001988,          0.00001797,          0.00002647,          0.00001720,          0.00001837,          0.00001755,          0.00003796
,,,,,,    0.800000,    0.023983,          0.00003232,          0.00002922,          0.00004305,          0.00002797,          0.00002988,          0.00002855,          0.00006173,          2.23901810,          2.23320401,          2.28079963,          2.23403215,          2.23888171,          2.23816105,          2.35361843,          0.00002422,          0.00002187,          0.00003256,          0.00002094,          0.00002239,          0.00002139,          0.00004743,          0.00003534,          0.00003195,          0.00004707,          0.00003058,          0.00003267,          0.00003121,          0.00006750
,,,,,,    1.000000,    0.029979,          0.00005050,          0.00004567,          0.00006727,          0.00004371,          0.00004669,          0.00004461,          0.00009647,          2.23902028,          2.23320597,          2.28080256,          2.23403403,          2.23888373,          2.23816297,          2.35362269,          0.00003028,          0.00002734,          0.00004070,          0.00002618,          0.00002799,          0.00002674,          0.00005930,          0.00005521,          0.00004993,          0.00007354,          0.00004779,          0.00005105,          0.00004877,          0.00010547
,,,,,,    1.200000,    0.035975,          0.00007273,          0.00006576,          0.00009687,          0.00006295,          0.00006724,          0.00006424,          0.00013892,          2.23902294,          2.23320838,          2.28080613,          2.23403633,          2.23888619,          2.23816532,          2.35362790,          0.00003634,          0.00003281,          0.00004885,          0.00003141,          0.00003359,          0.00003209,          0.00007116,          0.00007951,          0.00007190,          0.00010591,          0.00006882,          0.00007351,          0.00007023,          0.00015188
,,,,,,    1.400000,    0.041971,          0.00009900,          0.00008951,          0.00013186,          0.00008569,          0.00009152,          0.00008744,          0.00018910,          2.23902608,          2.23321122,          2.28081036,          2.23403905,          2.23888909,          2.23816810,          2.35363406,          0.00004239,          0.00003828,          0.00005699,          0.00003665,          0.00003919,          0.00003744,          0.00008303,          0.00010824,          0.00009787,          0.00014417,          0.00009368,          0.00010006,          0.00009560,          0.00020674
,,,,,,    1.600000,    0.047967,          0.00012932,          0.00011692,          0.00017224,          0.00011193,          0.00011955,          0.00011422,          0.00024701,          2.23902971,          2.23321449,          2.28081523,          2.23404218,          2.23889245,          2.23817130,          2.35364116,          0.00004846,          0.00004376,          0.00006514,          0.00004189,          0.00004479,          0.00004279,          0.00009489,          0.00014138,          0.00012784,          0.00018832,          0.00012237,          0.00013070,          0.00012487,          0.00027006
,,,,,,    1.800000,    0.053963,          0.00016368,          0.00014799,          0.00021802,          0.00014167,          0.00015132,          0.00014457,          0.00031265,          2.23903382,          2.23321821,          2.28082076,          2.23404574,          2.23889625,          2.23817493,          2.35364921,          0.00005452,          0.00004923,          0.00007329,          0.00004713,          0.00005040,          0.00004814,          0.00010677,          0.00017896,          0.00016181,          0.00023836,          0.00015489,          0.00016544,          0.00015806,          0.00034182
