../../../../pdielec -processors 4 -vmin 300 -vmax 800 -matrix ptfe -sigma 5 -sphere -needle 0 0 1 -plate 1 0 0 -csv command1.csv -masses program -hessian crystal -program crystal ZnO_CPHF.out -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   6,  373.28,        16.258071,               68700.105030,  8747.1690,     5.0
   7,  398.07,        15.468640,               65364.283764,  8322.4391,     5.0
   8,  398.07,        15.468640,               65364.283764,  8322.4391,     5.0
,,,,,,cm-1,thz,maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1)
,,,,,,  300.000000,    8.993774,          0.45707301,          2.36683666,          3.11961037,          2.44670167,          2.79829339,          3.05317544,          0.00294976,          0.01633529,          0.02248999,          1.54376487,          7.99399486,         10.53648933
,,,,,,  300.200000,    8.999770,          0.45847113,          2.38053266,          3.13660915,          2.44693784,          2.79960077,          3.05497558,          0.00295695,          0.01642271,          0.02260414,          1.54848703,          8.04025310,         10.59390275
,,,,,,  300.400000,    9.005765,          0.45987434,          2.39433896,          3.15373562,          2.44717458,          2.80091514,          3.05678485,          0.00296417,          0.01651083,          0.02271916,          1.55322637,          8.08688391,         10.65174744
,,,,,,  300.600000,    9.011761,          0.46128266,          2.40825675,          3.17099107,          2.44741190,          2.80223655,          3.05860331,          0.00297141,          0.01659967,          0.02283505,          1.55798297,          8.13389127,         10.71002773
,,,,,,  300.800000,    9.017757,          0.46269611,          2.42228722,          3.18837678,          2.44764980,          2.80356506,          3.06043105,          0.00297868,          0.01668924,          0.02295184,          1.56275690,          8.18127922,         10.76874801
,,,,,,  301.000000,    9.023753,          0.46411472,          2.43643160,          3.20589408,          2.44788828,          2.80490074,          3.06226813,          0.00298597,          0.01677953,          0.02306953,          1.56754825,          8.22905186,         10.82791272
,,,,,,  301.200000,    9.029749,          0.46553851,          2.45069109,          3.22354430,          2.44812735,          2.80624363,          3.06411461,          0.00299329,          0.01687057,          0.02318813,          1.57235710,          8.27721334,         10.88752636
,,,,,,  301.400000,    9.035745,          0.46696750,          2.46506696,          3.24132878,          2.44836700,          2.80759381,          3.06597058,          0.00300063,          0.01696235,          0.02330764,          1.57718352,          8.32576786,         10.94759348
,,,,,,  301.600000,    9.041741,          0.46840172,          2.47956046,          3.25924890,          2.44860724,          2.80895132,          3.06783611,          0.00300800,          0.01705489,          0.02342809,          1.58202761,          8.37471969,         11.00811870
,,,,,,  301.800000,    9.047736,          0.46984120,          2.49417288,          3.27730603,          2.44884807,          2.81031623,          3.06971128,          0.00301540,          0.01714819,          0.02354947,          1.58688945,          8.42407314,         11.06910669
