../../../../pdielec -vmin 300 -vmax 800 -matrix ptfe -sigma 5 -sphere -needle 0 0 1 -plate 1 0 0 -optical 5.73897 5.73897 5.67346 -csv command.csv -masses program -hessian crystal -program crystal ZnO_default.out
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   6,  373.28,        16.222525,               68549.901892,  8728.0446,     5.0
   7,  398.07,        15.559299,               65747.371760,  8371.2154,     5.0
   8,  398.07,        15.559299,               65747.371760,  8371.2154,     5.0
,,,,,,cm-1,thz,maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1)
,,,,,,  300.000000,    8.993774,          0.40444680,          2.32378684,          3.07378693,          2.46016261,          2.84717432,          3.14191324,          0.00261730,          0.01617764,          0.02247935,          1.36601975,          7.84859400,         10.38172060
,,,,,,  300.200000,    8.999770,          0.40573833,          2.33732316,          3.09056738,          2.46037216,          2.84846908,          3.14371253,          0.00262402,          0.01626474,          0.02259348,          1.37038192,          7.89431295,         10.43839658
,,,,,,  300.400000,    9.005765,          0.40703485,          2.35096884,          3.10747404,          2.46058226,          2.84977080,          3.14552095,          0.00263077,          0.01635254,          0.02270848,          1.37476089,          7.94040126,         10.49549885
,,,,,,  300.600000,    9.011761,          0.40833636,          2.36472505,          3.12450817,          2.46079289,          2.85107954,          3.14733856,          0.00263753,          0.01644105,          0.02282436,          1.37915676,          7.98686289,         10.55303168
,,,,,,  300.800000,    9.017757,          0.40964290,          2.37859299,          3.14167108,          2.46100406,          2.85239536,          3.14916544,          0.00264433,          0.01653029,          0.02294113,          1.38356961,          8.03370186,         10.61099942
,,,,,,  301.000000,    9.023753,          0.41095450,          2.39257384,          3.15896405,          2.46121577,          2.85371832,          3.15100166,          0.00265115,          0.01662025,          0.02305881,          1.38799951,          8.08092222,         10.66940645
,,,,,,  301.200000,    9.029749,          0.41227116,          2.40666884,          3.17638840,          2.46142804,          2.85504846,          3.15284730,          0.00265799,          0.01671096,          0.02317738,          1.39244656,          8.12852810,         10.72825723
,,,,,,  301.400000,    9.035745,          0.41359293,          2.42087921,          3.19394547,          2.46164085,          2.85638586,          3.15470241,          0.00266486,          0.01680241,          0.02329688,          1.39691084,          8.17652367,         10.78755628
,,,,,,  301.600000,    9.041741,          0.41491983,          2.43520622,          3.21163662,          2.46185421,          2.85773057,          3.15656708,          0.00267175,          0.01689462,          0.02341731,          1.40139243,          8.22491316,         10.84730814
,,,,,,  301.800000,    9.047736,          0.41625187,          2.44965113,          3.22946320,          2.46206812,          2.85908265,          3.15844138,          0.00267867,          0.01698759,          0.02353867,          1.40589142,          8.27370085,         10.90751745
,,,,,,  302.000000,    9.053732,          0.41758910,          2.46421522,          3.24742660,          2.46228258,          2.86044216,          3.16032538,          0.00268561,          0.01708133,          0.02366098,          1.41040789,          8.32289109,         10.96818889
,,,,,,  302.200000,    9.059728,          0.41893153,          2.47889980,          3.26552824,          2.46249760,          2.86180917,          3.16221917,          0.00269258,          0.01717585,          0.02378425,          1.41494195,          8.37248830,         11.02932720
,,,,,,  302.400000,    9.065724,          0.42027919,          2.49370620,          3.28376954,          2.46271318,          2.86318373,          3.16412281,          0.00269957,          0.01727116,          0.02390848,          1.41949366,          8.42249693,         11.09093720
,,,,,,  302.600000,    9.071720,          0.42163210,          2.50863575,          3.30215192,          2.46292932,          2.86456591,          3.16603639,          0.00270659,          0.01736727,          0.02403370,          1.42406313,          8.47292151,         11.15302374
,,,,,,  302.800000,    9.077716,          0.42299029,          2.52368981,          3.32067687,          2.46314602,          2.86595578,          3.16795998,          0.00271363,          0.01746418,          0.02415990,          1.42865044,          8.52376664,         11.21559178
,,,,,,  303.000000,    9.083711,          0.42435380,          2.53886977,          3.33934585,          2.46336329,          2.86735339,          3.16989366,          0.00272070,          0.01756191,          0.02428710,          1.43325567,          8.57503696,         11.27864629
,,,,,,  303.200000,    9.089707,          0.42572264,          2.55417701,          3.35816036,          2.46358112,          2.86875882,          3.17183751,          0.00272780,          0.01766047,          0.02441531,          1.43787893,          8.62673719,         11.34219234
,,,,,,  303.400000,    9.095703,          0.42709684,          2.56961295,          3.37712193,          2.46379952,          2.87017212,          3.17379162,          0.00273492,          0.01775986,          0.02454455,          1.44252029,          8.67887212,         11.40623507
,,,,,,  303.600000,    9.101699,          0.42847643,          2.58517904,          3.39623209,          2.46401849,          2.87159337,          3.17575605,          0.00274207,          0.01786010,          0.02467481,          1.44717986,          8.73144660,         11.47077968
,,,,,,  303.800000,    9.107695,          0.42986143,          2.60087672,          3.41549241,          2.46423803,          2.87302263,          3.17773091,          0.00274925,          0.01796119,          0.02480612,          1.45185771,          8.78446554,         11.53583142
,,,,,,  304.000000,    9.113691,          0.43125188,          2.61670747,          3.43490445,          2.46445815,          2.87445997,          3.17971626,          0.00275645,          0.01806314,          0.02493848,          1.45655396,          8.83793393,         11.60139564
,,,,,,  304.200000,    9.119687,          0.43264780,          2.63267279,          3.45446983,          2.46467884,          2.87590546,          3.18171220,          0.00276367,          0.01816597,          0.02507191,          1.46126868,          8.89185682,         11.66747775
,,,,,,  304.400000,    9.125682,          0.43404922,          2.64877419,          3.47419017,          2.46490012,          2.87735917,          3.18371880,          0.00277093,          0.01826968,          0.02520642,          1.46600197,          8.94623935,         11.73408322
,,,,,,  304.600000,    9.131678,          0.43545616,          2.66501323,          3.49406711,          2.46512197,          2.87882117,          3.18573616,          0.00277821,          0.01837428,          0.02534201,          1.47075393,          9.00108671,         11.80121761
,,,,,,  304.800000,    9.137674,          0.43686866,          2.68139145,          3.51410232,          2.46534441,          2.88029153,          3.18776435,          0.00278552,          0.01847979,          0.02547871,          1.47552465,          9.05640417,         11.86888655
,,,,,,  305.000000,    9.143670,          0.43828674,          2.69791044,          3.53429748,          2.46556743,          2.88177033,          3.18980348,          0.00279286,          0.01858622,          0.02561652,          1.48031422,          9.11219709,         11.93709575
,,,,,,  305.200000,    9.149666,          0.43971043,          2.71457180,          3.55465431,          2.46579104,          2.88325762,          3.19185363,          0.00280022,          0.01869357,          0.02575546,          1.48512274,          9.16847089,         12.00585098
,,,,,,  305.400000,    9.155662,          0.44113977,          2.73137718,          3.57517454,          2.46601523,          2.88475350,          3.19391488,          0.00280761,          0.01880186,          0.02589553,          1.48995031,          9.22523107,         12.07515811
,,,,,,  305.600000,    9.161658,          0.44257477,          2.74832821,          3.59585994,          2.46624002,          2.88625804,          3.19598733,          0.00281503,          0.01891109,          0.02603676,          1.49479703,          9.28248321,         12.14502307
,,,,,,  305.800000,    9.167653,          0.44401546,          2.76542658,          3.61671228,          2.46646541,          2.88777130,          3.19807108,          0.00282247,          0.01902128,          0.02617915,          1.49966299,          9.34023297,         12.21545189
,,,,,,  306.000000,    9.173649,          0.44546189,          2.78267398,          3.63773338,          2.46669139,          2.88929337,          3.20016620,          0.00282995,          0.01913245,          0.02632272,          1.50454829,          9.39848610,         12.28645068
,,,,,,  306.200000,    9.179645,          0.44691407,          2.80007214,          3.65892506,          2.46691797,          2.89082432,          3.20227280,          0.00283745,          0.01924459,          0.02646748,          1.50945302,          9.45724842,         12.35802561
,,,,,,  306.400000,    9.185641,          0.44837203,          2.81762281,          3.68028918,          2.46714515,          2.89236424,          3.20439098,          0.00284498,          0.01935773,          0.02661344,          1.51437730,          9.51652583,         12.43018297
,,,,,,  306.600000,    9.191637,          0.44983581,          2.83532776,          3.70182763,          2.46737293,          2.89391319,          3.20652082,          0.00285253,          0.01947187,          0.02676062,          1.51932122,          9.57632434,         12.50292911
,,,,,,  306.800000,    9.197633,          0.45130543,          2.85318880,          3.72354231,          2.46760132,          2.89547127,          3.20866243,          0.00286012,          0.01958703,          0.02690904,          1.52428487,          9.63665003,         12.57627048
,,,,,,  307.000000,    9.203628,          0.45278093,          2.87120775,          3.74543516,          2.46783031,          2.89703855,          3.21081591,          0.00286773,          0.01970322,          0.02705870,          1.52926837,          9.69750907,         12.65021362
