../../../pdielec -vmin 300 -vmax 800 -sphere -needle 0 0 1 -dielectric 3 -vf 0.1 -vf 0.2 -method maxwell -method bruggeman -method ap -sigma 10 -csv command.csv -program experiment data.expt
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   0,  388.28,         9.290762,               39259.045473,  2499.3085,    10.0
   1,  388.28,         9.290762,               39259.045473,  2499.3085,    10.0
   2,  388.28,         9.290762,               39259.045473,  2499.3085,    10.0
,,,,,,cm-1,thz,maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),bruggeman_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),bruggeman_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),ap_noshape_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),maxwell_sphere_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_sphere_real_dielectric(vf=0.2),maxwell_needle[0 0 1]_real_dielectric(vf=0.2),bruggeman_sphere_real_dielectric(vf=0.1),bruggeman_needle[0 0 1]_real_dielectric(vf=0.1),bruggeman_sphere_real_dielectric(vf=0.2),bruggeman_needle[0 0 1]_real_dielectric(vf=0.2),ap_noshape_real_dielectric(vf=0.1),ap_noshape_real_dielectric(vf=0.2),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.2),maxwell_needle[0 0 1]_imag_dielectric(vf=0.2),bruggeman_sphere_imag_dielectric(vf=0.1),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.1),bruggeman_sphere_imag_dielectric(vf=0.2),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.2),ap_noshape_imag_dielectric(vf=0.1),ap_noshape_imag_dielectric(vf=0.2),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_sphere_absorption_coefficent_cm-1(vf=0.2),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.2),bruggeman_sphere_absorption_coefficent_cm-1(vf=0.1),bruggeman_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),bruggeman_sphere_absorption_coefficent_cm-1(vf=0.2),bruggeman_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.2),ap_noshape_absorption_coefficent_cm-1(vf=0.1),ap_noshape_absorption_coefficent_cm-1(vf=0.2)
,,,,,,  300.000000,    8.993774,          0.56405697,          1.62114323,          0.59553529,          1.55404862,          0.72441273,          0.72441275,          0.95234019,          0.95234026,          3.64734653,          3.12348673,          3.63173065,          3.91234685,          4.35880567,          4.92464884,          3.68954980,          3.68954980,          4.61646479,          4.61646480,          4.71281054,          6.42562107,          0.01138627,          0.03396609,          0.02634053,          0.07306267,          0.01473924,          0.01473924,          0.04334939,          0.04334939,          0.08387558,          0.16775117,          4.89113608,         14.05750227,         10.32819119,         26.95140255,          6.28163717,          6.28163737,         16.51615244,         16.51615370,         31.62742255,         54.16970051
,,,,,,  300.200000,    8.999770,          0.56560706,          1.62888928,          0.59720215,          1.56129823,          0.72667859,          0.72667859,          0.95575388,          0.95575388,          3.66533705,          3.13837344,          3.63218600,          3.91370044,          4.35985895,          4.92756044,          3.69013897,          3.69013897,          4.61819622,          4.61819622,          4.71615137,          6.43230275,          0.01141067,          0.03411154,          0.02639985,          0.07337630,          0.01477667,          0.01477667,          0.04348395,          0.04348395,          0.08426302,          0.16852604,          4.90457745,         14.12467093,         10.35709914,         27.07713049,          6.30128520,          6.30128520,         16.57535500,         16.57535500,         31.78342472,         54.42787634
,,,,,,  300.400000,    9.005765,          0.56716201,          1.63668641,          0.59887439,          1.56859448,          0.72895316,          0.72895316,          0.95918351,          0.95918351,          3.68344624,          3.15335523,          3.63264232,          3.91505979,          4.36091460,          4.93048447,          3.69072964,          3.69072964,          4.61993301,          4.61993301,          4.71950756,          6.43901513,          0.01143514,          0.03425796,          0.02645935,          0.07369199,          0.01481424,          0.01481424,          0.04361913,          0.04361913,          0.08465309,          0.16930618,          4.91806095,         14.19228258,         10.38610025,         27.20366721,          6.32100885,          6.32100885,         16.63483416,         16.63483416,         31.94045580,         54.68770105
,,,,,,  300.600000,    9.011761,          0.56872184,          1.64453507,          0.60055202,          1.57593777,          0.73123649,          0.73123649,          0.96262922,          0.96262922,          3.70167510,          3.16843290,          3.63309963,          3.91642494,          4.36197264,          4.93342101,          3.69132180,          3.69132180,          4.62167519,          4.62167519,          4.72287921,          6.44575842,          0.01145969,          0.03440534,          0.02651904,          0.07400976,          0.01485194,          0.01485194,          0.04375495,          0.04375495,          0.08504581,          0.17009163,          4.93158676,         14.26034113,         10.41519488,         27.33101971,          6.34080841,          6.34080841,         16.69459196,         16.69459196,         32.09852469,         54.94918855
,,,,,,  300.800000,    9.017757,          0.57028656,          1.65243574,          0.60223506,          1.58332851,          0.73352862,          0.73352862,          0.96609109,          0.96609109,          3.72002469,          3.18360725,          3.63355791,          3.91779594,          4.36303305,          4.93637015,          3.69191548,          3.69191548,          4.62342277,          4.62342277,          4.72626641,          6.45253282,          0.01148430,          0.03455369,          0.02657890,          0.07432963,          0.01488979,          0.01488979,          0.04389141,          0.04389141,          0.08544122,          0.17088243,          4.94515502,         14.32885055,         10.44438343,         27.45919507,          6.36068429,          6.36068429,         16.75463019,         16.75463019,         32.25764040,         55.21235291
,,,,,,  301.000000,    9.023753,          0.57185620,          1.66038886,          0.60392355,          1.59076711,          0.73582960,          0.73582960,          0.96956924,          0.96956924,          3.73849604,          3.19887912,          3.63401717,          3.91917281,          4.36409586,          4.93933197,          3.69251066,          3.69251066,          4.62517580,          4.62517580,          4.72966928,          6.45933855,          0.01150898,          0.03470303,          0.02663896,          0.07465161,          0.01492778,          0.01492778,          0.04402851,          0.04402851,          0.08583932,          0.17167865,          4.95876593,         14.39781484,         10.47366628,         27.58820043,          6.38063686,          6.38063686,         16.81495063,         16.81495063,         32.41781201,         55.47720833
,,,,,,  301.200000,    9.029749,          0.57343078,          1.66839490,          0.60561749,          1.59825398,          0.73813947,          0.73813947,          0.97306376,          0.97306376,          3.75709023,          3.21424932,          3.63447743,          3.92055561,          4.36516107,          4.94230655,          3.69310736,          3.69310736,          4.62693428,          4.62693428,          4.73308791,          6.46617583,          0.01153374,          0.03485335,          0.02669920,          0.07497574,          0.01496590,          0.01496590,          0.04416625,          0.04416625,          0.08624016,          0.17248032,          4.97241963,         14.46723804,         10.50304382,         27.71804302,          6.40066653,          6.40066653,         16.87555510,         16.87555510,         32.57904873,         55.74376919
,,,,,,  301.400000,    9.035745,          0.57501031,          1.67645434,          0.60731691,          1.60578955,          0.74045827,          0.74045827,          0.97657476,          0.97657476,          3.77580832,          3.22971870,          3.63493867,          3.92194436,          4.36622868,          4.94529397,          3.69370558,          3.69370558,          4.62869825,          4.62869825,          4.73652243,          6.47304485,          0.01155857,          0.03500468,          0.02675962,          0.07530202,          0.01500417,          0.01500417,          0.04430464,          0.04430464,          0.08664375,          0.17328750,          4.98611631,         14.53712425,         10.53251644,         27.84873017,          6.42077369,          6.42077369,         16.93644541,         16.93644541,         32.74135985,         56.01204998
,,,,,,  301.600000,    9.041741,          0.57659482,          1.68456765,          0.60902184,          1.61337424,          0.74278606,          0.74278606,          0.98010236,          0.98010236,          3.79465139,          3.24528810,          3.63540090,          3.92333910,          4.36729871,          4.94829432,          3.69430533,          3.69430533,          4.63046773,          4.63046773,          4.73997293,          6.47994585,          0.01158347,          0.03515702,          0.02682024,          0.07563047,          0.01504258,          0.01504258,          0.04444369,          0.04444369,          0.08705012,          0.17410024,          4.99985614,         14.60747761,         10.56208453,         27.98026924,          6.44095873,          6.44095873,         16.99762340,         16.99762340,         32.90475477,         56.28206539
,,,,,,  301.800000,    9.047736,          0.57818432,          1.69273531,          0.61073230,          1.62100849,          0.74512287,          0.74512287,          0.98364664,          0.98364664,          3.81362055,          3.26095837,          3.63586413,          3.92473989,          4.36837116,          4.95130768,          3.69490661,          3.69490661,          4.63224275,          4.63224275,          4.74343952,          6.48687904,          0.01160844,          0.03531037,          0.02688104,          0.07596112,          0.01508113,          0.01508113,          0.04458340,          0.04458340,          0.08745930,          0.17491859,          5.01363928,         14.67830230,         10.59174848,         28.11266772,          6.46122206,          6.46122206,         17.05909093,         17.05909093,         33.06924298,         56.55383024
