../../../pdielec -processors 4 -matrix ptfe -sigma 5 -method maxwell -method bruggeman -method ap -vf 0.1 -needle 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -LO 1 1 1 -masses program -csv command.csv -program gulp na2so42.gout -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,   81.18,         1.546494,                6534.863232,   832.0446,     5.0
   4,  102.21,         0.000000,                   0.000001,     0.0000,     5.0
   6,  120.93,         0.000000,                   0.000009,     0.0000,     5.0
   7,  121.77,         1.165047,                4923.024028,   626.8189,     5.0
   9,  159.50,         0.204811,                 865.451272,   110.1927,     5.0
  11,  196.15,         1.876415,                7928.981298,  1009.5493,     5.0
  13,  213.91,         1.368763,                5783.844869,   736.4220,     5.0
  15,  245.38,         0.272789,                1152.698611,   146.7661,     5.0
  16,  245.85,         0.000000,                   0.000006,     0.0000,     5.0
  18,  382.72,         0.351909,                1487.027155,   189.3342,     5.0
  20,  446.64,         0.253350,                1070.556386,   136.3075,     5.0
  21,  473.67,         0.153506,                 648.656071,    82.5895,     5.0
  23,  558.97,         0.009330,                  39.423242,     5.0195,     5.0
  25,  621.84,         1.585956,                6701.616177,   853.2763,     5.0
  27,  640.68,         1.552273,                6559.284068,   835.1540,     5.0
  28,  641.72,         0.000000,                   0.000001,     0.0000,     5.0
  30, 1015.63,         0.131875,                 557.250524,    70.9513,     5.0
  32, 1194.80,         4.984047,               21060.589590,  2681.5176,     5.0
  33, 1203.72,         4.975015,               21022.424324,  2676.6582,     5.0
  34, 1208.11,         0.000000,                   0.000001,     0.0000,     5.0
,,,,,,cm-1,thz,maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),bruggeman_needle[0 0 1]_real_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),bruggeman_plate(1 0 0)_real_dielectric(vf=0.1),ap_noshape[0 0 1]_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),bruggeman_plate(1 0 0)_imag_dielectric(vf=0.1),ap_noshape[0 0 1]_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1),bruggeman_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),bruggeman_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1),ap_noshape[0 0 1]_absorption_coefficent_cm-1(vf=0.1)
,,,,,,    0.000000,    0.000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,          2.13165567,          2.15140161,          2.14591611,          2.15016725,          2.16373164,          2.15169279,          2.20469747,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000
,,,,,,    0.200000,    0.005996,          0.00000243,          0.00000350,          0.00000318,          0.00000362,          0.00000454,          0.00000370,          0.00000681,          2.13165602,          2.15140211,          2.14591656,          2.15016777,          2.16373230,          2.15169332,          2.20469846,          0.00000872,          0.00001264,          0.00001146,          0.00001306,          0.00001641,          0.00001334,          0.00002486,          0.00000326,          0.00000470,          0.00000427,          0.00000486,          0.00000609,          0.00000496,          0.00000914
,,,,,,    0.400000,    0.011992,          0.00000971,          0.00001402,          0.00001273,          0.00001449,          0.00001815,          0.00001479,          0.00002724,          2.13165706,          2.15140362,          2.14591794,          2.15016934,          2.16373426,          2.15169492,          2.20470143,          0.00001743,          0.00002527,          0.00002293,          0.00002611,          0.00003283,          0.00002668,          0.00004972,          0.00001303,          0.00001881,          0.00001708,          0.00001944,          0.00002436,          0.00001985,          0.00003655
,,,,,,    0.600000,    0.017988,          0.00002186,          0.00003154,          0.00002865,          0.00003260,          0.00004085,          0.00003329,          0.00006130,          2.13165880,          2.15140615,          2.14592022,          2.15017194,          2.16373754,          2.15169758,          2.20470639,          0.00002615,          0.00003791,          0.00003439,          0.00003917,          0.00004924,          0.00004001,          0.00007459,          0.00002932,          0.00004232,          0.00003844,          0.00004373,          0.00005481,          0.00004466,          0.00008224
,,,,,,    0.800000,    0.023983,          0.00003886,          0.00005608,          0.00005093,          0.00005795,          0.00007263,          0.00005918,          0.00010898,          2.13166124,          2.15140968,          2.14592343,          2.15017559,          2.16374212,          2.15170131,          2.20471333,          0.00003487,          0.00005055,          0.00004586,          0.00005223,          0.00006566,          0.00005336,          0.00009946,          0.00005213,          0.00007524,          0.00006833,          0.00007775,          0.00009744,          0.00007940,          0.00014622
,,,,,,    1.000000,    0.029979,          0.00006072,          0.00008763,          0.00007959,          0.00009056,          0.00011349,          0.00009248,          0.00017030,          2.13166437,          2.15141422,          2.14592755,          2.15018028,          2.16374801,          2.15170610,          2.20472225,          0.00004359,          0.00006319,          0.00005732,          0.00006529,          0.00008208,          0.00006670,          0.00012433,          0.00008146,          0.00011757,          0.00010678,          0.00012150,          0.00015226,          0.00012408,          0.00022849
,,,,,,    1.200000,    0.035975,          0.00008744,          0.00012619,          0.00011461,          0.00013041,          0.00016344,          0.00013318,          0.00024526,          2.13166820,          2.15141977,          2.14593258,          2.15018601,          2.16375521,          2.15171195,          2.20473315,          0.00005231,          0.00007584,          0.00006879,          0.00007835,          0.00009851,          0.00008005,          0.00014922,          0.00011731,          0.00016931,          0.00015377,          0.00017497,          0.00021928,          0.00017869,          0.00032907
,,,,,,    1.400000,    0.041971,          0.00011902,          0.00017177,          0.00015601,          0.00017752,          0.00022248,          0.00018129,          0.00033388,          2.13167273,          2.15142632,          2.14593853,          2.15019278,          2.16376373,          2.15171887,          2.20474604,          0.00006103,          0.00008849,          0.00008026,          0.00009142,          0.00011494,          0.00009340,          0.00017411,          0.00015969,          0.00023047,          0.00020932,          0.00023818,          0.00029850,          0.00024324,          0.00044796
,,,,,,    1.600000,    0.047967,          0.00015547,          0.00022438,          0.00020379,          0.00023189,          0.00029063,          0.00023682,          0.00043615,          2.13167795,          2.15143389,          2.14594540,          2.15020060,          2.16377355,          2.15172686,          2.20476092,          0.00006975,          0.00010114,          0.00009174,          0.00010449,          0.00013138,          0.00010675,          0.00019902,          0.00020859,          0.00030105,          0.00027342,          0.00031112,          0.00038994,          0.00031773,          0.00058518
,,,,,,    1.800000,    0.053963,          0.00019678,          0.00028402,          0.00025795,          0.00029353,          0.00036789,          0.00029976,          0.00055211,          2.13168387,          2.15144247,          2.14595318,          2.15020946,          2.16378469,          2.15173591,          2.20477778,          0.00007848,          0.00011380,          0.00010322,          0.00011757,          0.00014782,          0.00012011,          0.00022393,          0.00026402,          0.00038106,          0.00034609,          0.00039382,          0.00049359,          0.00040218,          0.00074075
