../../../pdielec -matrix ptfe -method ap -method maxwell -sphere -plate -1 -1 -2 -vmin 0 -vmax 2000 -vf 0.1 calcite.gout -masses program -csv command1.csv
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,  114.77,         2.386157,               10082.942949,  1283.8002,     5.0
   4,  114.77,         2.386165,               10082.976755,  1283.8045,     5.0
   5,  127.38,         3.359475,               14195.797145,  1807.4650,     5.0
   9,  249.29,         1.226152,                5181.227434,   659.6944,     5.0
  10,  249.29,         1.226152,                5181.226351,   659.6942,     5.0
  15,  320.71,         5.824938,               24613.856703,  3133.9336,     5.0
  16,  320.71,         5.824945,               24613.889414,  3133.9377,     5.0
  17,  338.14,         4.139440,               17491.616624,  2227.1018,     5.0
  20,  620.12,         3.383380,               14296.810138,  1820.3264,     5.0
  21,  620.12,         3.383372,               14296.778406,  1820.3224,     5.0
  22,  731.95,        26.890139,              113626.969350, 14467.4351,     5.0
  26, 1463.56,        16.971396,               71714.329831,  9130.9521,     5.0
  27, 1463.56,        16.971390,               71714.305879,  9130.9490,     5.0
,,,,,cm-1,thz,ap_noshape_real_dielectric(vf=0.1),ap_noshape_imag_dielectric(vf=0.1),ap_noshape_absorption_coeficient_cm-1(vf=0.1),ap_noshape_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_real_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_sphere_absorption_coeficient_cm-1(vf=0.1),maxwell_sphere_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(-1 -1 -2)_real_dielectric(vf=0.1),maxwell_plate(-1 -1 -2)_imag_dielectric(vf=0.1),maxwell_plate(-1 -1 -2)_absorption_coeficient_cm-1(vf=0.1),maxwell_plate(-1 -1 -2)_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.1)
,,,,,    0.000000,    0.000000,          2.48396755,          0.00000000,         -0.00000000,         -0.00000000,          2.28028521,          0.00000000,         -0.00000000,         -0.00000000,          2.37630317,          0.00000000,         -0.00000000,         -0.00000000
,,,,,    0.200000,    0.005996,          2.48396853,          0.00002470,          0.00000855,          0.00000630,          2.28028554,          0.00000831,          0.00000301,          0.00000221,          2.37630388,          0.00001788,          0.00000633,          0.00000466
,,,,,    0.400000,    0.011992,          2.48397149,          0.00004940,          0.00003421,          0.00002518,          2.28028654,          0.00001663,          0.00001202,          0.00000885,          2.37630602,          0.00003576,          0.00002532,          0.00001864
,,,,,    0.600000,    0.017988,          2.48397642,          0.00007411,          0.00007699,          0.00005667,          2.28028820,          0.00002495,          0.00002705,          0.00001991,          2.37630959,          0.00005363,          0.00005696,          0.00004193
,,,,,    0.800000,    0.023983,          2.48398333,          0.00009881,          0.00013687,          0.00010075,          2.28029053,          0.00003326,          0.00004808,          0.00003539,          2.37631459,          0.00007151,          0.00010127,          0.00007455
,,,,,    1.000000,    0.029979,          2.48399221,          0.00012352,          0.00021387,          0.00015742,          2.28029352,          0.00004158,          0.00007513,          0.00005530,          2.37632102,          0.00008940,          0.00015825,          0.00011648
,,,,,    1.200000,    0.035975,          2.48400306,          0.00014824,          0.00030799,          0.00022670,          2.28029717,          0.00004990,          0.00010820,          0.00007964,          2.37632887,          0.00010728,          0.00022789,          0.00016775
,,,,,    1.400000,    0.041971,          2.48401588,          0.00017296,          0.00041923,          0.00030859,          2.28030149,          0.00005821,          0.00014727,          0.00010840,          2.37633815,          0.00012517,          0.00031021,          0.00022834
,,,,,    1.600000,    0.047967,          2.48403068,          0.00019768,          0.00054761,          0.00040308,          2.28030647,          0.00006653,          0.00019237,          0.00014160,          2.37634886,          0.00014307,          0.00040520,          0.00029826
,,,,,    1.800000,    0.053963,          2.48404746,          0.00022241,          0.00069313,          0.00051020,          2.28031212,          0.00007486,          0.00024348,          0.00017922,          2.37636101,          0.00016097,          0.00051288,          0.00037752
,,,,,    2.000000,    0.059958,          2.48406621,          0.00024715,          0.00085580,          0.00062994,          2.28031844,          0.00008318,          0.00030061,          0.00022128,          2.37637458,          0.00017887,          0.00063324,          0.00046612
,,,,,    2.200000,    0.065954,          2.48408694,          0.00027190,          0.00103564,          0.00076231,          2.28032542,          0.00009150,          0.00036377,          0.00026776,          2.37638958,          0.00019678,          0.00076631,          0.00056406
,,,,,    2.400000,    0.071950,          2.48410964,          0.00029665,          0.00123264,          0.00090732,          2.28033306,          0.00009983,          0.00043296,          0.00031869,          2.37640601,          0.00021469,          0.00091208,          0.00067137
,,,,,    2.600000,    0.077946,          2.48413432,          0.00032142,          0.00144683,          0.00106498,          2.28034137,          0.00010816,          0.00050817,          0.00037405,          2.37642387,          0.00023262,          0.00107057,          0.00078803
,,,,,    2.800000,    0.083942,          2.48416098,          0.00034619,          0.00167822,          0.00123530,          2.28035035,          0.00011649,          0.00058941,          0.00043385,          2.37644316,          0.00025055,          0.00124179,          0.00091405
,,,,,    3.000000,    0.089938,          2.48418962,          0.00037098,          0.00192682,          0.00141829,          2.28035999,          0.00012483,          0.00067669,          0.00049810,          2.37646389,          0.00026849,          0.00142574,          0.00104946
,,,,,    3.200000,    0.095934,          2.48422023,          0.00039578,          0.00219266,          0.00161397,          2.28037030,          0.00013316,          0.00077001,          0.00056679,          2.37648605,          0.00028643,          0.00162244,          0.00119424
,,,,,    3.400000,    0.101929,          2.48425283,          0.00042059,          0.00247573,          0.00182233,          2.28038127,          0.00014150,          0.00086938,          0.00063993,          2.37650964,          0.00030439,          0.00183190,          0.00134842
,,,,,    3.600000,    0.107925,          2.48428741,          0.00044542,          0.00277607,          0.00204341,          2.28039291,          0.00014985,          0.00097479,          0.00071752,          2.37653467,          0.00032236,          0.00205414,          0.00151201
,,,,,    3.800000,    0.113921,          2.48432398,          0.00047026,          0.00309370,          0.00227720,          2.28040522,          0.00015819,          0.00108626,          0.00079957,          2.37656113,          0.00034033,          0.00228916,          0.00168501
,,,,,    4.000000,    0.119917,          2.48436253,          0.00049511,          0.00342862,          0.00252374,          2.28041819,          0.00016655,          0.00120378,          0.00088608,          2.37658903,          0.00035832,          0.00253699,          0.00186743
,,,,,    4.200000,    0.125913,          2.48440306,          0.00051998,          0.00378087,          0.00278302,          2.28043183,          0.00017490,          0.00132737,          0.00097705,          2.37661836,          0.00037632,          0.00279764,          0.00205928
,,,,,    4.400000,    0.131909,          2.48444558,          0.00054487,          0.00415047,          0.00305507,          2.28044614,          0.00018326,          0.00145703,          0.00107249,          2.37664914,          0.00039433,          0.00307112,          0.00226059
