../../../pdielec -program castep phonon -vmin 300 -vmax 800 -sphere -vf 0.01 -vf 0.1 -vf 0.2 -method maxwell -method mie -size 0 -size 0.1 -size 1.2 -sigma 5 -csv command.csv
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,  388.28,         9.290771,               39259.082853,  4998.6217,     5.0
   4,  388.28,         9.290771,               39259.082853,  4998.6217,     5.0
   5,  388.28,         9.290771,               39259.082853,  4998.6217,     5.0
,,,,,,cm-1,thz,maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.01),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.01/0.1mu),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.01/1.2mu),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/0.1mu),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/1.2mu),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2/0.1mu),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2/1.2mu),mie_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.01),mie_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.01/0.1mu),mie_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.01/1.2mu),mie_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),mie_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/0.1mu),mie_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/1.2mu),mie_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),mie_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2/0.1mu),mie_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2/1.2mu),maxwell_sphere_real_dielectric(vf=0.01),maxwell_sphere_real_dielectric(vf=0.01/0.1mu),maxwell_sphere_real_dielectric(vf=0.01/1.2mu),maxwell_sphere_real_dielectric(vf=0.1),maxwell_sphere_real_dielectric(vf=0.1/0.1mu),maxwell_sphere_real_dielectric(vf=0.1/1.2mu),maxwell_sphere_real_dielectric(vf=0.2),maxwell_sphere_real_dielectric(vf=0.2/0.1mu),maxwell_sphere_real_dielectric(vf=0.2/1.2mu),mie_sphere_real_dielectric(vf=0.01),mie_sphere_real_dielectric(vf=0.01/0.1mu),mie_sphere_real_dielectric(vf=0.01/1.2mu),mie_sphere_real_dielectric(vf=0.1),mie_sphere_real_dielectric(vf=0.1/0.1mu),mie_sphere_real_dielectric(vf=0.1/1.2mu),mie_sphere_real_dielectric(vf=0.2),mie_sphere_real_dielectric(vf=0.2/0.1mu),mie_sphere_real_dielectric(vf=0.2/1.2mu),maxwell_sphere_imag_dielectric(vf=0.01),maxwell_sphere_imag_dielectric(vf=0.01/0.1mu),maxwell_sphere_imag_dielectric(vf=0.01/1.2mu),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.1/0.1mu),maxwell_sphere_imag_dielectric(vf=0.1/1.2mu),maxwell_sphere_imag_dielectric(vf=0.2),maxwell_sphere_imag_dielectric(vf=0.2/0.1mu),maxwell_sphere_imag_dielectric(vf=0.2/1.2mu),mie_sphere_imag_dielectric(vf=0.01),mie_sphere_imag_dielectric(vf=0.01/0.1mu),mie_sphere_imag_dielectric(vf=0.01/1.2mu),mie_sphere_imag_dielectric(vf=0.1),mie_sphere_imag_dielectric(vf=0.1/0.1mu),mie_sphere_imag_dielectric(vf=0.1/1.2mu),mie_sphere_imag_dielectric(vf=0.2),mie_sphere_imag_dielectric(vf=0.2/0.1mu),mie_sphere_imag_dielectric(vf=0.2/1.2mu),maxwell_sphere_absorption_coefficent_cm-1(vf=0.01),maxwell_sphere_absorption_coefficent_cm-1(vf=0.01/0.1mu),maxwell_sphere_absorption_coefficent_cm-1(vf=0.01/1.2mu),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1/0.1mu),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1/1.2mu),maxwell_sphere_absorption_coefficent_cm-1(vf=0.2),maxwell_sphere_absorption_coefficent_cm-1(vf=0.2/0.1mu),maxwell_sphere_absorption_coefficent_cm-1(vf=0.2/1.2mu),mie_sphere_absorption_coefficent_cm-1(vf=0.01),mie_sphere_absorption_coefficent_cm-1(vf=0.01/0.1mu),mie_sphere_absorption_coefficent_cm-1(vf=0.01/1.2mu),mie_sphere_absorption_coefficent_cm-1(vf=0.1),mie_sphere_absorption_coefficent_cm-1(vf=0.1/0.1mu),mie_sphere_absorption_coefficent_cm-1(vf=0.1/1.2mu),mie_sphere_absorption_coefficent_cm-1(vf=0.2),mie_sphere_absorption_coefficent_cm-1(vf=0.2/0.1mu),mie_sphere_absorption_coefficent_cm-1(vf=0.2/1.2mu)
,,,,,,  300.000000,    8.993774,          0.17360706,          0.17360732,          0.11906066,          0.18129545,          0.18129665,          0.12442595,          0.19361583,          0.19361888,          0.13305729,          0.17293872,          0.17355682,          0.76476274,          0.17293872,          0.17355682,          0.76476274,          0.17293872,          0.17355682,          0.76476274,          2.04544487,          2.04544936,          2.04609080,          2.48769219,          2.48774384,          2.49513951,          3.06167594,          3.06179833,          3.07934865,          1.95515101,          1.95512278,          1.95090897,          1.57439532,          1.57414194,          1.53652437,          1.19964657,          1.19920423,          1.13401470,          0.00026300,          0.00026300,          0.00018040,          0.00302890,          0.00302895,          0.00208189,          0.00717712,          0.00717738,          0.00494650,         -0.00025614,         -0.00025706,         -0.00113147,         -0.00229852,         -0.00230655,         -0.01004149,         -0.00401281,         -0.00402641,         -0.01725353,          0.15054011,          0.15054033,          0.10324123,          1.57206958,          1.57207998,          1.07893636,          3.35780678,          3.35785967,          2.30756270,          0.14996058,          0.15049655,          0.66314969,          1.49960577,          1.50496550,          6.63149689,          2.99921153,          3.00993100,         13.26299378
,,,,,,  300.200000,    8.999770,          0.17404198,          0.17404226,          0.11930100,          0.18175404,          0.18175527,          0.12468036,          0.19411390,          0.19411699,          0.13333551,          0.17337166,          0.17399269,          0.76756586,          0.17337166,          0.17399269,          0.76756586,          0.17337166,          0.17399269,          0.76756586,          2.04546593,          2.04547042,          2.04611332,          2.48793468,          2.48798645,          2.49539941,          3.06225053,          3.06237321,          3.07996621,          1.95513051,          1.95510220,          1.95087609,          1.57421131,          1.57395726,          1.53623251,          1.19932533,          1.19888185,          1.13351303,          0.00026349,          0.00026349,          0.00018064,          0.00303468,          0.00303474,          0.00208487,          0.00719146,          0.00719172,          0.00495403,         -0.00025661,         -0.00025753,         -0.00113486,         -0.00230261,         -0.00231067,         -0.01007063,         -0.00401964,         -0.00403329,         -0.01730141,          0.15091725,          0.15091749,          0.10344963,          1.57604608,          1.57605675,          1.08114239,          3.36644460,          3.36649822,          2.31238775,          0.15033599,          0.15087450,          0.66558036,          1.50335985,          1.50874499,          6.65580357,          3.00671971,          3.01748998,         13.31160714
,,,,,,  300.400000,    9.005765,          0.17447810,          0.17447840,          0.11954186,          0.18221389,          0.18221515,          0.12493533,          0.19461339,          0.19461652,          0.13361437,          0.17380577,          0.17442975,          0.77038047,          0.17380577,          0.17442975,          0.77038047,          0.17380577,          0.17442975,          0.77038047,          2.04548702,          2.04549153,          2.04613588,          2.48817762,          2.48822951,          2.49565983,          3.06282626,          3.06294924,          3.08058504,          1.95510997,          1.95508158,          1.95084312,          1.57402698,          1.57377225,          1.53593989,          1.19900355,          1.19855891,          1.13301012,          0.00026397,          0.00026397,          0.00018089,          0.00304049,          0.00304054,          0.00208785,          0.00720585,          0.00720611,          0.00496159,         -0.00025708,         -0.00025800,         -0.00113825,         -0.00230670,         -0.00231479,         -0.01009986,         -0.00402648,         -0.00404019,         -0.01734945,          0.15129541,          0.15129568,          0.10365848,          1.58003362,          1.58004455,          1.08335335,          3.37510706,          3.37516141,          2.31722404,          0.15071242,          0.15125349,          0.66802100,          1.50712420,          1.51253489,          6.68020996,          3.01424840,          3.02506977,         13.36041992
,,,,,,  300.600000,    9.011761,          0.17491540,          0.17491573,          0.11978324,          0.18267502,          0.18267631,          0.12519088,          0.19511430,          0.19511748,          0.13389389,          0.17424107,          0.17486801,          0.77320664,          0.17424107,          0.17486801,          0.77320664,          0.17424107,          0.17486801,          0.77320664,          2.04550815,          2.04551267,          2.04615849,          2.48842103,          2.48847304,          2.49592076,          3.06340314,          3.06352642,          3.08120513,          1.95508939,          1.95506092,          1.95081007,          1.57384232,          1.57358690,          1.53564651,          1.19868122,          1.19823542,          1.13250595,          0.00026446,          0.00026446,          0.00018113,          0.00304630,          0.00304635,          0.00209084,          0.00722027,          0.00722053,          0.00496916,         -0.00025755,         -0.00025848,         -0.00114165,         -0.00231080,         -0.00231893,         -0.01012920,         -0.00403334,         -0.00404710,         -0.01739764,          0.15167462,          0.15167490,          0.10386780,          1.58403224,          1.58404345,          1.08556928,          3.38379424,          3.38384933,          2.32207162,          0.15108988,          0.15163352,          0.67047166,          1.51089885,          1.51633522,          6.70471661,          3.02179769,          3.03267045,         13.40943322
,,,,,,  300.800000,    9.017757,          0.17535391,          0.17535426,          0.12002516,          0.18313744,          0.18313876,          0.12544700,          0.19561665,          0.19561987,          0.13417406,          0.17467757,          0.17530749,          0.77604445,          0.17467757,          0.17530749,          0.77604445,          0.17467757,          0.17530749,          0.77604445,          2.04552932,          2.04553385,          2.04618114,          2.48866491,          2.48871704,          2.49618220,          3.06398118,          3.06410476,          3.08182649,          1.95506877,          1.95504022,          1.95077692,          1.57365733,          1.57340123,          1.53535236,          1.19835834,          1.19791138,          1.13200054,          0.00026495,          0.00026495,          0.00018138,          0.00305213,          0.00305219,          0.00209383,          0.00723472,          0.00723499,          0.00497675,         -0.00025802,         -0.00025895,         -0.00114507,         -0.00231492,         -0.00232307,         -0.01015865,         -0.00404021,         -0.00405402,         -0.01744599,          0.15205486,          0.15205516,          0.10407757,          1.58804198,          1.58805347,          1.08779018,          3.39250622,          3.39256206,          2.32693051,          0.15146838,          0.15201460,          0.67293241,          1.51468382,          1.52014604,          6.72932408,          3.02936764,          3.04029208,         13.45864817
,,,,,,  301.000000,    9.023753,          0.17579361,          0.17579399,          0.12026761,          0.18360114,          0.18360250,          0.12570370,          0.19612043,          0.19612369,          0.13445489,          0.17511526,          0.17574817,          0.77889394,          0.17511526,          0.17574817,          0.77889394,          0.17511526,          0.17574817,          0.77889394,          2.04555054,          2.04555507,          2.04620383,          2.48890925,          2.48896151,          2.49644414,          3.06456038,          3.06468425,          3.08244914,          1.95504811,          1.95501949,          1.95074369,          1.57347201,          1.57321523,          1.53505745,          1.19803490,          1.19758679,          1.13149387,          0.00026544,          0.00026544,          0.00018163,          0.00305798,          0.00305803,          0.00209683,          0.00724922,          0.00724949,          0.00498435,         -0.00025850,         -0.00025943,         -0.00114850,         -0.00231904,         -0.00232723,         -0.01018819,         -0.00404710,         -0.00406096,         -0.01749450,          0.15243614,          0.15243647,          0.10428780,          1.59206289,          1.59207465,          1.09001607,          3.40124311,          3.40129970,          2.33180077,          0.15184792,          0.15239674,          0.67540329,          1.51847916,          1.52396737,          6.75403294,          3.03695833,          3.04793474,         13.50806588
,,,,,,  301.200000,    9.029749,          0.17623453,          0.17623493,          0.12051059,          0.18406613,          0.18406752,          0.12596097,          0.19662565,          0.19662896,          0.13473637,          0.17555415,          0.17619008,          0.78175519,          0.17555415,          0.17619008,          0.78175519,          0.17555415,          0.17619008,          0.78175519,          2.04557178,          2.04557633,          2.04622656,          2.48915406,          2.48920644,          2.49670661,          3.06514074,          3.06526491,          3.08307306,          1.95502742,          1.95499872,          1.95071037,          1.57328636,          1.57302889,          1.53476176,          1.19771092,          1.19726164,          1.13098593,          0.00026593,          0.00026593,          0.00018187,          0.00306384,          0.00306389,          0.00209984,          0.00726376,          0.00726403,          0.00499198,         -0.00025897,         -0.00025991,         -0.00115195,         -0.00232317,         -0.00233139,         -0.01021785,         -0.00405400,         -0.00406792,         -0.01754317,          0.15281847,          0.15281882,          0.10449850,          1.59609499,          1.59610703,          1.09224697,          3.41000498,          3.41006233,          2.33668242,          0.15222849,          0.15277993,          0.67788437,          1.52228491,          1.52779925,          6.77884374,          3.04456982,          3.05559850,         13.55768749
,,,,,,  301.400000,    9.035745,          0.17667665,          0.17667708,          0.12075411,          0.18453242,          0.18453384,          0.12621882,          0.19713232,          0.19713567,          0.13501851,          0.17599424,          0.17663320,          0.78462827,          0.17599424,          0.17663320,          0.78462827,          0.17599424,          0.17663320,          0.78462827,          2.04559307,          2.04559763,          2.04624934,          2.48939934,          2.48945184,          2.49696959,          3.06572226,          3.06584673,          3.08369827,          1.95500668,          1.95497790,          1.95067695,          1.57310038,          1.57284222,          1.53446530,          1.19738639,          1.19693593,          1.13047673,          0.00026642,          0.00026642,          0.00018212,          0.00306971,          0.00306977,          0.00210285,          0.00727833,          0.00727860,          0.00499962,         -0.00025945,         -0.00026039,         -0.00115540,         -0.00232731,         -0.00233557,         -0.01024760,         -0.00406091,         -0.00407489,         -0.01759200,          0.15320185,          0.15320222,          0.10470966,          1.60013834,          1.60015066,          1.09448289,          3.41879193,          3.41885005,          2.34157550,          0.15261011,          0.15316417,          0.68037571,          1.52610109,          1.53164172,          6.80375707,          3.05220218,          3.06328344,         13.60751414
,,,,,,  301.600000,    9.041741,          0.17711999,          0.17712045,          0.12099816,          0.18500001,          0.18500147,          0.12647726,          0.19764044,          0.19764383,          0.13530132,          0.17643554,          0.17707755,          0.78751323,          0.17643554,          0.17707755,          0.78751323,          0.17643554,          0.17707755,          0.78751323,          2.04561440,          2.04561897,          2.04627216,          2.48964509,          2.48969771,          2.49723308,          3.06630494,          3.06642972,          3.08432476,          1.95498591,          1.95495706,          1.95064345,          1.57291407,          1.57265521,          1.53416805,          1.19706130,          1.19660967,          1.12996624,          0.00026691,          0.00026691,          0.00018237,          0.00307560,          0.00307566,          0.00210587,          0.00729295,          0.00729322,          0.00500728,         -0.00025992,         -0.00026087,         -0.00115887,         -0.00233146,         -0.00233975,         -0.01027747,         -0.00406784,         -0.00408188,         -0.01764100,          0.15358628,          0.15358668,          0.10492129,          1.60419296,          1.60420556,          1.09672384,          3.42760406,          3.42766294,          2.34648006,          0.15299277,          0.15354948,          0.68287735,          1.52992775,          1.53549481,          6.82877350,          3.05985549,          3.07098963,         13.65754700
,,,,,,  301.800000,    9.047736,          0.17756454,          0.17756503,          0.12124275,          0.18546891,          0.18547039,          0.12673627,          0.19815001,          0.19815345,          0.13558478,          0.17687805,          0.17752313,          0.79041015,          0.17687805,          0.17752313,          0.79041015,          0.17687805,          0.17752313,          0.79041015,          2.04563577,          2.04564035,          2.04629502,          2.48989131,          2.48994406,          2.49749709,          3.06688880,          3.06701388,          3.08495254,          1.95496511,          1.95493617,          1.95060985,          1.57272743,          1.57246787,          1.53387002,          1.19673566,          1.19628285,          1.12945448,          0.00026741,          0.00026741,          0.00018262,          0.00308150,          0.00308156,          0.00210889,          0.00730760,          0.00730788,          0.00501495,         -0.00026040,         -0.00026135,         -0.00116236,         -0.00233562,         -0.00234394,         -0.01030744,         -0.00407479,         -0.00408888,         -0.01769015,          0.15397177,          0.15397219,          0.10513338,          1.60825890,          1.60827179,          1.09896986,          3.43644144,          3.43650110,          2.35139613,          0.15337649,          0.15393586,          0.68538936,          1.53376491,          1.53935857,          6.85389361,          3.06752982,          3.07871714,         13.70778722
