../../../pdielec -processors 4 -program castep phonon -vmin 300 -vmax 800 -sphere -vf 0.1 -method mie -size 1.0 0.1 -sigma 5 -csv command.csv -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,  388.28,         9.290771,               39259.082853,  4998.6217,     5.0
   4,  388.28,         9.290771,               39259.082853,  4998.6217,     5.0
   5,  388.28,         9.290771,               39259.082853,  4998.6217,     5.0
,,,,,,cm-1,thz,mie_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/1/0.1mu),mie_sphere_real_dielectric(vf=0.1/1/0.1mu),mie_sphere_imag_dielectric(vf=0.1/1/0.1mu),mie_sphere_absorption_coefficent_cm-1(vf=0.1/1/0.1mu)
,,,,,,  300.000000,    8.993774,          0.58830813,          1.52671349,         -0.00769989,          5.10140373
,,,,,,  300.200000,    8.999770,          0.59038344,          1.52643984,         -0.00772121,          5.11939945
,,,,,,  300.400000,    9.005765,          0.59246700,          1.52616554,         -0.00774261,          5.13746659
,,,,,,  300.600000,    9.011761,          0.59455883,          1.52589057,         -0.00776407,          5.15560555
,,,,,,  300.800000,    9.017757,          0.59665899,          1.52561494,         -0.00778561,          5.17381669
,,,,,,  301.000000,    9.023753,          0.59876752,          1.52533865,         -0.00780723,          5.19210043
,,,,,,  301.200000,    9.029749,          0.60088447,          1.52506168,         -0.00782892,          5.21045714
,,,,,,  301.400000,    9.035745,          0.60300988,          1.52478404,         -0.00785068,          5.22888722
,,,,,,  301.600000,    9.041741,          0.60514379,          1.52450573,         -0.00787252,          5.24739108
,,,,,,  301.800000,    9.047736,          0.60728627,          1.52422673,         -0.00789444,          5.26596912
,,,,,,  302.000000,    9.053732,          0.60943734,          1.52394706,         -0.00791643,          5.28462174
,,,,,,  302.200000,    9.059728,          0.61159706,          1.52366670,         -0.00793849,          5.30334936
,,,,,,  302.400000,    9.065724,          0.61376548,          1.52338565,         -0.00796064,          5.32215238
,,,,,,  302.600000,    9.071720,          0.61594264,          1.52310391,         -0.00798286,          5.34103123
,,,,,,  302.800000,    9.077716,          0.61812859,          1.52282147,         -0.00800515,          5.35998633
,,,,,,  303.000000,    9.083711,          0.62032339,          1.52253835,         -0.00802753,          5.37901810
,,,,,,  303.200000,    9.089707,          0.62252708,          1.52225452,         -0.00804998,          5.39812697
,,,,,,  303.400000,    9.095703,          0.62473971,          1.52196998,         -0.00807251,          5.41731336
,,,,,,  303.600000,    9.101699,          0.62696133,          1.52168474,         -0.00809512,          5.43657773
,,,,,,  303.800000,    9.107695,          0.62919199,          1.52139880,         -0.00811782,          5.45592049
,,,,,,  304.000000,    9.113691,          0.63143174,          1.52111213,         -0.00814059,          5.47534211
,,,,,,  304.200000,    9.119687,          0.63368064,          1.52082476,         -0.00816344,          5.49484303
,,,,,,  304.400000,    9.125682,          0.63593874,          1.52053666,         -0.00818637,          5.51442369
,,,,,,  304.600000,    9.131678,          0.63820609,          1.52024785,         -0.00820938,          5.53408456
,,,,,,  304.800000,    9.137674,          0.64048274,          1.51995830,         -0.00823248,          5.55382609
,,,,,,  305.000000,    9.143670,          0.64276874,          1.51966803,         -0.00825566,          5.57364875
,,,,,,  305.200000,    9.149666,          0.64506415,          1.51937703,         -0.00827892,          5.59355300
,,,,,,  305.400000,    9.155662,          0.64736903,          1.51908529,         -0.00830226,          5.61353932
,,,,,,  305.600000,    9.161658,          0.64968343,          1.51879281,         -0.00832569,          5.63360818
,,,,,,  305.800000,    9.167653,          0.65200740,          1.51849959,         -0.00834920,          5.65376007
,,,,,,  306.000000,    9.173649,          0.65434100,          1.51820562,         -0.00837279,          5.67399546
,,,,,,  306.200000,    9.179645,          0.65668429,          1.51791090,         -0.00839647,          5.69431486
,,,,,,  306.400000,    9.185641,          0.65903733,          1.51761543,         -0.00842024,          5.71471875
,,,,,,  306.600000,    9.191637,          0.66140016,          1.51731921,         -0.00844409,          5.73520763
,,,,,,  306.800000,    9.197633,          0.66377286,          1.51702222,         -0.00846803,          5.75578202
,,,,,,  307.000000,    9.203628,          0.66615547,          1.51672448,         -0.00849206,          5.77644240
,,,,,,  307.200000,    9.209624,          0.66854806,          1.51642596,         -0.00851617,          5.79718931
,,,,,,  307.400000,    9.215620,          0.67095069,          1.51612667,         -0.00854037,          5.81802325
