../../../pdielec -matrix ptfe -sigma 5 -needle 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -LO 1 1 1 -csv command1.csv -masses program -program qe phonon.dynG
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   5,    5.95,         0.000022,                   0.091902,     0.0117,     5.0
   6,    8.19,         0.000004,                   0.014796,     0.0019,     5.0
   7,   22.74,         0.063484,                 268.260014,    34.1559,     5.0
   8,   31.04,         0.079469,                 335.802979,    42.7558,     5.0
  10,   41.26,         0.068226,                 288.297545,    36.7072,     5.0
  12,   43.13,         0.038238,                 161.578841,    20.5729,     5.0
  14,   47.74,         0.000310,                   1.310788,     0.1669,     5.0
  15,   50.12,         0.377252,                1594.115338,   202.9691,     5.0
  16,   56.14,         0.008123,                  34.323639,     4.3702,     5.0
  18,   61.14,         0.020196,                  85.341928,    10.8661,     5.0
  19,   62.60,         0.002476,                  10.462012,     1.3321,     5.0
  20,   64.16,         0.012587,                  53.187916,     6.7721,     5.0
  22,   69.68,         0.093677,                 395.840857,    50.4000,     5.0
  23,   73.53,         0.008016,                  33.873992,     4.3130,     5.0
  25,   75.74,         0.353558,                1493.993002,   190.2211,     5.0
  26,   77.83,         0.077458,                 327.304708,    41.6737,     5.0
  27,   80.76,         0.007907,                  33.412786,     4.2542,     5.0
  28,   81.18,         0.365978,                1546.477420,   196.9036,     5.0
  29,   81.55,         0.000024,                   0.103386,     0.0132,     5.0
  32,   86.55,         0.184677,                 780.371922,    99.3600,     5.0
  33,   88.64,         0.357080,                1508.876073,   192.1161,     5.0
  34,   89.37,         0.092890,                 392.516931,    49.9768,     5.0
  35,   93.95,         0.418376,                1767.889323,   225.0947,     5.0
  36,   94.10,         0.165676,                 700.078692,    89.1368,     5.0
  37,   94.16,         0.107699,                 455.091772,    57.9441,     5.0
  39,  100.93,         0.038332,                 161.977123,    20.6236,     5.0
  40,  112.82,         0.037871,                 160.028032,    20.3754,     5.0
  42,  118.09,         0.429685,                1815.678564,   231.1794,     5.0
  43,  118.51,         0.000116,                   0.488473,     0.0622,     5.0
  44,  125.52,         0.578289,                2443.616785,   311.1310,     5.0
  46,  126.48,         0.002044,                   8.636337,     1.0996,     5.0
  47,  127.02,         1.382340,                5841.217193,   743.7269,     5.0
  49,  139.37,         0.058324,                 246.452470,    31.3793,     5.0
  50,  144.47,         0.101354,                 428.279409,    54.5302,     5.0
  51,  146.96,         0.003391,                  14.327063,     1.8242,     5.0
  52,  149.22,         0.026513,                 112.033865,    14.2646,     5.0
  54,  149.99,         0.011224,                  47.429282,     6.0389,     5.0
  55,  151.19,         0.001597,                   6.748407,     0.8592,     5.0
  56,  161.04,         0.007626,                  32.223568,     4.1028,     5.0
  57,  161.20,         0.098204,                 414.972668,    52.8360,     5.0
  59,  162.47,         0.002407,                  10.172765,     1.2952,     5.0
  60,  171.40,         0.059361,                 250.836780,    31.9375,     5.0
  62,  174.38,         0.070416,                 297.550332,    37.8853,     5.0
  63,  175.34,         0.024348,                 102.883176,    13.0995,     5.0
  65,  195.56,         0.039930,                 168.729801,    21.4833,     5.0
  66,  196.05,         0.289841,                1224.753401,   155.9404,     5.0
  67,  196.78,         0.014368,                  60.711310,     7.7300,     5.0
  68,  208.66,         1.019505,                4308.019945,   548.5141,     5.0
  70,  210.21,         0.383575,                1620.833850,   206.3710,     5.0
  71,  210.32,         0.040081,                 169.365461,    21.5643,     5.0
  72,  217.92,         0.017824,                  75.318316,     9.5898,     5.0
  74,  220.32,         0.210565,                 889.762433,   113.2881,     5.0
  75,  222.57,         0.159415,                 673.622440,    85.7683,     5.0
  76,  229.47,         0.240555,                1016.490682,   129.4236,     5.0
  77,  229.59,         0.696171,                2941.738711,   374.5538,     5.0
  79,  231.06,         0.023464,                  99.151411,    12.6243,     5.0
  80,  263.59,         0.006134,                  25.920450,     3.3003,     5.0
  81,  264.46,         0.030093,                 127.159166,    16.1904,     5.0
  83,  266.22,         0.209462,                 885.101960,   112.6947,     5.0
  85,  273.58,         0.518315,                2190.191308,   278.8638,     5.0
  86,  273.92,         0.052727,                 222.805321,    28.3685,     5.0
  87,  274.08,         0.220757,                 932.829762,   118.7716,     5.0
  88,  289.95,         0.037649,                 159.089748,    20.2559,     5.0
  89,  290.68,         0.047919,                 202.487577,    25.7815,     5.0
  91,  291.83,         0.188255,                 795.490354,   101.2850,     5.0
  92,  304.63,         0.767241,                3242.054447,   412.7912,     5.0
  93,  305.47,         0.030460,                 128.713887,    16.3884,     5.0
  95,  309.61,         1.330212,                5620.945043,   715.6810,     5.0
  96,  324.38,         0.000000,                   0.000000,     0.0000,     5.0
  97,  324.38,         0.285426,                1206.094723,   153.5647,     5.0
  98,  330.98,         0.389601,                1646.296555,   209.6130,     5.0
  99,  332.42,         0.027565,                 116.477088,    14.8303,     5.0
 100,  356.09,         0.000880,                   3.718104,     0.4734,     5.0
 101,  357.11,         0.000082,                   0.348488,     0.0444,     5.0
 103,  358.94,         1.044870,                4415.200749,   562.1608,     5.0
 104,  377.84,         0.016236,                  68.605355,     8.7351,     5.0
 105,  377.90,         0.089802,                 379.467801,    48.3153,     5.0
 106,  377.99,         0.161967,                 684.406939,    87.1414,     5.0
 109,  381.18,         0.010678,                  45.122634,     5.7452,     5.0
 110,  382.52,         0.218792,                 924.528681,   117.7146,     5.0
 111,  382.55,         0.294135,                1242.894988,   158.2503,     5.0
 112,  410.63,         0.000078,                   0.329245,     0.0419,     5.0
 113,  410.77,         0.027733,                 117.190192,    14.9211,     5.0
 115,  412.06,         0.024834,                 104.938557,    13.3612,     5.0
 116,  414.69,         0.741973,                3135.282514,   399.1966,     5.0
 117,  415.61,         0.779540,                3294.024355,   419.4082,     5.0
 118,  415.80,         0.155320,                 656.319895,    83.5652,     5.0
 120,  443.69,         0.866147,                3659.992437,   466.0047,     5.0
 121,  443.78,         0.135872,                 574.139798,    73.1017,     5.0
 123,  444.32,         0.014381,                  60.766480,     7.7370,     5.0
 124,  460.89,         1.598890,                6756.267660,   860.2347,     5.0
 126,  477.87,        14.276140,               60325.255857,  7680.8501,     5.0
 127,  479.16,        16.040273,               67779.776510,  8629.9892,     5.0
 129,  485.95,         1.731326,                7315.889219,   931.4879,     5.0
 130,  489.31,        12.096022,               51112.951560,  6507.9031,     5.0
 131,  495.05,        66.912326,              282744.724550, 36000.1764,     5.0
 132,  538.09,         1.461884,                6177.335247,   786.5228,     5.0
 134,  538.41,         1.224175,                5172.875168,   658.6309,     5.0
 135,  538.95,         0.398725,                1684.852056,   214.5220,     5.0
 136,  554.04,         0.247319,                1045.070342,   133.0625,     5.0
 137,  554.68,         0.051951,                 219.522314,    27.9504,     5.0
 139,  555.36,         0.945225,                3994.144720,   508.5503,     5.0
 140,  565.43,         0.048837,                 206.363880,    26.2751,     5.0
 141,  566.02,         0.852792,                3603.557750,   458.8192,     5.0
 142,  572.03,         1.001062,                4230.089315,   538.5917,     5.0
 145,  608.35,         1.547511,                6539.164359,   832.5923,     5.0
 146,  609.57,         1.330370,                5621.609515,   715.7656,     5.0
 147,  610.41,         1.416577,                5985.887946,   762.1469,     5.0
 148,  612.09,        68.422309,              289125.308275, 36812.5776,     5.0
 150,  623.19,         5.863065,               24774.967580,  3154.4468,     5.0
 151,  625.64,         2.590192,               10945.115990,  1393.5755,     5.0
 152,  627.20,         0.045707,                 193.137817,    24.5911,     5.0
 154,  630.43,         6.974712,               29472.342759,  3752.5352,     5.0
 155,  637.44,        22.711232,               95968.583152, 12219.0995,     5.0
 156,  672.22,         0.037428,                 158.156506,    20.1371,     5.0
 158,  673.47,         0.025852,                 109.238514,    13.9087,     5.0
 159,  674.02,         0.738385,                3120.117597,   397.2657,     5.0
 160,  690.96,         0.091343,                 385.977107,    49.1441,     5.0
 161,  690.96,         0.000002,                   0.007328,     0.0009,     5.0
 163,  691.54,         0.151686,                 640.965588,    81.6103,     5.0
 164,  714.19,         2.850552,               12045.293079,  1533.6543,     5.0
 166,  715.68,         0.595886,                2517.977831,   320.5989,     5.0
 167,  716.80,         0.526510,                2224.819592,   283.2728,     5.0
 168,  717.56,         7.328784,               30968.511417,  3943.0333,     5.0
 169,  718.34,         9.490566,               40103.336511,  5106.1154,     5.0
 170,  719.34,         3.660699,               15468.648534,  1969.5295,     5.0
 172,  731.77,        30.371792,              128339.045512, 16340.6348,     5.0
 174,  739.28,         1.389484,                5871.402935,   747.5702,     5.0
 175,  740.22,         0.085023,                 359.274160,    45.7442,     5.0
 176,  763.19,         0.403291,                1704.145847,   216.9786,     5.0
 177,  763.22,         3.181228,               13442.597072,  1711.5646,     5.0
 178,  765.05,        35.224784,              148845.847983, 18951.6420,     5.0
 181,  769.31,         2.986864,               12621.292679,  1606.9929,     5.0
 182,  769.56,         0.105678,                 446.553585,    56.8570,     5.0
 183,  769.85,         0.709723,                2999.005745,   381.8453,     5.0
 185,  794.46,        26.942292,              113847.348631, 14495.4946,     5.0
 186,  800.45,         1.086289,                4590.223565,   584.4454,     5.0
 187,  800.52,         0.413075,                1745.489588,   222.2426,     5.0
 188,  801.81,         0.391802,                1655.598832,   210.7974,     5.0
 190,  803.96,         0.648446,                2740.072899,   348.8769,     5.0
