../../../pdielec -matrix ptfe -sigma 5 -method maxwell -method bruggeman -method ap -vf 0.5 -needle 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -LO 1 1 1 -csv command.csv -masses program -eckart -program qe Na2SO42.dynG
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,   93.38,         0.412906,                1744.777527,   222.1520,     5.0
   7,  120.60,         1.390946,                5877.583475,   748.3572,     5.0
   8,  136.86,         3.005715,               12700.949152,  1617.1351,     5.0
  11,  183.22,         0.476814,                2014.823992,   256.5354,     5.0
  13,  208.29,         3.111573,               13148.263779,  1674.0889,     5.0
  15,  235.01,         3.506549,               14817.274683,  1886.5940,     5.0
  18,  378.13,         0.120970,                 511.169484,    65.0841,     5.0
  20,  442.38,         0.206739,                 873.594953,   111.2296,     5.0
  21,  522.03,         6.490971,               27428.245360,  3492.2727,     5.0
  23,  529.61,         3.590284,               15171.104715,  1931.6450,     5.0
  25,  560.99,         1.775122,                7500.953464,   955.0511,     5.0
  27,  665.08,        19.947433,               84289.871605, 10732.1198,     5.0
  30,  997.61,         7.982137,               33729.317511,  4294.5501,     5.0
  32, 1178.43,        27.137842,              114673.663564, 14600.7043,     5.0
  34, 1194.33,        23.721719,              100238.494587, 12762.7615,     5.0
,,,,,cm-1,thz,maxwell_needle[0 0 1]_real_dielectric(vf=0.5),maxwell_needle[0 0 1]_imag_dielectric(vf=0.5),maxwell_needle[0 0 1]_absorption_coeficient_cm-1(vf=0.5),maxwell_needle[0 0 1]_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.5),maxwell_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.5),maxwell_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.5),maxwell_ellipsoid([0 0 1] 0.5)_absorption_coeficient_cm-1(vf=0.5),maxwell_ellipsoid([0 0 1] 0.5)_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.5),maxwell_plate(1 0 0)_real_dielectric(vf=0.5),maxwell_plate(1 0 0)_imag_dielectric(vf=0.5),maxwell_plate(1 0 0)_absorption_coeficient_cm-1(vf=0.5),maxwell_plate(1 0 0)_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.5),bruggeman_needle[0 0 1]_real_dielectric(vf=0.5),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.5),bruggeman_needle[0 0 1]_absorption_coeficient_cm-1(vf=0.5),bruggeman_needle[0 0 1]_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.5),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.5),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.5),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coeficient_cm-1(vf=0.5),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.5),bruggeman_plate(1 0 0)_real_dielectric(vf=0.5),bruggeman_plate(1 0 0)_imag_dielectric(vf=0.5),bruggeman_plate(1 0 0)_absorption_coeficient_cm-1(vf=0.5),bruggeman_plate(1 0 0)_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.5),ap_noshape[0 0 1]_real_dielectric(vf=0.5),ap_noshape[0 0 1]_imag_dielectric(vf=0.5),ap_noshape[0 0 1]_absorption_coeficient_cm-1(vf=0.5),ap_noshape[0 0 1]_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.5)
,,,,,    0.000000,    0.000000,          3.24667706,          0.00000000,         -0.00000000,         -0.00000000,          3.24995505,          0.00000000,         -0.00000000,         -0.00000000,          3.37691125,          0.00000000,         -0.00000000,         -0.00000000,          3.34342075,          0.00000000,         -0.00000000,         -0.00000000,          3.35921245,          0.00000000,         -0.00000000,         -0.00000000,          3.35508462,          0.00000000,         -0.00000000,         -0.00000000,          3.60246017,          0.00000000,         -0.00000000,         -0.00000000
,,,,,    0.200000,    0.005996,          3.24667840,          0.00003342,          0.00001012,          0.00000185,          3.24995644,          0.00003481,          0.00001054,          0.00000193,          3.37691292,          0.00004183,          0.00001242,          0.00000227,          3.34342239,          0.00004109,          0.00001226,          0.00000224,          3.35921417,          0.00004297,          0.00001279,          0.00000234,          3.35508630,          0.00004211,          0.00001255,          0.00000230,          3.60246243,          0.00005640,          0.00001622,          0.00000297
,,,,,    0.400000,    0.011992,          3.24668240,          0.00006684,          0.00004049,          0.00000741,          3.24996061,          0.00006961,          0.00004215,          0.00000771,          3.37691793,          0.00008366,          0.00004969,          0.00000909,          3.34342732,          0.00008218,          0.00004906,          0.00000897,          3.35921932,          0.00008594,          0.00005118,          0.00000936,          3.35509135,          0.00008423,          0.00005019,          0.00000918,          3.60246918,          0.00011280,          0.00006487,          0.00001187
,,,,,    0.600000,    0.017988,          3.24668908,          0.00010027,          0.00009111,          0.00001667,          3.24996756,          0.00010442,          0.00009484,          0.00001735,          3.37692628,          0.00012549,          0.00011180,          0.00002045,          3.34343552,          0.00012327,          0.00011038,          0.00002019,          3.35922790,          0.00012891,          0.00011516,          0.00002107,          3.35509975,          0.00012635,          0.00011294,          0.00002066,          3.60248044,          0.00016921,          0.00014596,          0.00002670
,,,,,    0.800000,    0.023983,          3.24669842,          0.00013369,          0.00016197,          0.00002963,          3.24997729,          0.00013924,          0.00016860,          0.00003084,          3.37693797,          0.00016732,          0.00019877,          0.00003636,          3.34344701,          0.00016437,          0.00019624,          0.00003590,          3.35923991,          0.00017189,          0.00020473,          0.00003745,          3.35511153,          0.00016847,          0.00020078,          0.00003673,          3.60249621,          0.00022562,          0.00025949,          0.00004747
,,,,,    1.000000,    0.029979,          3.24671043,          0.00016712,          0.00025309,          0.00004630,          3.24998980,          0.00017405,          0.00026345,          0.00004819,          3.37695301,          0.00020917,          0.00031059,          0.00005682,          3.34346178,          0.00020547,          0.00030663,          0.00005609,          3.35925536,          0.00021487,          0.00031991,          0.00005852,          3.35512667,          0.00021060,          0.00031374,          0.00005739,          3.60251648,          0.00028204,          0.00040548,          0.00007417
,,,,,    1.200000,    0.035975,          3.24672512,          0.00020056,          0.00036448,          0.00006667,          3.25000510,          0.00020887,          0.00037939,          0.00006940,          3.37697138,          0.00025101,          0.00044728,          0.00008182,          3.34347983,          0.00024658,          0.00044158,          0.00008078,          3.35927424,          0.00025786,          0.00046069,          0.00008427,          3.35514517,          0.00025273,          0.00045180,          0.00008265,          3.60254126,          0.00033846,          0.00058392,          0.00010682
,,,,,    1.400000,    0.041971,          3.24674247,          0.00023400,          0.00049612,          0.00009076,          3.25002318,          0.00024370,          0.00051643,          0.00009447,          3.37699310,          0.00029287,          0.00060884,          0.00011137,          3.34350117,          0.00028770,          0.00060107,          0.00010995,          3.35929655,          0.00030086,          0.00062709,          0.00011471,          3.35516704,          0.00029487,          0.00061500,          0.00011250,          3.60257055,          0.00039490,          0.00079483,          0.00014540
,,,,,    1.600000,    0.047967,          3.24676250,          0.00026745,          0.00064805,          0.00011855,          3.25004403,          0.00027854,          0.00067456,          0.00012340,          3.37701816,          0.00033474,          0.00079528,          0.00014548,          3.34352579,          0.00032882,          0.00078513,          0.00014362,          3.35932230,          0.00034386,          0.00081912,          0.00014984,          3.35519227,          0.00033703,          0.00080332,          0.00014695,          3.60260434,          0.00045135,          0.00103822,          0.00018992
,,,,,    1.800000,    0.053963,          3.24678519,          0.00030091,          0.00082025,          0.00015005,          3.25006768,          0.00031338,          0.00085381,          0.00015619,          3.37704657,          0.00037661,          0.00100661,          0.00018414,          3.34355370,          0.00036996,          0.00099376,          0.00018179,          3.35935148,          0.00038688,          0.00103678,          0.00018966,          3.35522087,          0.00037919,          0.00101679,          0.00018600,          3.60264264,          0.00050782,          0.00131411,          0.00024039
,,,,,    2.000000,    0.059958,          3.24681057,          0.00033438,          0.00101275,          0.00018526,          3.25009410,          0.00034823,          0.00105417,          0.00019284,          3.37707832,          0.00041850,          0.00124286,          0.00022735,          3.34358489,          0.00041110,          0.00122698,          0.00022445,          3.35938410,          0.00042991,          0.00128009,          0.00023417,          3.35525284,          0.00042136,          0.00125542,          0.00022965,          3.60268546,          0.00056430,          0.00162252,          0.00029681
,,,,,    2.200000,    0.065954,          3.24683861,          0.00036785,          0.00122556,          0.00022419,          3.25012331,          0.00038309,          0.00127567,          0.00023336,          3.37711342,          0.00046040,          0.00150402,          0.00027513,          3.34361937,          0.00045226,          0.00148480,          0.00027161,          3.35942016,          0.00047295,          0.00154907,          0.00028337,          3.35528818,          0.00046355,          0.00151921,          0.00027791,          3.60273278,          0.00062080,          0.00196345,          0.00035917
,,,,,    2.400000,    0.071950,          3.24686933,          0.00040134,          0.00145868,          0.00026683,          3.25015530,          0.00041796,          0.00151831,          0.00027774,          3.37715186,          0.00050232,          0.00179012,          0.00032746,          3.34365713,          0.00049343,          0.00176723,          0.00032328,          3.35945965,          0.00051601,          0.00184373,          0.00033727,          3.35532689,          0.00050575,          0.00180820,          0.00033077,          3.60278462,          0.00067732,          0.00233694,          0.00042749
,,,,,    2.600000,    0.077946,          3.24690272,          0.00043484,          0.00171213,          0.00031320,          3.25019009,          0.00045285,          0.00178210,          0.00032600,          3.37719365,          0.00054426,          0.00210117,          0.00038437,          3.34369819,          0.00053462,          0.00207429,          0.00037945,          3.35950259,          0.00055908,          0.00216408,          0.00039587,          3.35536897,          0.00054797,          0.00212239,          0.00038825,          3.60284097,          0.00073386,          0.00274300,          0.00050178
,,,,,    2.800000,    0.083942,          3.24693879,          0.00046836,          0.00198593,          0.00036328,          3.25022765,          0.00048774,          0.00206707,          0.00037813,          3.37723879,          0.00058621,          0.00243720,          0.00044584,          3.34374254,          0.00057583,          0.00240601,          0.00044013,          3.35954896,          0.00060217,          0.00251015,          0.00045918,          3.35541442,          0.00059021,          0.00246180,          0.00045034,          3.60290184,          0.00079042,          0.00318167,          0.00058202
,,,,,    3.000000,    0.089938,          3.24697754,          0.00050189,          0.00228010,          0.00041710,          3.25026801,          0.00052265,          0.00237322,          0.00043413,          3.37728729,          0.00062818,          0.00279823,          0.00051188,          3.34379018,          0.00061705,          0.00276239,          0.00050532,          3.35959878,          0.00064528,          0.00288195,          0.00052719,          3.35546324,          0.00063246,          0.00282646,          0.00051704,          3.60296723,          0.00084701,          0.00365295,          0.00066823
,,,,,    3.200000,    0.095934,          3.24701896,          0.00053543,          0.00259464,          0.00047463,          3.25031115,          0.00055758,          0.00270058,          0.00049401,          3.37733913,          0.00067017,          0.00318428,          0.00058250,          3.34384111,          0.00065829,          0.00314346,          0.00057503,          3.35965204,          0.00068840,          0.00327951,          0.00059992,          3.35551544,          0.00067474,          0.00321639,          0.00058837,          3.60303714,          0.00090363,          0.00415690,          0.00076042
