../../../pdielec -processors 4 -matrix ptfe -sigma 5 -needle 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -LO 1 0 0 -LO 0 1 0 -LO 0 0 1 -csv command.csv -masses program -program qe zno.ph.dynG -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   2,  125.47,         0.007009,                  29.618226,     3.7711,     5.0
   3,  135.90,         0.001087,                   4.595150,     0.5851,     5.0
   4,  136.82,         1.656212,                6998.489467,   891.0754,     5.0
   5,  275.86,         0.000300,                   1.268479,     0.1615,     5.0
   6,  540.08,        32.351955,              136706.419895, 17406.0020,     5.0
   7,  551.39,       112.493688,              475353.326894, 60523.8654,     5.0
   8,  588.61,       112.074439,              473581.751110, 60298.3013,     5.0
   9,  618.67,         0.040824,                 172.505559,    21.9641,     5.0
  10,  651.95,         0.014144,                  59.766292,     7.6097,     5.0
  11,  706.47,         0.004565,                  19.289302,     2.4560,     5.0
,,,,,,cm-1,thz,maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1)
,,,,,,    0.000000,    0.000000,         -0.00000000,         -0.00000000,         -0.00000000,          4.23409609,          2.61962503,          5.87337549,          0.00000000,          0.00000000,          0.00000000,         -0.00000000,         -0.00000000,         -0.00000000
,,,,,,    0.200000,    0.005996,          0.00000055,          0.00000002,          0.00000069,          4.23409645,          2.61962503,          5.87337601,          0.00000890,          0.00000019,          0.00001314,          0.00000236,          0.00000006,          0.00000296
,,,,,,    0.400000,    0.011992,          0.00000219,          0.00000006,          0.00000275,          4.23409752,          2.61962506,          5.87337759,          0.00001780,          0.00000038,          0.00002629,          0.00000944,          0.00000026,          0.00001184
,,,,,,    0.600000,    0.017988,          0.00000493,          0.00000014,          0.00000619,          4.23409929,          2.61962509,          5.87338021,          0.00002669,          0.00000058,          0.00003943,          0.00002124,          0.00000058,          0.00002664
,,,,,,    0.800000,    0.023983,          0.00000877,          0.00000024,          0.00001100,          4.23410178,          2.61962515,          5.87338389,          0.00003559,          0.00000077,          0.00005258,          0.00003776,          0.00000104,          0.00004736
,,,,,,    1.000000,    0.029979,          0.00001371,          0.00000038,          0.00001719,          4.23410498,          2.61962522,          5.87338862,          0.00004449,          0.00000096,          0.00006572,          0.00005900,          0.00000162,          0.00007400
,,,,,,    1.200000,    0.035975,          0.00001974,          0.00000054,          0.00002476,          4.23410889,          2.61962530,          5.87339440,          0.00005339,          0.00000115,          0.00007887,          0.00008497,          0.00000233,          0.00010657
,,,,,,    1.400000,    0.041971,          0.00002687,          0.00000074,          0.00003370,          4.23411352,          2.61962540,          5.87340123,          0.00006230,          0.00000135,          0.00009202,          0.00011566,          0.00000318,          0.00014505
,,,,,,    1.600000,    0.047967,          0.00003509,          0.00000096,          0.00004402,          4.23411885,          2.61962552,          5.87340911,          0.00007120,          0.00000154,          0.00010517,          0.00015107,          0.00000415,          0.00018947
,,,,,,    1.800000,    0.053963,          0.00004442,          0.00000122,          0.00005571,          4.23412490,          2.61962565,          5.87341804,          0.00008010,          0.00000173,          0.00011832,          0.00019121,          0.00000525,          0.00023981
,,,,,,    2.000000,    0.059958,          0.00005484,          0.00000151,          0.00006878,          4.23413165,          2.61962579,          5.87342802,          0.00008901,          0.00000192,          0.00013148,          0.00023607,          0.00000648,          0.00029607
,,,,,,    2.200000,    0.065954,          0.00006636,          0.00000182,          0.00008323,          4.23413912,          2.61962596,          5.87343906,          0.00009792,          0.00000211,          0.00014463,          0.00028567,          0.00000784,          0.00035827
,,,,,,    2.400000,    0.071950,          0.00007898,          0.00000217,          0.00009906,          4.23414730,          2.61962613,          5.87345114,          0.00010683,          0.00000231,          0.00015779,          0.00033999,          0.00000933,          0.00042640
,,,,,,    2.600000,    0.077946,          0.00009270,          0.00000255,          0.00011626,          4.23415620,          2.61962632,          5.87346428,          0.00011574,          0.00000250,          0.00017096,          0.00039905,          0.00001096,          0.00050047
,,,,,,    2.800000,    0.083942,          0.00010752,          0.00000295,          0.00013485,          4.23416580,          2.61962653,          5.87347847,          0.00012465,          0.00000269,          0.00018412,          0.00046285,          0.00001271,          0.00058047
,,,,,,    3.000000,    0.089938,          0.00012344,          0.00000339,          0.00015481,          4.23417612,          2.61962675,          5.87349371,          0.00013357,          0.00000288,          0.00019729,          0.00053138,          0.00001459,          0.00066642
,,,,,,    3.200000,    0.095934,          0.00014047,          0.00000386,          0.00017616,          4.23418715,          2.61962699,          5.87351001,          0.00014249,          0.00000308,          0.00021046,          0.00060465,          0.00001660,          0.00075830
,,,,,,    3.400000,    0.101929,          0.00015859,          0.00000435,          0.00019889,          4.23419890,          2.61962725,          5.87352735,          0.00015141,          0.00000327,          0.00022364,          0.00068267,          0.00001874,          0.00085614
,,,,,,    3.600000,    0.107925,          0.00017782,          0.00000488,          0.00022300,          4.23421135,          2.61962752,          5.87354575,          0.00016033,          0.00000346,          0.00023682,          0.00076543,          0.00002101,          0.00095992
,,,,,,    3.800000,    0.113921,          0.00019815,          0.00000544,          0.00024849,          4.23422452,          2.61962780,          5.87356521,          0.00016926,          0.00000365,          0.00025001,          0.00085295,          0.00002341,          0.00106966
,,,,,,    4.000000,    0.119917,          0.00021958,          0.00000603,          0.00027537,          4.23423841,          2.61962810,          5.87358572,          0.00017819,          0.00000385,          0.00026319,          0.00094522,          0.00002594,          0.00118536
,,,,,,    4.200000,    0.125913,          0.00024212,          0.00000664,          0.00030363,          4.23425300,          2.61962842,          5.87360728,          0.00018713,          0.00000404,          0.00027639,          0.00104224,          0.00002860,          0.00130701
,,,,,,    4.400000,    0.131909,          0.00026577,          0.00000729,          0.00033328,          4.23426832,          2.61962875,          5.87362990,          0.00019607,          0.00000423,          0.00028959,          0.00114402,          0.00003139,          0.00143464
,,,,,,    4.600000,    0.137905,          0.00029052,          0.00000797,          0.00036432,          4.23428434,          2.61962909,          5.87365357,          0.00020501,          0.00000442,          0.00030279,          0.00125057,          0.00003431,          0.00156824
,,,,,,    4.800000,    0.143900,          0.00031638,          0.00000868,          0.00039674,          4.23430108,          2.61962945,          5.87367830,          0.00021396,          0.00000462,          0.00031600,          0.00136189,          0.00003736,          0.00170781
,,,,,,    5.000000,    0.149896,          0.00034335,          0.00000942,          0.00043055,          4.23431854,          2.61962983,          5.87370408,          0.00022291,          0.00000481,          0.00032922,          0.00147798,          0.00004055,          0.00185336
,,,,,,    5.200000,    0.155892,          0.00037143,          0.00001019,          0.00046576,          4.23433671,          2.61963022,          5.87373092,          0.00023186,          0.00000500,          0.00034244,          0.00159885,          0.00004386,          0.00200490
,,,,,,    5.400000,    0.161888,          0.00040062,          0.00001099,          0.00050235,          4.23435560,          2.61963063,          5.87375882,          0.00024082,          0.00000520,          0.00035567,          0.00172451,          0.00004730,          0.00216243
,,,,,,    5.600000,    0.167884,          0.00043092,          0.00001182,          0.00054034,          4.23437521,          2.61963105,          5.87378778,          0.00024979,          0.00000539,          0.00036890,          0.00185495,          0.00005087,          0.00232596
,,,,,,    5.800000,    0.173880,          0.00046234,          0.00001268,          0.00057973,          4.23439553,          2.61963149,          5.87381779,          0.00025876,          0.00000558,          0.00038214,          0.00199018,          0.00005458,          0.00249549
,,,,,,    6.000000,    0.179875,          0.00049487,          0.00001357,          0.00062051,          4.23441656,          2.61963195,          5.87384886,          0.00026773,          0.00000577,          0.00039539,          0.00213021,          0.00005841,          0.00267103
,,,,,,    6.200000,    0.185871,          0.00052852,          0.00001449,          0.00066268,          4.23443832,          2.61963242,          5.87388099,          0.00027671,          0.00000597,          0.00040864,          0.00227505,          0.00006238,          0.00285258
,,,,,,    6.400000,    0.191867,          0.00056328,          0.00001544,          0.00070626,          4.23446079,          2.61963290,          5.87391418,          0.00028570,          0.00000616,          0.00042191,          0.00242469,          0.00006647,          0.00304016
,,,,,,    6.600000,    0.197863,          0.00059916,          0.00001642,          0.00075124,          4.23448398,          2.61963340,          5.87394843,          0.00029469,          0.00000635,          0.00043518,          0.00257915,          0.00007070,          0.00323377
,,,,,,    6.800000,    0.203859,          0.00063616,          0.00001744,          0.00079761,          4.23450789,          2.61963392,          5.87398374,          0.00030369,          0.00000655,          0.00044845,          0.00273843,          0.00007506,          0.00343341
,,,,,,    7.000000,    0.209855,          0.00067429,          0.00001848,          0.00084540,          4.23453252,          2.61963445,          5.87402012,          0.00031269,          0.00000674,          0.00046174,          0.00290254,          0.00007955,          0.00363909
,,,,,,    7.200000,    0.215851,          0.00071353,          0.00001955,          0.00089459,          4.23455787,          2.61963499,          5.87405755,          0.00032170,          0.00000693,          0.00047504,          0.00307148,          0.00008417,          0.00385083
,,,,,,    7.400000,    0.221846,          0.00075391,          0.00002066,          0.00094518,          4.23458394,          2.61963556,          5.87409605,          0.00033072,          0.00000713,          0.00048834,          0.00324526,          0.00008892,          0.00406862
,,,,,,    7.600000,    0.227842,          0.00079540,          0.00002179,          0.00099719,          4.23461073,          2.61963613,          5.87413561,          0.00033974,          0.00000732,          0.00050165,          0.00342389,          0.00009380,          0.00429248
,,,,,,    7.800000,    0.233838,          0.00083803,          0.00002296,          0.00105060,          4.23463825,          2.61963673,          5.87417624,          0.00034877,          0.00000751,          0.00051497,          0.00360738,          0.00009882,          0.00452241
,,,,,,    8.000000,    0.239834,          0.00088178,          0.00002415,          0.00110543,          4.23466648,          2.61963734,          5.87421793,          0.00035781,          0.00000771,          0.00052830,          0.00379573,          0.00010396,          0.00475843
,,,,,,    8.200000,    0.245830,          0.00092667,          0.00002538,          0.00116167,          4.23469543,          2.61963796,          5.87426069,          0.00036685,          0.00000790,          0.00054165,          0.00398894,          0.00010924,          0.00500054
,,,,,,    8.400000,    0.251826,          0.00097269,          0.00002663,          0.00121933,          4.23472511,          2.61963860,          5.87430451,          0.00037590,          0.00000810,          0.00055500,          0.00418704,          0.00011465,          0.00524874
,,,,,,    8.600000,    0.257822,          0.00101984,          0.00002792,          0.00127841,          4.23475552,          2.61963925,          5.87434940,          0.00038496,          0.00000829,          0.00056836,          0.00439002,          0.00012019,          0.00550306
,,,,,,    8.800000,    0.263817,          0.00106813,          0.00002924,          0.00133892,          4.23478664,          2.61963993,          5.87439536,          0.00039403,          0.00000848,          0.00058173,          0.00459789,          0.00012587,          0.00576349
,,,,,,    9.000000,    0.269813,          0.00111756,          0.00003059,          0.00140084,          4.23481850,          2.61964061,          5.87444239,          0.00040310,          0.00000868,          0.00059511,          0.00481066,          0.00013167,          0.00603005
,,,,,,    9.200000,    0.275809,          0.00116813,          0.00003197,          0.00146419,          4.23485107,          2.61964131,          5.87449049,          0.00041219,          0.00000887,          0.00060850,          0.00502835,          0.00013761,          0.00630275
,,,,,,    9.400000,    0.281805,          0.00121985,          0.00003338,          0.00152897,          4.23488438,          2.61964203,          5.87453966,          0.00042128,          0.00000907,          0.00062191,          0.00525095,          0.00014368,          0.00658159
,,,,,,    9.600000,    0.287801,          0.00127270,          0.00003482,          0.00159518,          4.23491841,          2.61964276,          5.87458990,          0.00043037,          0.00000926,          0.00063532,          0.00547848,          0.00014988,          0.00686659
,,,,,,    9.800000,    0.293797,          0.00132671,          0.00003629,          0.00166282,          4.23495316,          2.61964351,          5.87464121,          0.00043948,          0.00000945,          0.00064875,          0.00571094,          0.00015622,          0.00715776
,,,,,,   10.000000,    0.299792,          0.00138186,          0.00003779,          0.00173189,          4.23498865,          2.61964428,          5.87469360,          0.00044860,          0.00000965,          0.00066219,          0.00594836,          0.00016268,          0.00745511
,,,,,,   10.200000,    0.305788,          0.00143817,          0.00003933,          0.00180241,          4.23502486,          2.61964505,          5.87474706,          0.00045773,          0.00000984,          0.00067564,          0.00619072,          0.00016929,          0.00775864
,,,,,,   10.400000,    0.311784,          0.00149562,          0.00004089,          0.00187436,          4.23506181,          2.61964585,          5.87480160,          0.00046686,          0.00001004,          0.00068910,          0.00643806,          0.00017602,          0.00806838
,,,,,,   10.600000,    0.317780,          0.00155424,          0.00004249,          0.00194776,          4.23509948,          2.61964666,          5.87485721,          0.00047600,          0.00001023,          0.00070258,          0.00669036,          0.00018289,          0.00838432
,,,,,,   10.800000,    0.323776,          0.00161401,          0.00004411,          0.00202260,          4.23513789,          2.61964749,          5.87491390,          0.00048516,          0.00001043,          0.00071607,          0.00694765,          0.00018989,          0.00870649
,,,,,,   11.000000,    0.329772,          0.00167494,          0.00004577,          0.00209890,          4.23517703,          2.61964833,          5.87497167,          0.00049432,          0.00001062,          0.00072957,          0.00720994,          0.00019702,          0.00903490
,,,,,,   11.200000,    0.335768,          0.00173703,          0.00004746,          0.00217664,          4.23521690,          2.61964918,          5.87503052,          0.00050350,          0.00001082,          0.00074309,          0.00747723,          0.00020429,          0.00936955
,,,,,,   11.400000,    0.341763,          0.00180030,          0.00004918,          0.00225584,          4.23525750,          2.61965006,          5.87509045,          0.00051268,          0.00001101,          0.00075662,          0.00774954,          0.00021169,          0.00971046
,,,,,,   11.600000,    0.347759,          0.00186472,          0.00005093,          0.00233649,          4.23529884,          2.61965095,          5.87515146,          0.00052188,          0.00001121,          0.00077016,          0.00802688,          0.00021922,          0.01005765
,,,,,,   11.800000,    0.353755,          0.00193032,          0.00005271,          0.00241860,          4.23534091,          2.61965185,          5.87521356,          0.00053108,          0.00001140,          0.00078372,          0.00830926,          0.00022689,          0.01041111
,,,,,,   12.000000,    0.359751,          0.00199709,          0.00005452,          0.00250218,          4.23538372,          2.61965277,          5.87527674,          0.00054030,          0.00001160,          0.00079730,          0.00859668,          0.00023469,          0.01077088
,,,,,,   12.200000,    0.365747,          0.00206504,          0.00005637,          0.00258722,          4.23542727,          2.61965371,          5.87534100,          0.00054952,          0.00001180,          0.00081088,          0.00888917,          0.00024263,          0.01113695
,,,,,,   12.400000,    0.371743,          0.00213417,          0.00005824,          0.00267374,          4.23547155,          2.61965466,          5.87540635,          0.00055876,          0.00001199,          0.00082449,          0.00918673,          0.00025070,          0.01150935
,,,,,,   12.600000,    0.377738,          0.00220448,          0.00006015,          0.00276172,          4.23551658,          2.61965562,          5.87547279,          0.00056801,          0.00001219,          0.00083811,          0.00948938,          0.00025891,          0.01188809
,,,,,,   12.800000,    0.383734,          0.00227597,          0.00006208,          0.00285118,          4.23556234,          2.61965661,          5.87554032,          0.00057727,          0.00001238,          0.00085174,          0.00979712,          0.00026725,          0.01227318
,,,,,,   13.000000,    0.389730,          0.00234865,          0.00006405,          0.00294212,          4.23560884,          2.61965760,          5.87560894,          0.00058654,          0.00001258,          0.00086539,          0.01010998,          0.00027572,          0.01266464
,,,,,,   13.200000,    0.395726,          0.00242252,          0.00006605,          0.00303454,          4.23565609,          2.61965862,          5.87567865,          0.00059583,          0.00001278,          0.00087906,          0.01042796,          0.00028433,          0.01306248
,,,,,,   13.400000,    0.401722,          0.00249758,          0.00006809,          0.00312845,          4.23570407,          2.61965965,          5.87574945,          0.00060513,          0.00001297,          0.00089274,          0.01075107,          0.00029308,          0.01346671
,,,,,,   13.600000,    0.407718,          0.00257384,          0.00007015,          0.00322385,          4.23575281,          2.61966069,          5.87582135,          0.00061443,          0.00001317,          0.00090644,          0.01107933,          0.00030196,          0.01387735
,,,,,,   13.800000,    0.413714,          0.00265130,          0.00007224,          0.00332074,          4.23580228,          2.61966175,          5.87589434,          0.00062376,          0.00001337,          0.00092015,          0.01141276,          0.00031098,          0.01429443
,,,,,,   14.000000,    0.419709,          0.00272996,          0.00007437,          0.00341912,          4.23585250,          2.61966283,          5.87596843,          0.00063309,          0.00001356,          0.00093389,          0.01175136,          0.00032013,          0.01471794
,,,,,,   14.200000,    0.425705,          0.00280982,          0.00007653,          0.00351901,          4.23590347,          2.61966392,          5.87604362,          0.00064244,          0.00001376,          0.00094764,          0.01209515,          0.00032942,          0.01514791
,,,,,,   14.400000,    0.431701,          0.00289090,          0.00007872,          0.00362040,          4.23595518,          2.61966503,          5.87611990,          0.00065180,          0.00001396,          0.00096141,          0.01244415,          0.00033885,          0.01558435
,,,,,,   14.600000,    0.437697,          0.00297318,          0.00008094,          0.00372330,          4.23600764,          2.61966615,          5.87619729,          0.00066117,          0.00001415,          0.00097519,          0.01279836,          0.00034841,          0.01602728
,,,,,,   14.800000,    0.443693,          0.00305669,          0.00008319,          0.00382770,          4.23606086,          2.61966729,          5.87627578,          0.00067056,          0.00001435,          0.00098900,          0.01315781,          0.00035811,          0.01647672
,,,,,,   15.000000,    0.449689,          0.00314141,          0.00008548,          0.00393363,          4.23611482,          2.61966845,          5.87635538,          0.00067996,          0.00001455,          0.00100282,          0.01352250,          0.00036794,          0.01693269
,,,,,,   15.200000,    0.455685,          0.00322735,          0.00008779,          0.00404107,          4.23616953,          2.61966962,          5.87643608,          0.00068938,          0.00001475,          0.00101667,          0.01389246,          0.00037792,          0.01739519
,,,,,,   15.400000,    0.461680,          0.00331452,          0.00009014,          0.00415004,          4.23622500,          2.61967081,          5.87651788,          0.00069881,          0.00001495,          0.00103053,          0.01426769,          0.00038803,          0.01786425
,,,,,,   15.600000,    0.467676,          0.00340292,          0.00009252,          0.00426054,          4.23628122,          2.61967201,          5.87660080,          0.00070825,          0.00001514,          0.00104441,          0.01464822,          0.00039827,          0.01833989
,,,,,,   15.800000,    0.473672,          0.00349256,          0.00009494,          0.00437256,          4.23633820,          2.61967323,          5.87668482,          0.00071771,          0.00001534,          0.00105831,          0.01503405,          0.00040866,          0.01882212
,,,,,,   16.000000,    0.479668,          0.00358343,          0.00009738,          0.00448613,          4.23639593,          2.61967446,          5.87676996,          0.00072719,          0.00001554,          0.00107223,          0.01542522,          0.00041918,          0.01931097
,,,,,,   16.200000,    0.485664,          0.00367554,          0.00009986,          0.00460123,          4.23645442,          2.61967571,          5.87685621,          0.00073667,          0.00001574,          0.00108618,          0.01582172,          0.00042984,          0.01980644
,,,,,,   16.400000,    0.491660,          0.00376890,          0.00010237,          0.00471788,          4.23651367,          2.61967698,          5.87694358,          0.00074618,          0.00001594,          0.00110014,          0.01622358,          0.00044064,          0.02030857
,,,,,,   16.600000,    0.497655,          0.00386350,          0.00010491,          0.00483608,          4.23657368,          2.61967826,          5.87703206,          0.00075570,          0.00001614,          0.00111412,          0.01663081,          0.00045158,          0.02081736
