../../../pdielec -processors 1 -size 0 -size 1 -size 2 -matrix ptfe -vmin 0 -vmax 1000 -mf 0.01 -method ap -method maxwell -sphere -needle 0 0 1 -csv command.csv -sigma 5 . -processors 1
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,   91.25,         0.000000,                   0.000007,     0.0000,     5.0
   4,   91.25,         0.000000,                   0.000000,     0.0000,     5.0
   6,  349.99,        17.118884,               72337.557354,  9210.3039,     5.0
   7,  372.09,        16.426646,               69412.437372,  8837.8660,     5.0
   8,  372.09,        16.426556,               69412.054294,  8837.8172,     5.0
   9,  402.06,         0.000000,                   0.000001,     0.0000,     5.0
  10,  402.06,         0.000000,                   0.000010,     0.0000,     5.0
,,,,,cm-1,thz,ap_noshape_real_dielectric(mf=0.01),ap_noshape_imag_dielectric(mf=0.01),ap_noshape_absorption_coeficient_cm-1(mf=0.01),ap_noshape_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01),ap_noshape_real_dielectric(mf=0.01/1mu),ap_noshape_imag_dielectric(mf=0.01/1mu),ap_noshape_absorption_coeficient_cm-1(mf=0.01/1mu),ap_noshape_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01/1mu),ap_noshape_real_dielectric(mf=0.01/2mu),ap_noshape_imag_dielectric(mf=0.01/2mu),ap_noshape_absorption_coeficient_cm-1(mf=0.01/2mu),ap_noshape_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01/2mu),maxwell_sphere_real_dielectric(mf=0.01),maxwell_sphere_imag_dielectric(mf=0.01),maxwell_sphere_absorption_coeficient_cm-1(mf=0.01),maxwell_sphere_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01),maxwell_needle[0 0 1]_real_dielectric(mf=0.01),maxwell_needle[0 0 1]_imag_dielectric(mf=0.01),maxwell_needle[0 0 1]_absorption_coeficient_cm-1(mf=0.01),maxwell_needle[0 0 1]_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01),maxwell_sphere_real_dielectric(mf=0.01/1mu),maxwell_sphere_imag_dielectric(mf=0.01/1mu),maxwell_sphere_absorption_coeficient_cm-1(mf=0.01/1mu),maxwell_sphere_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01/1mu),maxwell_needle[0 0 1]_real_dielectric(mf=0.01/1mu),maxwell_needle[0 0 1]_imag_dielectric(mf=0.01/1mu),maxwell_needle[0 0 1]_absorption_coeficient_cm-1(mf=0.01/1mu),maxwell_needle[0 0 1]_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01/1mu),maxwell_sphere_real_dielectric(mf=0.01/2mu),maxwell_sphere_imag_dielectric(mf=0.01/2mu),maxwell_sphere_absorption_coeficient_cm-1(mf=0.01/2mu),maxwell_sphere_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01/2mu),maxwell_needle[0 0 1]_real_dielectric(mf=0.01/2mu),maxwell_needle[0 0 1]_imag_dielectric(mf=0.01/2mu),maxwell_needle[0 0 1]_absorption_coeficient_cm-1(mf=0.01/2mu),maxwell_needle[0 0 1]_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01/2mu)
,,,,,    0.000000,    0.000000,          2.03707614,          0.00000000,         -0.00000000,         -0.00000000,          2.03707614,          0.00000000,         -0.00000000,         -0.00000000,          2.03707614,          0.00000000,         -0.00000000,         -0.00000000,          2.01475040,          0.00000000,         -0.00000000,         -0.00000000,          2.02062544,          0.00000000,         -0.00000000,         -0.00000000,          2.01475040,          0.00000000,         -0.00000000,         -0.00000000,          2.02062544,          0.00000000,         -0.00000000,         -0.00000000,          2.01475040,          0.00000000,         -0.00000000,         -0.00000000,          2.02062544,          0.00000000,         -0.00000000,         -0.00000000
,,,,,    0.200000,    0.005996,          2.03707614,          0.00000017,          0.00000006,          0.00000047,          2.03707614,          0.00000017,          0.00000006,          0.00000047,          2.03707614,          0.00000017,          0.00000006,          0.00000047,          2.01475040,          0.00000003,          0.00000001,          0.00000007,          2.02062545,          0.00000008,          0.00000003,          0.00000022,          2.01475040,          0.00000003,          0.00000001,          0.00000007,          2.02062545,          0.00000008,          0.00000003,          0.00000022,          2.01475040,          0.00000003,          0.00000001,          0.00000007,          2.02062545,          0.00000008,          0.00000003,          0.00000022
,,,,,    0.400000,    0.011992,          2.03707616,          0.00000033,          0.00000025,          0.00000187,          2.03707616,          0.00000033,          0.00000025,          0.00000187,          2.03707616,          0.00000033,          0.00000025,          0.00000187,          2.01475041,          0.00000005,          0.00000004,          0.00000030,          2.02062545,          0.00000015,          0.00000012,          0.00000086,          2.01475041,          0.00000005,          0.00000004,          0.00000030,          2.02062545,          0.00000015,          0.00000012,          0.00000086,          2.01475041,          0.00000005,          0.00000004,          0.00000030,          2.02062545,          0.00000015,          0.00000012,          0.00000086
,,,,,    0.600000,    0.017988,          2.03707620,          0.00000050,          0.00000057,          0.00000421,          2.03707620,          0.00000050,          0.00000057,          0.00000421,          2.03707620,          0.00000050,          0.00000057,          0.00000421,          2.01475041,          0.00000008,          0.00000009,          0.00000067,          2.02062547,          0.00000023,          0.00000026,          0.00000194,          2.01475041,          0.00000008,          0.00000009,          0.00000067,          2.02062547,          0.00000023,          0.00000026,          0.00000194,          2.01475041,          0.00000008,          0.00000009,          0.00000067,          2.02062547,          0.00000023,          0.00000026,          0.00000194
,,,,,    0.800000,    0.023983,          2.03707624,          0.00000066,          0.00000102,          0.00000748,          2.03707624,          0.00000066,          0.00000102,          0.00000748,          2.03707624,          0.00000066,          0.00000102,          0.00000748,          2.01475042,          0.00000010,          0.00000016,          0.00000119,          2.02062549,          0.00000031,          0.00000047,          0.00000345,          2.01475042,          0.00000010,          0.00000016,          0.00000119,          2.02062549,          0.00000031,          0.00000047,          0.00000345,          2.01475042,          0.00000010,          0.00000016,          0.00000118,          2.02062549,          0.00000031,          0.00000047,          0.00000345
,,,,,    1.000000,    0.029979,          2.03707630,          0.00000083,          0.00000159,          0.00001168,          2.03707630,          0.00000083,          0.00000159,          0.00001168,          2.03707630,          0.00000083,          0.00000159,          0.00001168,          2.01475043,          0.00000013,          0.00000025,          0.00000185,          2.02062552,          0.00000038,          0.00000073,          0.00000539,          2.01475043,          0.00000013,          0.00000025,          0.00000185,          2.02062552,          0.00000038,          0.00000073,          0.00000539,          2.01475043,          0.00000013,          0.00000025,          0.00000185,          2.02062552,          0.00000038,          0.00000073,          0.00000539
,,,,,    1.200000,    0.035975,          2.03707638,          0.00000100,          0.00000229,          0.00001683,          2.03707638,          0.00000100,          0.00000229,          0.00001683,          2.03707638,          0.00000100,          0.00000229,          0.00001683,          2.01475044,          0.00000016,          0.00000036,          0.00000267,          2.02062555,          0.00000046,          0.00000105,          0.00000776,          2.01475044,          0.00000016,          0.00000036,          0.00000267,          2.02062555,          0.00000046,          0.00000105,          0.00000776,          2.01475045,          0.00000016,          0.00000036,          0.00000267,          2.02062556,          0.00000046,          0.00000105,          0.00000776
,,,,,    1.400000,    0.041971,          2.03707646,          0.00000116,          0.00000311,          0.00002290,          2.03707646,          0.00000116,          0.00000311,          0.00002290,          2.03707646,          0.00000116,          0.00000311,          0.00002290,          2.01475045,          0.00000018,          0.00000049,          0.00000363,          2.02062559,          0.00000053,          0.00000144,          0.00001056,          2.01475046,          0.00000018,          0.00000049,          0.00000363,          2.02062559,          0.00000053,          0.00000144,          0.00001056,          2.01475046,          0.00000018,          0.00000049,          0.00000363,          2.02062560,          0.00000053,          0.00000144,          0.00001056
,,,,,    1.600000,    0.047967,          2.03707656,          0.00000133,          0.00000407,          0.00002991,          2.03707656,          0.00000133,          0.00000407,          0.00002991,          2.03707656,          0.00000133,          0.00000407,          0.00002991,          2.01475047,          0.00000021,          0.00000064,          0.00000474,          2.02062564,          0.00000061,          0.00000188,          0.00001379,          2.01475047,          0.00000021,          0.00000064,          0.00000474,          2.02062564,          0.00000061,          0.00000188,          0.00001379,          2.01475048,          0.00000021,          0.00000064,          0.00000474,          2.02062564,          0.00000061,          0.00000188,          0.00001379
,,,,,    1.800000,    0.053963,          2.03707667,          0.00000150,          0.00000515,          0.00003786,          2.03707667,          0.00000150,          0.00000515,          0.00003786,          2.03707667,          0.00000150,          0.00000515,          0.00003786,          2.01475049,          0.00000024,          0.00000082,          0.00000600,          2.02062569,          0.00000069,          0.00000237,          0.00001745,          2.01475049,          0.00000024,          0.00000082,          0.00000600,          2.02062569,          0.00000069,          0.00000237,          0.00001745,          2.01475050,          0.00000024,          0.00000082,          0.00000600,          2.02062570,          0.00000069,          0.00000237,          0.00001745
