../../../pdielec -processors 4 -matrix ptfe -vmin 900 -vmax 1100 -sigma 2 -sphere -plate 1 0 0 -plate -1 1 0 -needle 0 0 1 -ellipsoid 0 0 1 2 -method ap -method maxwell -csv command.csv . -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   6,   88.90,         2.397119,               10129.266307,  3224.2456,     2.0
   7,   91.90,         5.812187,               24559.978637,  7817.6840,     2.0
   8,   91.90,         5.812279,               24560.364280,  7817.8068,     2.0
   9,   97.30,         0.000000,                   0.000035,     0.0000,     2.0
  10,   97.30,         0.000000,                   0.000004,     0.0000,     2.0
  13,  129.33,         0.000000,                   0.000001,     0.0000,     2.0
  16,  133.79,         0.000000,                   0.000077,     0.0000,     2.0
  17,  133.79,         0.000000,                   0.000012,     0.0000,     2.0
  20,  142.52,         0.096225,                 406.607515,   129.4272,     2.0
  21,  146.33,         0.000000,                   0.001148,     0.0004,     2.0
  23,  161.61,         0.000000,                   0.000928,     0.0003,     2.0
  24,  162.47,         0.000000,                   0.000253,     0.0001,     2.0
  25,  162.47,         0.000000,                   0.000002,     0.0000,     2.0
  27,  173.67,         1.531069,                6469.684542,  2059.3646,     2.0
  30,  180.18,        22.385081,               94590.396751, 30109.0584,     2.0
  31,  180.18,        22.384564,               94588.215024, 30108.3640,     2.0
  32,  187.96,         0.000000,                   0.000001,     0.0000,     2.0
  35,  196.11,         0.000000,                   0.000001,     0.0000,     2.0
  36,  200.35,         0.000000,                   0.000013,     0.0000,     2.0
  37,  200.35,         0.000000,                   0.000043,     0.0000,     2.0
  38,  206.79,        18.536326,               78327.101235, 24932.2907,     2.0
  39,  206.79,        18.536286,               78326.931147, 24932.2365,     2.0
  40,  208.59,         0.000000,                   0.000440,     0.0001,     2.0
  44,  222.84,         0.000000,                   0.000001,     0.0000,     2.0
  47,  224.31,         0.000001,                   0.002457,     0.0008,     2.0
  48,  225.40,         0.000000,                   0.000033,     0.0000,     2.0
  49,  225.40,         0.000000,                   0.000302,     0.0001,     2.0
  50,  231.23,         0.996924,                4212.600195,  1340.9123,     2.0
  51,  231.23,         0.996922,                4212.592076,  1340.9097,     2.0
  52,  241.58,        51.173044,              216236.814627, 68830.3159,     2.0
  53,  251.41,         0.000000,                   0.000001,     0.0000,     2.0
  55,  255.59,        10.395279,               43926.290138, 13982.1724,     2.0
  56,  255.59,        10.395504,               43927.241035, 13982.4751,     2.0
  57,  257.31,         0.000000,                   0.000022,     0.0000,     2.0
  58,  262.54,         0.000000,                   0.000013,     0.0000,     2.0
  59,  262.54,         0.000000,                   0.000010,     0.0000,     2.0
  65,  271.83,         3.958090,               16725.306808,  5323.8305,     2.0
  66,  283.25,         0.000000,                   0.000045,     0.0000,     2.0
  67,  294.28,         0.000000,                   0.000004,     0.0000,     2.0
  68,  294.28,         0.000000,                   0.000017,     0.0000,     2.0
  69,  298.24,        13.599774,               57467.205122, 18292.3795,     2.0
  70,  298.24,        13.599818,               57467.389292, 18292.4381,     2.0
  77,  420.81,         0.000000,                   0.000026,     0.0000,     2.0
  78,  420.81,         0.000000,                   0.000070,     0.0000,     2.0
  79,  426.40,         0.000000,                   0.000328,     0.0001,     2.0
  80,  437.74,         0.058339,                 246.517525,    78.4690,     2.0
  81,  437.74,         0.058339,                 246.519063,    78.4695,     2.0
  82,  447.52,         0.990852,                4186.943223,  1332.7454,     2.0
  84,  532.98,        23.098243,               97603.934279, 31068.2972,     2.0
  87,  543.04,         3.989939,               16859.885006,  5366.6681,     2.0
  88,  543.04,         3.989858,               16859.545814,  5366.5601,     2.0
  89,  547.18,         0.000000,                   0.000021,     0.0000,     2.0
  90,  547.18,         0.000000,                   0.000063,     0.0000,     2.0
  92,  556.36,         0.000001,                   0.002912,     0.0009,     2.0
  95,  568.55,        11.927106,               50399.177151, 16042.5563,     2.0
  96,  568.55,        11.927018,               50398.805558, 16042.4381,     2.0
  98,  575.89,         0.000000,                   0.000398,     0.0001,     2.0
  99,  581.31,         0.000000,                   0.000001,     0.0000,     2.0
 100,  585.00,         0.000000,                   0.000023,     0.0000,     2.0
 101,  585.00,         0.000000,                   0.000003,     0.0000,     2.0
 102,  910.08,         0.000000,                   0.000001,     0.0000,     2.0
 103,  910.89,         0.000000,                   0.000106,     0.0000,     2.0
 104,  912.18,         1.898697,                8023.132032,  2553.8422,     2.0
 105,  912.18,         1.898694,                8023.121039,  2553.8387,     2.0
 106,  913.71,         0.000000,                   0.000612,     0.0002,     2.0
 107,  913.71,         0.000001,                   0.003051,     0.0010,     2.0
 108,  980.08,         0.000000,                   0.000185,     0.0001,     2.0
 109,  980.08,         0.000000,                   0.000247,     0.0001,     2.0
 110,  981.79,       112.616443,              475872.042949,151474.7758,     2.0
 111,  986.32,       101.028395,              426905.584615,135888.2681,     2.0
 112,  986.32,       101.028726,              426906.985739,135888.7140,     2.0
 116,  997.55,         0.000002,                   0.008598,     0.0027,     2.0
 119, 1011.92,         0.000000,                   0.000367,     0.0001,     2.0
 120, 1011.92,         0.000000,                   0.000148,     0.0000,     2.0
 122, 1032.48,         0.000001,                   0.003559,     0.0011,     2.0
 123, 1038.14,         7.915959,               33449.677263, 10647.3630,     2.0
 124, 1038.14,         7.916052,               33450.070823, 10647.4882,     2.0
,,,,,,cm-1,thz,ap_noshape_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(-1 1 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_ellipsoid([0 0 1] 2.0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape_real_dielectric(vf=0.1),maxwell_sphere_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),maxwell_plate(-1 1 0)_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 2.0)_real_dielectric(vf=0.1),ap_noshape_imag_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),maxwell_plate(-1 1 0)_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 2.0)_imag_dielectric(vf=0.1),ap_noshape_absorption_coefficent_cm-1(vf=0.1),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(-1 1 0)_absorption_coefficent_cm-1(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_ellipsoid([0 0 1] 2.0)_absorption_coefficent_cm-1(vf=0.1)
,,,,,,  900.000000,   26.981321,         25.91267723,         11.83839088,         18.23065852,         18.23062614,         13.04138435,         11.72408135,          2.33162406,          2.22147290,          2.26822902,          2.26822876,          2.23859937,          2.22479836,          0.00499836,          0.00222894,          0.00346842,          0.00346841,          0.00246489,          0.00220907,          8.03904820,          3.67269635,          5.65580860,          5.65579855,          4.04590836,          3.63723340
,,,,,,  900.200000,   26.987317,         26.30691969,         11.99464731,         18.47497468,         18.47494155,         13.17537594,         11.86270159,          2.33262599,          2.22191959,          2.26892423,          2.26892397,          2.23909338,          2.22524105,          0.00507437,          0.00225809,          0.00351466,          0.00351465,          0.00248994,          0.00223492,          8.16135645,          3.72117273,          5.73160429,          5.73159402,          4.08747739,          3.68023841
,,,,,,  900.400000,   26.993313,         26.71793704,         12.15744854,         18.72918949,         18.72915558,         13.31412618,         12.00684309,          2.33364308,          2.22237209,          2.26962867,          2.26962841,          2.23959240,          2.22568891,          0.00515363,          0.00228846,          0.00356278,          0.00356277,          0.00251588,          0.00226180,          8.28886888,          3.77167955,          5.81047091,          5.81046039,          4.13052273,          3.72495630
,,,,,,  900.600000,   26.999309,         27.14685095,         12.32722119,         18.99395631,         18.99392157,         13.45793217,         12.15686127,          2.33467599,          2.22283066,          2.27034272,          2.27034245,          2.24009659,          2.22614214,          0.00523636,          0.00232014,          0.00361291,          0.00361291,          0.00254278,          0.00228978,          8.42193346,          3.82434916,          5.89261113,          5.89260036,          4.17513654,          3.77149736
,,,,,,  900.800000,   27.005305,         27.59488047,         12.50442778,         19.26998486,         19.26994927,         13.60711559,         12.31314127,          2.33572540,          2.22329555,          2.27106676,          2.27106650,          2.24060617,          2.22660095,          0.00532279,          0.00235322,          0.00366519,          0.00366518,          0.00257068,          0.00231894,          8.56092839,          3.87932504,          5.97824516,          5.97823412,          4.22141862,          3.81998106
,,,,,,  901.000000,   27.011300,         28.06335236,         12.68957035,         19.55804726,         19.55801076,         13.76202525,         12.47610098,          2.33679202,          2.22376703,          2.27180123,          2.27180096,          2.24112131,          2.22706558,          0.00541319,          0.00238778,          0.00371975,          0.00371975,          0.00259967,          0.00234936,          8.70626529,          3.93676295,          6.06761252,          6.06760119,          4.26947719,          3.87053705
,,,,,,  901.200000,   27.017296,         28.55371276,         12.88319461,         19.85898462,         19.85894718,         13.92303981,         12.64619439,          2.33787665,          2.22424541,          2.27254657,          2.27254630,          2.24164224,          2.22753627,          0.00550783,          0.00242394,          0.00377677,          0.00377676,          0.00262981,          0.00238111,          8.85839279,          3.99683219,          6.16097415,          6.16096254,          4.31942972,          3.92330616
,,,,,,  901.400000,   27.023292,         29.06754025,         13.08589453,         20.17371470,         20.17367625,         14.09057099,         12.82391543,          2.33898012,          2.22473098,          2.27330326,          2.27330299,          2.24216918,          2.22801329,          0.00560702,          0.00246180,          0.00383641,          0.00383641,          0.00266118,          0.00241429,          9.01780064,          4.05971703,          6.25861479,          6.25860286,          4.37140394,          3.97844165
,,,,,,  901.600000,   27.029288,         29.60656070,         13.29831763,         20.50324034,         20.50320084,         14.26506707,         13.00980225,          2.34010331,          2.22522410,          2.27407182,          2.27407155,          2.24270238,          2.22849692,          0.00571110,          0.00250149,          0.00389887,          0.00389886,          0.00269385,          0.00244901,          9.18502425,          4.12561834,          6.36084554,          6.36083329,          4.42553893,          4.03611045
,,,,,,  901.800000,   27.035284,         30.17266409,         13.52117077,         20.84865920,         20.84861858,         14.44701683,         13.20444206,          2.34124718,          2.22572511,          2.27485280,          2.27485253,          2.24324208,          2.22898747,          0.00582044,          0.00254313,          0.00396436,          0.00396435,          0.00272794,          0.00248537,          9.36064996,          4.19475543,          6.46800695,          6.46799435,          4.48198631,          4.09649475
,,,,,,  902.000000,   27.041280,         30.76792349,         13.75522684,         21.21117466,         21.21113287,         14.63695409,         13.40847659,          2.34241276,          2.22623440,          2.27564679,          2.27564652,          2.24378858,          2.22948524,          0.00593543,          0.00258687,          0.00403310,          0.00403309,          0.00276352,          0.00252350,          9.54532092,          4.26736808,          6.58047233,          6.58045937,          4.54091171,          4.15979363
,,,,,,  902.200000,   27.047276,         31.39461681,         14.00133229,         21.59210832,         21.59206529,         14.83546276,         13.62260826,          2.34360116,          2.22675238,          2.27645443,          2.27645416,          2.24434215,          2.22999060,          0.00605651,          0.00263288,          0.00410535,          0.00410534,          0.00280073,          0.00256352,          9.73974382,          4.34371888,          6.69865171,          6.69863836,          4.60249627,          4.22622500
,,,,,,  902.400000,   27.053271,         32.05525150,         14.26041565,         21.99291416,         21.99286981,         15.04318258,         13.84760716,          2.34481355,          2.22727949,          2.27727640,          2.27727612,          2.24490312,          2.23050390,          0.00618419,          0.00268132,          0.00418138,          0.00418137,          0.00283967,          0.00260559,          9.94469656,          4.42409589,          6.82299615,          6.82298240,          4.66693846,          4.29602779
,,,,,,  902.600000,   27.059267,         32.75259284,         14.53349723,         22.41519480,         22.41514905,         15.26081565,         14.08431909,          2.34605121,          2.22781620,          2.27811343,          2.27811315,          2.24547184,          2.23102555,          0.00631899,          0.00273239,          0.00426151,          0.00426150,          0.00288048,          0.00264985,         10.16103702,          4.50881566,          6.95400286,          6.95398867,          4.73445610,          4.36946438
,,,,,,  902.800000,   27.065263,         33.48969629,         14.82170024,         22.86072005,         22.86067283,         15.48913392,         14.33367456,          2.34731554,          2.22836304,          2.27896632,          2.27896604,          2.24604865,          2.23155597,          0.00646151,          0.00278630,          0.00434606,          0.00434605,          0.00292330,          0.00269649,         10.38971313,          4.59822664,          7.09222088,          7.09220623,          4.80528867,          4.44682345
,,,,,,  903.000000,   27.071259,         34.26994474,         15.12626342,         23.33144831,         23.33139951,         15.72898763,         14.59669920,          2.34860801,          2.22892054,          2.27983592,          2.27983564,          2.24663395,          2.23209563,          0.00661241,          0.00284328,          0.00443541,          0.00443540,          0.00296830,          0.00274569,         10.63177437,          4.69271314,          7.23825778,          7.23824264,          4.87969995,          4.52842319
,,,,,,  903.200000,   27.077255,         35.09709145,         15.44855559,         23.82955106,         23.82950059,         15.98131504,         14.87452563,          2.34993025,          2.22948931,          2.28072316,          2.28072288,          2.24722817,          2.23264503,          0.00677241,          0.00290359,          0.00452998,          0.00452997,          0.00301565,          0.00279768,         10.88838515,          4.79269980,          7.39278724,          7.39277159,          4.95798102,          4.61461498
,,,,,,  903.400000,   27.083251,         35.97530952,         15.79009225,         24.35744132,         24.35738906,         16.24715360,         15.16840709,          2.35128400,          2.23006998,          2.28162905,          2.28162876,          2.24783176,          2.23320470,          0.00694234,          0.00296751,          0.00463023,          0.00463022,          0.00306554,          0.00285268,         11.16084011,          4.89865681,          7.55655786,          7.55654165,          5.04045375,          4.70578762
,,,,,,  903.600000,   27.089247,         36.90924943,         16.15255489,         24.91780648,         24.91775232,         16.52765278,         15.47973314,          2.35267117,          2.23066326,          2.28255467,          2.28255438,          2.24844521,          2.23377522,          0.00712309,          0.00303536,          0.00473666,          0.00473665,          0.00311820,          0.00291095,         11.45058200,          5.01110581,          7.73040337,          7.73038657,          5.12747472,          4.80237220
