Calculated Integrated IR band intensities (espilon_max assumes a fwhm line width)
Mode,Freq(cm1),Intensity(Debye2/Angstrom2/amu),Integrated_Molar_Absorption_Coefficient(L/mole/cm/cm),epsilon_max(L/mole/cm),FWHM(cm-1)
1 , 402.053725 , 2.21708288979e-09 , 9.36850545909e-06 , 1.19283516256e-06 , 5.0
2 , 402.053725 , 2.111674151e-10 , 8.92309029247e-07 , 1.13612314216e-07 , 5.0
3 , 372.078531 , 16.4255512358 , 69407.8093019 , 8837.27675166 , 5.0
4 , 372.078531 , 16.4256221558 , 69408.1089814 , 8837.31490805 , 5.0
5 , 349.981672 , 17.1178412166 , 72333.149845 , 9209.74267778 , 5.0
8 , 91.240848 , 1.7392771202e-09 , 7.3494893991e-06 , 9.35766053655e-07 , 5.0
,,,,,cm-1,thz,to_sphere_real_dielectric(0.01),to_sphere_imag_dielectric(0.01),to_sphere_absorption_coeficient_cm-1(0.01),to_sphere_molar_absorption_coeficient_cm-1.L.mole-1(0.01),to_plate(0 0 1)_real_dielectric(0.01),to_plate(0 0 1)_imag_dielectric(0.01),to_plate(0 0 1)_absorption_coeficient_cm-1(0.01),to_plate(0 0 1)_molar_absorption_coeficient_cm-1.L.mole-1(0.01),to_needle(0 0 1)_real_dielectric(0.01),to_needle(0 0 1)_imag_dielectric(0.01),to_needle(0 0 1)_absorption_coeficient_cm-1(0.01),to_needle(0 0 1)_molar_absorption_coeficient_cm-1.L.mole-1(0.01),maxwell_sphere_real_dielectric(0.01),maxwell_sphere_imag_dielectric(0.01),maxwell_sphere_absorption_coeficient_cm-1(0.01),maxwell_sphere_molar_absorption_coeficient_cm-1.L.mole-1(0.01),maxwell_plate(0 0 1)_real_dielectric(0.01),maxwell_plate(0 0 1)_imag_dielectric(0.01),maxwell_plate(0 0 1)_absorption_coeficient_cm-1(0.01),maxwell_plate(0 0 1)_molar_absorption_coeficient_cm-1.L.mole-1(0.01),maxwell_needle(0 0 1)_real_dielectric(0.01),maxwell_needle(0 0 1)_imag_dielectric(0.01),maxwell_needle(0 0 1)_absorption_coeficient_cm-1(0.01),maxwell_needle(0 0 1)_molar_absorption_coeficient_cm-1.L.mole-1(0.01),bruggeman_iter_sphere_real_dielectric(0.01),bruggeman_iter_sphere_imag_dielectric(0.01),bruggeman_iter_sphere_absorption_coeficient_cm-1(0.01),bruggeman_iter_sphere_molar_absorption_coeficient_cm-1.L.mole-1(0.01),bruggeman_iter_plate(0 0 1)_real_dielectric(0.01),bruggeman_iter_plate(0 0 1)_imag_dielectric(0.01),bruggeman_iter_plate(0 0 1)_absorption_coeficient_cm-1(0.01),bruggeman_iter_plate(0 0 1)_molar_absorption_coeficient_cm-1.L.mole-1(0.01),bruggeman_iter_needle(0 0 1)_real_dielectric(0.01),bruggeman_iter_needle(0 0 1)_imag_dielectric(0.01),bruggeman_iter_needle(0 0 1)_absorption_coeficient_cm-1(0.01),bruggeman_iter_needle(0 0 1)_molar_absorption_coeficient_cm-1.L.mole-1(0.01)
,,,,,0.000000,0.000000,2.09111753511,0.0,-0.0,-0.0,2.09111753511,0.0,-0.0,-0.0,2.09111753511,0.0,-0.0,-0.0,2.03638065857,0.0,-0.0,-0.0,2.06458007709,0.0,-0.0,-0.0,2.05082725309,0.0,-0.0,-0.0,2.03666277091,0.0,-0.0,-0.0,2.03535386116,0.0,-0.0,-0.0,2.03735406823,0.0,-0.0,-0.0
,,,,,0.200000,0.005996,2.09111755144,4.08478933836e-07,1.5416103437e-07,4.61311826952e-07,2.09111755144,4.08478933836e-07,1.5416103437e-07,4.61311826952e-07,2.09111755144,4.08478933836e-07,1.5416103437e-07,4.61311826952e-07,2.03638066116,6.4839823752e-08,2.47974212072e-08,7.42038591497e-08,2.06458008713,2.50875499749e-07,9.52876373573e-08,2.85138940944e-07,2.05082726062,1.88241546188e-07,7.17373146906e-08,2.1466690228e-07,2.03666277358,6.66098705684e-08,2.54725956915e-08,7.62242527994e-08,2.03535386305,4.92862704549e-08,1.8853855242e-08,5.64183189501e-08,2.03735407124,7.62038295069e-08,2.9136522475e-08,8.71881955702e-08
,,,,,0.400000,0.011992,2.09111760045,8.16959357514e-07,6.16645254795e-07,1.84525065126e-06,2.09111760045,8.16959357514e-07,6.16645254795e-07,1.84525065126e-06,2.09111760045,8.16959357514e-07,6.16645254795e-07,1.84525065126e-06,2.03638066894,1.2967979889e-07,9.91898004321e-08,2.96815782531e-07,2.06458011723,5.01751861781e-07,3.81151201677e-07,1.14055771556e-06,2.05082728321,3.76483786214e-07,2.86949786015e-07,8.58669186872e-07,2.03666278157,1.33223367144e-07,1.01893155843e-07,3.04905309359e-07,2.03535386897,9.85751222881e-08,7.54173958073e-08,2.25679185314e-07,2.03735408038,1.52411877405e-07,1.16549315441e-07,3.48762434397e-07
,,,,,0.600000,0.017988,2.09111768213,1.22544276089e-06,1.38745601324e-06,4.15182650335e-06,2.09111768213,1.22544276089e-06,1.38745601324e-06,4.15182650335e-06,2.09111768213,1.22544276089e-06,1.38745601324e-06,4.15182650335e-06,2.03638068191,1.94520076803e-07,2.23177484486e-07,6.67836807942e-07,2.06458016739,7.52629948389e-07,8.57592649709e-07,2.56626217925e-06,2.05082732085,5.64727413924e-07,6.45638995737e-07,1.93201158705e-06,2.03666279489,1.99837180172e-07,2.29262042903e-07,6.86044254273e-07,2.03535387882,1.47864128488e-07,1.69690798521e-07,5.07783128223e-07,2.03735409562,2.28620336996e-07,2.62238850346e-07,7.84724127242e-07
,,,,,0.800000,0.023983,2.09111779649,1.63393063385e-06,2.46659889635e-06,7.38105610072e-06,2.09111779649,1.63393063385e-06,2.46659889635e-06,7.38105610072e-06,2.09111779649,1.63393063385e-06,2.46659889635e-06,7.38105610072e-06,2.03638070006,2.59360808878e-07,3.96761051391e-07,1.18726866506e-06,2.06458023763,1.00351062188e-06,1.52461524273e-06,4.56226209105e-06,2.05082737355,7.52973123175e-07,1.14780758015e-06,3.43470199168e-06,2.03666281354,2.66451467618e-07,4.07579860554e-07,1.219642894e-06,2.03535389262,1.97153366052e-07,3.01674357805e-07,9.02731028708e-07,2.03735411695,3.04829413823e-07,4.66205912471e-07,1.39507562398e-06
,,,,,1.000000,0.029979,2.09111794351,2.04242446632e-06,3.85408172555e-06,1.15329628482e-05,2.09111794351,2.04242446632e-06,3.85408172555e-06,1.15329628482e-05,2.09111794351,2.04242446632e-06,3.85408172555e-06,1.15329628482e-05,2.0363807234,3.24202146509e-07,6.19941310386e-07,1.85511377545e-06,2.06458032793,1.25439474458e-06,2.3822235466e-06,7.12857111385e-06,2.0508274413,9.41221607845e-07,1.79345923014e-06,5.36675144533e-06,2.03666283752,3.33066387629e-07,6.36847454059e-07,1.9057037579e-06,2.03535391037,2.46442912105e-07,4.71368485925e-07,1.41052412043e-06,2.03735414439,3.81039313644e-07,7.28451601343e-07,2.17982021485e-06
,,,,,1.200000,0.035975,2.09111812321,2.45092574827e-06,5.54991455713e-06,1.66075768383e-05,2.09111812321,2.45092574827e-06,5.54991455713e-06,1.66075768383e-05,2.09111812321,2.45092574827e-06,5.54991455713e-06,1.66075768383e-05,2.03638075193,3.8904424109e-07,8.92719301931e-07,2.67137525258e-06,2.06458043829,1.50528317884e-06,3.4304234318e-06,1.02652068145e-05,2.05082752411,1.12947356184e-06,2.58259869118e-06,7.72817414843e-06,2.03666286682,3.9968209836e-07,9.17065910206e-07,2.7442300981e-06,2.03535393205,2.9573284377e-07,6.78773712937e-07,2.03116398953e-06,2.03735417791,4.57250242223e-07,1.04897733067e-06,3.1389621302e-06
,,,,,1.400000,0.041971,2.09111833559,2.85943596976e-06,7.5541096824e-06,2.26049348515e-05,2.09111833559,2.85943596976e-06,7.5541096824e-06,2.26049348515e-05,2.09111833559,2.85943596976e-06,7.5541096824e-06,2.26049348515e-05,2.03638078564,4.53887244021e-07,1.21509629772e-06,3.63605690189e-06,2.06458056873,1.75617678707e-06,4.6692220735e-06,1.39721906639e-05,2.05082762198,1.31772967909e-06,3.51523176348e-06,1.05189874575e-05,2.03666290146,4.66298757965e-07,1.24823655731e-06,3.73522588944e-06,2.03535395768,3.45023238174e-07,9.23890686694e-07,2.76465257465e-06,2.03735421754,5.3346240533e-07,1.42778482834e-06,4.27250654061e-06
,,,,,1.600000,0.047967,2.09111858063,3.26795662091e-06,9.86668162785e-06,2.9525080357e-05,2.09111858063,3.26795662091e-06,9.86668162785e-06,2.9525080357e-05,2.09111858063,3.26795662091e-06,9.86668162785e-06,2.9525080357e-05,2.03638082454,5.18731306707e-07,1.58707380069e-06,4.74916322075e-06,2.06458071923,2.0070764317e-06,6.0986279517e-06,1.82495480378e-05,2.05082773491,1.50599065358e-06,4.59136530197e-06,1.37392118852e-05,2.03666294142,5.32916524609e-07,1.63036096524e-06,4.87869582959e-06,2.03535398725,3.94314172442e-07,1.20672017284e-06,3.61099216692e-06,2.03735426325,6.09676008748e-07,1.86487613646e-06,5.58045955687e-06
,,,,,1.800000,0.053963,2.09111885836,3.67648919195e-06,1.24876471553e-05,3.73680635129e-05,2.09111885836,3.67648919195e-06,1.24876471553e-05,3.73680635129e-05,2.09111885836,3.67648919195e-06,1.24876471553e-05,3.73680635129e-05,2.03638086863,5.8357658056e-07,2.00865354503e-06,6.01069939858e-06,2.0645808898,2.25798297523e-06,7.71865085127e-06,2.30973082164e-05,2.0508278629,1.69425717933e-06,5.8110072165e-06,1.73888711011e-05,2.03666298671,5.99535556459e-07,2.06344094541e-06,6.17464533904e-06,2.03535402076,4.43605723701e-07,1.52726305483e-06,4.57018540995e-06,2.03735431507,6.85891258265e-07,2.36025361137e-06,7.0628282301e-06
,,,,,2.000000,0.059958,2.09111916876,4.08503517321e-06,1.54170252623e-05,4.61339411673e-05,2.09111916876,4.08503517321e-06,1.54170252623e-05,4.61339411673e-05,2.09111916876,4.08503517321e-06,1.54170252623e-05,4.61339411673e-05,2.0363809179,6.48423216998e-07,2.47983749621e-06,7.42067131682e-06,2.06458108044,2.50889728021e-06,9.52930186216e-06,2.85155043852e-05,2.05082800594,1.88252995041e-06,7.17416647188e-06,2.14679919314e-05,2.03666303734,6.66156011694e-07,2.54747855082e-06,7.62308056118e-06,2.03535405822,4.92897969078e-07,1.88552033391e-06,5.64223529988e-06,2.03735437298,7.62108359685e-07,2.91391992367e-06,8.7196205518e-06
,,,,,2.200000,0.065954,2.09111951184,4.49359605514e-06,1.86548371821e-05,5.58227768589e-05,2.09111951184,4.49359605514e-06,1.86548371821e-05,5.58227768589e-05,2.09111951184,4.49359605514e-06,1.86548371821e-05,5.58227768589e-05,2.03638097236,7.13271367447e-07,3.00062785099e-06,8.97908554906e-06,2.06458129115,2.75982020925e-06,1.15305933794e-05,3.45041736353e-05,2.05082816404,2.07080966096e-06,8.68085308802e-06,2.59766043598e-05,2.03666309329,7.32778048498e-07,3.08247607604e-06,9.22400836233e-06,2.03535409962,5.421909857e-07,2.28149312911e-06,6.82714518534e-06,2.03735443699,8.38327518825e-07,3.52587805825e-06,1.05508454539e-05
,,,,,2.400000,0.071950,2.0911198876,4.90217332835e-06,2.22011063843e-05,6.64346408178e-05,2.0911198876,4.90217332835e-06,2.22011063843e-05,6.64346408178e-05,2.0911198876,4.90217332835e-06,2.22011063843e-05,6.64346408178e-05,2.03638103201,7.78121183343e-07,3.57102703741e-06,1.0685949361e-05,2.06458152194,3.01075262504e-06,1.37225391036e-05,4.1063356964e-05,2.05082833721,2.25909700518e-06,1.03310781401e-05,3.09147415277e-05,2.03666315457,7.99401825066e-07,3.66843605729e-06,1.09774363318e-05,2.03535414496,5.91484850698e-07,2.71518267729e-06,8.12491876747e-06,2.03735450709,9.14548941514e-07,4.1961313143e-06,1.25565128091e-05
,,,,,2.600000,0.077946,2.09112029604,5.31076848357e-06,2.60558585747e-05,7.79696099667e-05,2.09112029604,5.31076848357e-06,2.60558585747e-05,7.79696099667e-05,2.09112029604,5.31076848357e-06,2.60558585747e-05,7.79696099667e-05,2.03638109685,8.4297281613e-07,4.19103771488e-06,1.25412707107e-05,2.06458177279,3.26169539038e-06,1.61051540405e-05,4.81930992751e-05,2.05082852543,2.44739267733e-06,1.21248537587e-05,3.62824397345e-05,2.03666322117,8.66027499604e-07,4.30536127239e-06,1.2883372782e-05,2.03535419425,6.40779641202e-07,3.18659033309e-06,9.53556009995e-06,2.0373545833,9.90772833599e-07,4.92468330539e-06,1.47366334304e-05
,,,,,2.800000,0.083942,2.09112073716,5.7193830117e-06,3.02191216962e-05,9.04277679216e-05,2.09112073716,5.7193830117e-06,3.02191216962e-05,9.04277679216e-05,2.09112073716,5.7193830117e-06,3.02191216962e-05,9.04277679216e-05,2.03638116687,9.07826417264e-07,4.86066277414e-06,1.45450582483e-05,2.06458204371,3.5126493681e-06,1.86784545018e-05,5.58934493797e-05,2.05082872871,2.63569737178e-06,1.406219313e-05,4.20797384387e-05,2.03666329311,9.32655230327e-07,4.99325474083e-06,1.49418267485e-05,2.03535424748,6.90075434341e-07,3.69571756899e-06,1.1059073589e-05,2.0373546656,1.06699940095e-06,5.71153795946e-06,1.7091219072e-05
,,,,,3.000000,0.089938,2.09112121097,6.12801840384e-06,3.46909259288e-05,0.000103809204993,2.09112121097,6.12801840384e-06,3.46909259288e-05,0.000103809204993,2.09112121097,6.12801840384e-06,3.46909259288e-05,0.000103809204993,2.03638124208,9.72682138211e-07,5.5799053373e-06,1.66973213165e-05,2.06458233471,3.76361542119e-06,2.14424581052e-05,6.41644599964e-05,2.05082894706,2.82401178295e-06,1.61431104958e-05,4.83066802577e-05,2.03666337038,9.99285175466e-07,5.73211972381e-06,1.715280799e-05,2.03535430465,7.3937230725e-07,4.24256597525e-06,1.26954639932e-05,2.03735475399,1.14322884944e-06,6.55669951891e-06,1.96202824287e-05
,,,,,3.200000,0.095934,2.09112171746,6.53667615126e-06,3.94713036901e-05,0.000118114018188,2.09112171746,6.53667615126e-06,3.94713036901e-05,0.000118114018188,2.09112171746,6.53667615126e-06,3.94713036901e-05,0.000118114018188,2.03638132248,1.03754013045e-06,6.3487687579e-06,1.89980699505e-05,2.06458264578,4.0145944127e-06,2.43971837743e-05,7.30061877528e-05,2.05082918047,3.01233660537e-06,1.83676211542e-05,5.4963310969e-05,2.03666345298,1.06591749326e-06,6.52195972422e-06,1.95163269887e-05,2.03535436577,7.88670337063e-07,4.82713725995e-06,1.4444736424e-05,2.03735484849,1.21946138498e-06,7.4601725406e-06,2.23238371366e-05
,,,,,3.400000,0.101929,2.09112225664,6.94535774543e-06,4.45602896357e-05,0.00013334231121,2.09112225664,6.94535774543e-06,4.45602896357e-05,0.00013334231121,2.09112225664,6.94535774543e-06,4.45602896357e-05,0.00013334231121,2.03638140807,1.10240054548e-06,7.16725662089e-06,2.14473148777e-05,2.06458297693,4.26558720581e-06,2.75426517392e-05,8.24186931854e-05,2.05082942894,3.20067253368e-06,2.07357414591e-05,6.20496795107e-05,2.03666354091,1.13255234197e-06,7.36277848671e-06,2.203239495e-05,2.03535443083,8.37969600913e-07,5.449433249e-06,1.63068963452e-05,2.03735494908,1.29569721351e-06,8.42196189595e-06,2.52018977728e-05
,,,,,3.600000,0.107925,2.09112282851,7.35406467806e-06,4.995792066e-05,0.00014949419446,2.09112282851,7.35406467806e-06,4.995792066e-05,0.00014949419446,2.09112282851,7.35406467806e-06,4.995792066e-05,0.00014949419446,2.03638149884,1.1672635348e-06,8.0353727427e-06,2.40450675187e-05,2.06458332816,4.51659466381e-06,3.08788835366e-05,9.24020407408e-05,2.05082969248,3.38902026259e-06,2.32474888211e-05,6.95658379819e-05,2.03666363416,1.19918987987e-06,8.2545799977e-06,2.47010238029e-05,2.03535449984,8.87270175939e-07,6.10945588611e-06,1.82819495732e-05,2.03735505577,1.37193654096e-06,9.44207277093e-06,2.82544798559e-05
